time,Orlando,pts.away,score,pts.home,San Antonio
0:55.0,,,72-106,,J. Lauvergne misses 2-pt shot from 1 ft
0:54.0,,,72-106,,Offensive rebound by J. Lauvergne
0:54.0,,,72-108,2,J. Lauvergne makes 2-pt shot from 1 ft
0:37.0,M. Speights misses 2-pt shot from 15 ft,,72-108,,
0:37.0,,,72-108,,Defensive rebound by D. Murray
0:29.0,,,72-108,,Turnover by D. Murray (out of bounds lost ball)
0:12.0,W. Iwundu misses 2-pt shot from 2 ft,,72-108,,
0:09.0,Offensive rebound by K. Birch,,72-108,,
0:07.0,K. Birch misses 2-pt shot from 2 ft (block by B. Paul),,72-108,,
0:07.0,,,72-108,,Defensive rebound by J. Lauvergne
