time,Indiana,pts.away,score,pts.home,Philadelphia
3:25.0,C. Joseph enters the game for D. Collison,,79-86,,
3:04.0,T. Young makes 2-pt shot from 1 ft (assist by C. Joseph),2,81-86,,
2:51.0,,,81-86,,R. Holmes misses 2-pt shot from 10 ft
2:49.0,Defensive rebound by M. Turner,,81-86,,
2:41.0,V. Oladipo makes 3-pt shot from 25 ft,3,84-86,,
2:26.0,,,84-86,,J. Bayless misses 2-pt shot from 4 ft
2:24.0,,,84-86,,Offensive rebound by R. Holmes
2:23.0,,,84-86,,R. Holmes misses 2-pt shot from 2 ft
2:23.0,,,84-86,,Offensive rebound by R. Holmes
2:19.0,,,84-88,2,R. Holmes makes 2-pt shot from 2 ft
2:08.0,,,84-88,,Personal block foul by J. Bayless (drawn by T. Young)
2:05.0,Shooting foul by J. Bayless (drawn by V. Oladipo),,84-88,,
2:05.0,V. Oladipo makes free throw 1 of 3,1,85-88,,
2:05.0,V. Oladipo makes free throw 2 of 3,1,86-88,,
2:05.0,B. Bogdanovic enters the game for T. Young,,86-88,,
2:05.0,V. Oladipo makes free throw 3 of 3,1,87-88,,
1:41.0,,,87-88,,T. McConnell misses 2-pt shot from 16 ft
1:37.0,Defensive rebound by B. Bogdanovic,,87-88,,
1:22.0,L. Stephenson misses 3-pt shot from 23 ft,,87-88,,
1:19.0,,,87-88,,Defensive rebound by T. McConnell
1:08.0,,,87-90,2,R. Holmes makes 2-pt shot at rim (assist by T. McConnell)
0:48.0,C. Joseph makes 2-pt shot from 18 ft,2,89-90,,
0:35.0,,,89-90,,T. Luwawu-Cabarrot misses 3-pt shot from 24 ft
0:33.0,Defensive rebound by Team,,89-90,,
0:33.0,J. Young enters the game for V. Oladipo,,89-90,,
0:22.0,C. Joseph misses 2-pt shot from 19 ft,,89-90,,
0:19.0,,,89-90,,Defensive rebound by T. McConnell
0:01.0,J. Young misses 3-pt shot from 47 ft,,89-90,,
0:01.0,Offensive rebound by Team,,89-90,,
0:00.0,,,89-92,2,J. Bayless makes 2-pt shot from 17 ft (assist by R. Holmes)
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:39.0,,,89-92,,B. Simmons misses 2-pt shot from 11 ft
11:37.0,Defensive rebound by D. Sabonis,,89-92,,
11:22.0,B. Bogdanovic misses 3-pt shot from 26 ft,,89-92,,
11:20.0,,,89-92,,Defensive rebound by J. Bayless
11:15.0,,,89-95,3,D. Saric makes 3-pt shot from 26 ft (assist by T. Luwawu-Cabarrot)
10:59.0,L. Stephenson makes 2-pt shot from 20 ft,2,91-95,,
10:44.0,,,91-97,2,J. Embiid makes 2-pt shot from 10 ft
10:29.0,B. Bogdanovic makes 3-pt shot from 26 ft (assist by D. Sabonis),3,94-97,,
10:13.0,,,94-99,2,B. Simmons makes 2-pt shot at rim (assist by J. Embiid)
9:57.0,B. Bogdanovic makes 2-pt shot from 14 ft,2,96-99,,
9:50.0,,,96-99,,Offensive foul by T. Luwawu-Cabarrot (drawn by C. Joseph)
9:50.0,,,96-99,,Turnover by T. Luwawu-Cabarrot (offensive foul)
9:50.0,T. Young enters the game for J. Young,,96-99,,
9:41.0,Turnover by L. Stephenson (bad pass; steal by J. Embiid),,96-99,,
9:37.0,,,96-99,,Shooting foul by L. Stephenson (drawn by B. Simmons)
9:37.0,,,96-100,1,B. Simmons makes free throw 1 of 2
9:37.0,,,96-101,1,B. Simmons makes free throw 2 of 2
9:25.0,C. Joseph misses 2-pt shot from 18 ft,,96-101,,
9:21.0,Offensive rebound by B. Bogdanovic,,96-101,,
9:17.0,B. Bogdanovic misses 3-pt shot from 23 ft,,96-101,,
9:15.0,,,96-101,,Defensive rebound by B. Simmons
9:11.0,Personal foul by D. Sabonis (drawn by J. Embiid),,96-101,,
9:11.0,,,96-101,,T. McConnell enters the game for J. Bayless
9:11.0,,,96-101,,R. Covington enters the game for D. Saric
9:11.0,M. Turner enters the game for D. Sabonis,,96-101,,
9:03.0,,,96-103,2,B. Simmons makes 2-pt shot from 12 ft (assist by T. McConnell)
8:45.0,,,96-103,,R. Holmes enters the game for J. Embiid
8:41.0,B. Bogdanovic makes 2-pt shot from 2 ft (assist by L. Stephenson),2,98-103,,
8:34.0,,,98-103,,Turnover by T. Luwawu-Cabarrot (bad pass; steal by M. Turner)
8:25.0,Shooting foul by R. Covington (drawn by M. Turner),,98-103,,
8:25.0,M. Turner makes free throw 1 of 2,1,99-103,,
8:25.0,V. Oladipo enters the game for B. Bogdanovic,,99-103,,
8:25.0,M. Turner misses free throw 2 of 2,,99-103,,
8:23.0,,,99-103,,Defensive rebound by B. Simmons
