time,LA Lakers,pts.away,score,pts.home,Charlotte
4:40.0,,,100-90,,K. Walker misses 2-pt shot at rim (block by J. Randle)
4:40.0,,,100-90,,Offensive rebound by Team
4:40.0,Loose ball foul by J. Randle (drawn by D. Howard),,100-90,,
4:33.0,,,100-90,,M. Kidd-Gilchrist misses 2-pt shot from 20 ft
4:29.0,Defensive rebound by K. Kuzma,,100-90,,
4:15.0,LA Lakers full timeout,,100-90,,
4:09.0,B. Ingram misses 2-pt shot from 2 ft,,100-90,,
4:05.0,Offensive rebound by B. Ingram,,100-90,,
4:05.0,B. Ingram makes 2-pt shot at rim,2,102-90,,
3:51.0,,,102-90,,M. Williams misses 3-pt shot from 23 ft
3:48.0,Defensive rebound by B. Ingram,,102-90,,
3:26.0,J. Clarkson makes 2-pt shot from 2 ft,2,104-90,,
3:10.0,,,104-90,,Charlotte full timeout
3:01.0,,,104-90,,Turnover by D. Bacon (bad pass; steal by K. Caldwell-Pope)
3:00.0,Turnover by K. Caldwell-Pope (bad pass),,104-90,,
2:49.0,,,104-92,2,K. Walker makes 2-pt shot from 1 ft
2:28.0,J. Clarkson makes 3-pt shot from 25 ft,3,107-92,,
2:14.0,,,107-92,,K. Walker misses 3-pt shot from 28 ft
2:11.0,Defensive rebound by K. Kuzma,,107-92,,
1:51.0,J. Randle misses 3-pt shot from 25 ft,,107-92,,
1:48.0,,,107-92,,Defensive rebound by D. Bacon
1:44.0,,,107-95,3,K. Walker makes 3-pt shot from 25 ft
1:20.0,J. Clarkson misses 3-pt shot from 28 ft,,107-95,,
1:17.0,,,107-95,,Defensive rebound by K. Walker
1:12.0,,,107-95,,K. Walker misses 2-pt shot from 17 ft
1:11.0,,,107-95,,Offensive rebound by Team
1:11.0,Loose ball foul by B. Ingram (drawn by D. Howard),,107-95,,
1:04.0,,,107-97,2,D. Howard makes 2-pt shot from 6 ft (assist by M. Williams)
0:57.0,Shooting foul by D. Howard (drawn by B. Ingram),,107-97,,
0:57.0,B. Ingram misses free throw 1 of 2,,107-97,,
0:57.0,Offensive rebound by Team,,107-97,,
0:57.0,B. Ingram makes free throw 2 of 2,1,108-97,,
0:49.0,,,108-97,,M. Williams misses 2-pt shot from 9 ft
0:46.0,Defensive rebound by K. Caldwell-Pope,,108-97,,
0:24.0,B. Ingram misses 3-pt shot from 26 ft,,108-97,,
0:21.0,Offensive rebound by J. Randle,,108-97,,
0:21.0,Shooting foul by D. Bacon (drawn by J. Randle),,108-97,,
0:21.0,J. Randle makes free throw 1 of 2,1,109-97,,
0:21.0,J. Randle makes free throw 2 of 2,1,110-97,,
0:14.0,,,110-99,2,K. Walker makes 2-pt shot from 1 ft
