time,Philadelphia,pts.away,score,pts.home,Golden State
6:59.0,T. Luwawu-Cabarrot makes 3-pt shot from 25 ft (assist by T. McConnell),3,97-117,,
6:52.0,,,97-117,,Offensive charge foul by D. West (drawn by D. Saric)
6:52.0,,,97-117,,Turnover by D. West (offensive foul)
6:52.0,J. McAdoo enters the game for D. Saric,,97-117,,
6:52.0,,,97-117,,J. Bell enters the game for D. West
6:43.0,,,97-117,,Violation by O. Casspi (kicked ball)
6:32.0,Turnover by J. McAdoo (bad pass; steal by S. Livingston),,97-117,,
6:27.0,,,97-117,,S. Livingston misses 2-pt shot from 17 ft
6:21.0,Defensive rebound by J. Anderson,,97-117,,
6:15.0,,,97-117,,Personal foul by K. Looney (drawn by J. Anderson)
6:15.0,,,97-117,,N. Young enters the game for S. Livingston
6:05.0,J. McAdoo misses 3-pt shot from 26 ft,,97-117,,
6:03.0,Offensive rebound by J. Anderson,,97-117,,
6:01.0,Turnover by J. Anderson (bad pass; steal by N. Young),,97-117,,
5:53.0,,,97-117,,J. Bell misses 2-pt shot from 14 ft
5:53.0,,,97-117,,Offensive rebound by J. Bell
5:50.0,,,97-117,,Turnover by J. Bell (bad pass)
5:41.0,R. Holmes makes 2-pt shot from 1 ft (assist by T. McConnell),2,99-117,,
5:18.0,,,99-119,2,O. Casspi makes 2-pt shot from 2 ft (assist by J. Bell)
5:18.0,,,99-119,,Shooting foul by R. Holmes (drawn by O. Casspi)
5:18.0,,,99-120,1,O. Casspi makes free throw 1 of 1
5:07.0,J. McAdoo makes 3-pt shot from 22 ft (assist by T. McConnell),3,102-120,,
4:44.0,,,102-122,2,N. Young makes 2-pt shot from 16 ft
4:37.0,Shooting foul by J. Bell (drawn by J. McAdoo),,102-122,,
4:37.0,J. McAdoo makes free throw 2 of 2,1,103-122,,
4:37.0,J. McAdoo makes free throw 1 of 2,1,104-122,,
4:28.0,Personal foul by R. Holmes (drawn by P. McCaw),,104-122,,
4:18.0,,,104-122,,Turnover by J. Bell (turnover)
4:18.0,,,104-122,,J. McGee enters the game for K. Looney
4:06.0,J. McAdoo misses 3-pt shot from 25 ft,,104-122,,
4:02.0,,,104-122,,Defensive rebound by O. Casspi
4:00.0,,,104-122,,Turnover by O. Casspi (lost ball; steal by J. Anderson)
3:46.0,T. Luwawu-Cabarrot misses 2-pt shot from 1 ft,,104-122,,
3:40.0,,,104-122,,Defensive rebound by J. Bell
3:39.0,,,104-124,2,P. McCaw makes 2-pt shot from 1 ft (assist by J. Bell)
3:24.0,T. Luwawu-Cabarrot makes 3-pt shot from 25 ft (assist by J. Anderson),3,107-124,,
3:00.0,Personal foul by J. Anderson (drawn by J. McGee),,107-124,,
3:00.0,,,107-125,1,J. McGee makes free throw 1 of 2
3:00.0,F. Korkmaz enters the game for J. Anderson,,107-125,,
3:00.0,,,109-126,1,J. McGee makes free throw 2 of 2
2:44.0,R. Holmes makes 2-pt shot from 1 ft,2,109-125,,
2:44.0,Shooting foul by J. Bell (drawn by R. Holmes),,109-125,,
2:44.0,R. Holmes makes free throw 1 of 1,1,110-126,,
2:34.0,,,110-126,,Shooting foul by F. Korkmaz (drawn by O. Casspi)
2:34.0,,,110-127,1,O. Casspi makes free throw 1 of 2
2:34.0,,,110-128,1,O. Casspi makes free throw 2 of 2
2:19.0,F. Korkmaz misses 3-pt shot from 25 ft,,110-128,,
2:15.0,,,110-128,,Defensive rebound by N. Young
2:13.0,,,110-128,,Turnover by N. Young (palming)
1:56.0,Shooting foul by J. McGee (drawn by R. Holmes),,110-128,,
1:56.0,R. Holmes makes free throw 1 of 2,1,111-128,,
1:56.0,R. Holmes makes free throw 2 of 2,1,112-128,,
1:45.0,,,112-130,2,J. McGee makes 2-pt shot from 1 ft (assist by N. Young)
1:45.0,,,112-130,,Shooting foul by R. Holmes (drawn by J. McGee)
1:45.0,J. Anderson enters the game for R. Holmes,,112-130,,
1:45.0,,,112-131,1,J. McGee makes free throw 1 of 1
1:32.0,T. Luwawu-Cabarrot misses 2-pt shot from 1 ft,,112-131,,
1:24.0,,,112-131,,Defensive rebound by J. McGee
1:20.0,,,112-133,2,O. Casspi makes 2-pt shot from 8 ft
0:58.0,T. Luwawu-Cabarrot misses 2-pt shot from 1 ft,,112-133,,
0:53.0,Offensive rebound by F. Korkmaz,,112-133,,
0:53.0,F. Korkmaz makes 2-pt shot at rim,2,114-133,,
0:47.0,,,114-135,2,J. Bell makes 2-pt shot at rim (assist by N. Young)
0:41.0,J. Anderson misses 2-pt shot from 17 ft,,114-135,,
0:36.0,,,114-135,,Defensive rebound by J. McGee
0:29.0,,,114-135,,N. Young misses 3-pt shot from 27 ft
0:24.0,Defensive rebound by F. Korkmaz,,114-135,,
0:17.0,J. McAdoo misses 3-pt shot from 24 ft,,114-135,,
0:13.0,,,114-135,,Defensive rebound by N. Young
