time,Miami,pts.away,score,pts.home,Dallas
2:12.0,Personal foul by J. Johnson (drawn by H. Barnes),,91-82,,
2:12.0,,,91-83,1,H. Barnes makes free throw 1 of 2
2:12.0,,,91-84,1,H. Barnes makes free throw 2 of 2
1:49.0,J. Johnson misses 2-pt shot from 12 ft,,91-84,,
1:44.0,Offensive rebound by H. Whiteside,,91-84,,
1:26.0,G. Dragic misses 2-pt shot from 7 ft,,91-84,,
1:24.0,,,91-84,,Defensive rebound by W. Matthews
1:18.0,,,91-87,3,W. Matthews makes 3-pt shot from 25 ft (assist by D. Smith)
0:54.0,Turnover by Team (shot clock),,91-87,,
0:44.0,,,91-87,,H. Barnes misses 3-pt shot from 26 ft (block by J. Johnson)
0:44.0,,,91-87,,Offensive rebound by H. Barnes
0:44.0,Loose ball foul by J. Johnson (drawn by H. Barnes),,91-87,,
0:44.0,,,91-87,,H. Barnes misses free throw 1 of 2
0:44.0,,,91-87,,Offensive rebound by Team
0:44.0,,,91-88,1,H. Barnes makes free throw 2 of 2
0:44.0,Miami full timeout,,91-88,,
0:44.0,W. Ellington enters the game for T. Johnson,,91-88,,
0:25.0,G. Dragic makes 2-pt shot from 1 ft (assist by J. Johnson),2,93-88,,
0:25.0,,,93-88,,Dallas full timeout
0:25.0,,,93-88,,D. Nowitzki enters the game for Y. Ferrell
0:25.0,T. Johnson enters the game for G. Dragic,,93-88,,
0:25.0,J. Winslow enters the game for W. Ellington,,93-88,,
0:21.0,,,93-88,,W. Matthews misses 3-pt shot from 25 ft
0:18.0,Defensive rebound by J. Winslow,,93-88,,
0:17.0,,,93-88,,Personal take foul by D. Nowitzki (drawn by T. Johnson)
0:17.0,T. Johnson makes free throw 1 of 2,1,94-88,,
0:17.0,,,94-88,,Y. Ferrell enters the game for D. Powell
0:17.0,W. Ellington enters the game for H. Whiteside,,94-88,,
0:17.0,T. Johnson makes free throw 2 of 2,1,95-88,,
0:05.0,,,95-88,,D. Smith misses 3-pt shot from 31 ft
0:02.0,Defensive rebound by T. Johnson,,95-88,,
