time,Oklahoma City,pts.away,score,pts.home,Charlotte
4:57.0,,,95-84,,M. Kidd-Gilchrist misses 2-pt shot from 8 ft
4:52.0,,,95-84,,Offensive rebound by N. Batum
4:51.0,,,95-84,,N. Batum misses 2-pt shot from 2 ft
4:50.0,,,95-84,,Offensive rebound by D. Howard
4:49.0,,,95-84,,D. Howard misses 2-pt shot from 2 ft
4:48.0,,,95-84,,Offensive rebound by D. Howard
4:47.0,,,95-84,,D. Howard misses 2-pt shot from 3 ft
4:45.0,Defensive rebound by R. Westbrook,,95-84,,
4:45.0,R. Westbrook misses 2-pt shot from 2 ft,,95-84,,
4:45.0,,,95-84,,Defensive rebound by M. Williams
4:44.0,,,95-84,,Shooting foul by R. Felton (drawn by K. Walker)
4:44.0,,,95-85,1,K. Walker makes free throw 1 of 2
4:44.0,J. Huestis enters the game for R. Felton,,95-85,,
4:44.0,,,95-86,1,K. Walker makes free throw 2 of 2
4:27.0,S. Adams makes 2-pt shot from 1 ft (assist by R. Westbrook),2,97-86,,
4:18.0,,,97-86,,Turnover by K. Walker (bad pass; steal by S. Adams)
4:00.0,R. Westbrook misses 2-pt shot from 18 ft,,97-86,,
3:57.0,,,97-86,,Defensive rebound by D. Howard
3:50.0,,,97-86,,Shooting foul by S. Adams (drawn by K. Walker)
3:50.0,,,97-87,1,K. Walker makes free throw 1 of 2
3:50.0,Oklahoma City full timeout,,97-87,,
3:50.0,,,97-88,1,K. Walker makes free throw 2 of 2
3:28.0,C. Anthony misses 2-pt shot from 19 ft,,97-88,,
3:28.0,,,97-88,,Defensive rebound by K. Walker
3:07.0,,,97-88,,K. Walker misses 2-pt shot from 6 ft
3:02.0,Defensive rebound by P. George,,97-88,,
2:55.0,P. George misses 2-pt shot from 17 ft,,97-88,,
2:52.0,,,97-88,,Defensive rebound by M. Williams
2:37.0,,,97-88,,Turnover by M. Kidd-Gilchrist (lost ball; steal by P. George)
2:17.0,R. Westbrook makes 2-pt shot from 1 ft,2,99-88,,
2:03.0,,,99-88,,M. Williams misses 2-pt shot from 2 ft (block by S. Adams)
2:03.0,,,99-88,,Offensive rebound by Team
1:53.0,,,99-88,,Turnover by N. Batum (bad pass; steal by J. Huestis)
1:36.0,R. Westbrook makes 2-pt shot from 16 ft,2,101-88,,
1:23.0,,,101-91,3,M. Williams makes 3-pt shot from 25 ft (assist by M. Kidd-Gilchrist)
1:01.0,R. Westbrook misses 2-pt shot from 19 ft,,101-91,,
0:57.0,,,101-91,,Defensive rebound by D. Howard
0:53.0,,,101-91,,K. Walker misses 3-pt shot from 30 ft
0:49.0,Defensive rebound by R. Westbrook,,101-91,,
0:29.0,R. Westbrook misses 2-pt shot from 6 ft,,101-91,,
0:26.0,,,101-91,,Defensive rebound by D. Howard
0:18.0,,,101-91,,Turnover by K. Walker (out of bounds lost ball)
