time,Brooklyn,pts.away,score,pts.home,Philadelphia
6:43.0,J. Harris makes 3-pt shot from 26 ft (assist by S. Dinwiddie),3,96-96,,
6:29.0,,,96-99,3,E. Ilyasova makes 3-pt shot from 25 ft (assist by J. Redick)
6:12.0,R. Hollis-Jefferson makes 2-pt shot from 4 ft,2,98-99,,
6:12.0,Shooting foul by D. Saric (drawn by R. Hollis-Jefferson),,98-99,,
6:12.0,,,98-99,,J. Embiid enters the game for E. Ilyasova
6:12.0,D. Russell enters the game for C. LeVert,,98-99,,
6:12.0,R. Hollis-Jefferson makes free throw 1 of 1,1,99-99,,
5:59.0,,,99-101,2,J. Embiid makes 2-pt shot from 3 ft
5:41.0,Q. Acy makes 3-pt shot from 26 ft (assist by R. Hollis-Jefferson),3,102-101,,
5:27.0,,,102-101,,Shooting foul by J. Harris (drawn by J. Redick)
5:27.0,,,102-102,1,J. Redick makes free throw 1 of 2
5:27.0,,,102-102,,E. Ilyasova enters the game for D. Saric
5:27.0,,,102-103,1,J. Redick makes free throw 2 of 2
5:16.0,D. Russell misses 2-pt shot from 3 ft,,102-103,,
5:14.0,,,102-103,,Defensive rebound by B. Simmons
5:12.0,,,102-103,,Shooting foul by Q. Acy (drawn by J. Redick)
5:12.0,,,102-104,1,J. Redick makes free throw 1 of 3
5:12.0,,,102-105,1,J. Redick makes free throw 2 of 3
5:12.0,D. Carroll enters the game for S. Dinwiddie,,102-105,,
5:12.0,J. Allen enters the game for Q. Acy,,102-105,,
5:12.0,,,102-106,1,J. Redick makes free throw 3 of 3
4:54.0,R. Hollis-Jefferson makes 2-pt shot from 16 ft (assist by J. Harris),2,104-106,,
4:35.0,,,104-106,,J. Embiid misses 2-pt shot from 13 ft
4:31.0,Defensive rebound by D. Carroll,,104-106,,
4:30.0,Turnover by D. Russell (bad pass; steal by B. Simmons),,104-106,,
4:28.0,,,104-106,,Shooting foul by D. Russell (drawn by B. Simmons)
4:28.0,,,104-106,,B. Simmons misses free throw 1 of 2
4:28.0,,,104-106,,Offensive rebound by Team
4:28.0,S. Dinwiddie enters the game for J. Harris,,104-106,,
4:28.0,,,104-106,,B. Simmons misses free throw 2 of 2
4:26.0,Defensive rebound by R. Hollis-Jefferson,,104-106,,
4:15.0,Turnover by D. Russell (bad pass; steal by E. Ilyasova),,104-106,,
4:05.0,,,104-106,,E. Ilyasova misses 2-pt shot from 1 ft
4:04.0,,,104-106,,Offensive rebound by J. Embiid
4:04.0,,,104-106,,Shooting foul by D. Carroll (drawn by J. Embiid)
4:04.0,Brooklyn full timeout,,104-106,,
4:04.0,C. LeVert enters the game for D. Russell,,104-106,,
4:04.0,,,104-107,1,J. Embiid makes free throw 1 of 2
4:04.0,,,104-108,1,J. Embiid makes free throw 2 of 2
3:48.0,R. Hollis-Jefferson misses 2-pt shot from 7 ft,,104-108,,
3:45.0,Offensive rebound by J. Allen,,104-108,,
3:38.0,,,104-108,,Personal foul by E. Ilyasova (drawn by R. Hollis-Jefferson)
3:28.0,S. Dinwiddie makes 2-pt shot at rim,2,106-108,,
3:10.0,,,106-110,2,J. Redick makes 2-pt shot from 19 ft
2:48.0,,,106-110,,Personal foul by J. Redick (drawn by D. Carroll)
2:48.0,D. Carroll makes free throw 1 of 2,1,107-110,,
2:48.0,D. Carroll makes free throw 2 of 2,1,108-110,,
2:37.0,,,108-110,,B. Simmons misses 2-pt shot from 5 ft
2:35.0,Defensive rebound by R. Hollis-Jefferson,,108-110,,
2:29.0,Shooting foul by B. Simmons (drawn by J. Allen),,108-110,,
2:29.0,J. Allen makes free throw 1 of 2,1,109-110,,
2:29.0,J. Allen makes free throw 2 of 2,1,110-110,,
2:13.0,,,110-110,,J. Redick misses 3-pt shot from 25 ft
2:10.0,Defensive rebound by D. Carroll,,110-110,,
1:59.0,D. Carroll makes 3-pt shot from 26 ft (assist by J. Allen),3,113-110,,
1:59.0,,,113-110,,Philadelphia full timeout
1:59.0,,,113-110,,D. Saric enters the game for E. Ilyasova
1:58.0,Personal foul by S. Dinwiddie (drawn by J. Redick),,113-110,,
1:58.0,,,113-110,,J. Redick misses free throw 1 of 2
1:58.0,,,113-110,,Offensive rebound by Team
1:58.0,,,113-111,1,J. Redick makes free throw 2 of 2
1:35.0,Turnover by J. Allen (bad pass; steal by B. Simmons),,113-111,,
1:33.0,,,113-113,2,R. Covington makes 2-pt shot from 2 ft (assist by B. Simmons)
1:16.0,C. LeVert makes 2-pt shot from 2 ft,2,115-113,,
1:00.0,,,115-113,,Turnover by J. Redick (bad pass; steal by R. Hollis-Jefferson)
0:46.0,J. Allen misses 2-pt shot from 1 ft,,115-113,,
0:44.0,,,115-113,,Defensive rebound by R. Covington
0:35.0,,,115-116,3,R. Covington makes 3-pt shot from 25 ft (assist by J. Redick)
0:35.0,Brooklyn full timeout,,115-116,,
0:35.0,,,115-116,,J. Anderson enters the game for D. Saric
0:35.0,J. Harris enters the game for R. Hollis-Jefferson,,115-116,,
0:21.0,S. Dinwiddie misses 2-pt shot from 5 ft (block by J. Embiid),,115-116,,
0:20.0,,,115-116,,Defensive rebound by Team
0:20.0,,,115-116,,T. McConnell enters the game for J. Anderson
0:20.0,R. Hollis-Jefferson enters the game for C. LeVert,,115-116,,
0:20.0,,,115-116,,Philadelphia full timeout
0:20.0,,,115-116,,D. Saric enters the game for R. Covington
0:19.0,Personal take foul by J. Harris (drawn by T. McConnell),,115-116,,
0:19.0,,,115-117,1,T. McConnell makes free throw 1 of 2
0:19.0,,,115-117,,R. Covington enters the game for D. Saric
0:19.0,,,115-118,1,T. McConnell makes free throw 2 of 2
0:19.0,Brooklyn full timeout,,115-118,,
0:19.0,,,115-118,,J. Anderson enters the game for J. Embiid
0:19.0,D. Russell enters the game for R. Hollis-Jefferson,,115-118,,
0:19.0,Q. Acy enters the game for J. Allen,,115-118,,
0:11.0,S. Dinwiddie misses 3-pt shot from 24 ft,,115-118,,
0:09.0,Jump ball: R. Covington vs. D. Carroll (J. Harris gains possession),,,,Jump ball: R. Covington vs. D. Carroll (J. Harris gains possession)
0:09.0,Defensive rebound by Team,,115-118,,
0:05.0,,,115-118,,Personal foul by T. McConnell (drawn by S. Dinwiddie)
0:05.0,S. Dinwiddie makes free throw 1 of 2,1,116-118,,
0:05.0,,,116-118,,J. Embiid enters the game for R. Covington
0:05.0,,,116-118,,D. Saric enters the game for J. Anderson
0:05.0,R. Hollis-Jefferson enters the game for J. Harris,,116-118,,
0:05.0,S. Dinwiddie misses free throw 2 of 2,,116-118,,
0:05.0,,,116-118,,Defensive rebound by J. Embiid
0:05.0,Personal foul by Q. Acy (drawn by J. Embiid),,116-118,,
0:05.0,,,116-119,1,J. Embiid makes free throw 1 of 2
0:05.0,,,116-119,,R. Covington enters the game for D. Saric
0:05.0,J. Harris enters the game for R. Hollis-Jefferson,,116-119,,
0:05.0,,,116-120,1,J. Embiid makes free throw 2 of 2
0:01.0,S. Dinwiddie misses 3-pt shot from 26 ft,,116-120,,
0:01.0,,,116-120,,Defensive rebound by J. Embiid
