time,Dallas,pts.away,score,pts.home,New York
1:13.0,D. Smith misses 3-pt shot from 24 ft,,106-96,,
1:09.0,,,106-96,,Defensive rebound by T. Williams
1:00.0,,,106-96,,Turnover by T. Hardaway (lost ball; steal by D. Smith)
0:57.0,D. Smith makes 2-pt shot at rim (assist by Y. Ferrell),2,108-96,,
0:57.0,,,108-96,,New York full timeout
0:52.0,,,108-96,,T. Hardaway misses 3-pt shot from 26 ft
0:50.0,Defensive rebound by H. Barnes,,108-96,,
0:44.0,,,108-96,,Personal take foul by T. Williams (drawn by D. Smith)
0:44.0,D. Smith makes free throw 1 of 2,1,109-96,,
0:44.0,,,109-96,,D. Dotson enters the game for T. Hardaway
0:44.0,D. Smith makes free throw 2 of 2,1,110-96,,
0:37.0,,,110-96,,Turnover by T. Burke (lost ball; steal by D. Smith)
0:22.0,Turnover by J. Warney (traveling),,110-96,,
0:12.0,Personal foul by J. Warney (drawn by D. Dotson),,110-96,,
0:12.0,,,110-96,,D. Dotson misses free throw 1 of 2
0:12.0,,,110-96,,Offensive rebound by Team
0:12.0,,,110-97,1,D. Dotson makes free throw 2 of 2
