time,Detroit,pts.away,score,pts.home,New York
3:56.0,,,48-46,,Defensive rebound by T. Williams
3:51.0,,,48-46,,T. Hardaway misses 3-pt shot from 26 ft
3:49.0,Defensive rebound by A. Drummond,,48-46,,
3:49.0,,,48-46,,Personal foul by T. Burke (drawn by A. Drummond)
3:49.0,R. Bullock enters the game for L. Kennard,,48-46,,
3:49.0,A. Drummond makes free throw 1 of 2,1,49-46,,
3:49.0,A. Drummond makes free throw 2 of 2,1,50-46,,
3:37.0,,,50-48,2,T. Burke makes 2-pt shot from 7 ft
3:13.0,S. Johnson misses 3-pt shot from 24 ft,,50-48,,
3:11.0,,,50-48,,Defensive rebound by K. O'Quinn
3:07.0,,,50-50,2,T. Burke makes 2-pt shot from 20 ft
2:46.0,Turnover by I. Smith (bad pass; steal by T. Hardaway),,50-50,,
2:42.0,,,50-50,,T. Williams misses 2-pt shot from 3 ft
2:41.0,,,50-50,,Offensive rebound by Team
2:35.0,,,50-50,,Turnover by K. O'Quinn (bad pass; steal by S. Johnson)
2:31.0,S. Johnson makes 2-pt shot at rim (assist by I. Smith),2,52-50,,
2:14.0,,,52-50,,Shooting foul by A. Tolliver (drawn by K. O'Quinn)
2:14.0,,,52-51,1,K. O'Quinn makes free throw 1 of 2
2:14.0,,,52-52,1,K. O'Quinn makes free throw 2 of 2
2:07.0,,,52-52,,Personal foul by T. Burke (drawn by A. Drummond)
2:07.0,,,52-52,,E. Mudiay enters the game for T. Burke
2:07.0,A. Drummond makes free throw 1 of 2,1,53-52,,
2:07.0,A. Drummond makes free throw 2 of 2,1,54-52,,
1:51.0,,,54-52,,I. Hicks misses 3-pt shot from 27 ft
1:49.0,Defensive rebound by A. Drummond,,54-52,,
1:41.0,R. Bullock misses 2-pt shot from 15 ft,,54-52,,
1:39.0,,,54-52,,Defensive rebound by I. Hicks
1:27.0,,,54-52,,Shooting foul by A. Tolliver (drawn by I. Hicks)
1:27.0,H. Ellenson enters the game for A. Tolliver,,54-52,,
1:27.0,,,54-52,,I. Hicks misses free throw 1 of 2
1:27.0,,,54-52,,Offensive rebound by Team
1:27.0,,,54-52,,I. Hicks misses free throw 2 of 2
1:25.0,Defensive rebound by A. Drummond,,54-52,,
1:08.0,R. Bullock misses 2-pt shot from 3 ft,,54-52,,
1:07.0,,,54-52,,Defensive rebound by Team
0:57.0,,,54-54,2,E. Mudiay makes 2-pt shot from 18 ft
