time,Denver,pts.away,score,pts.home,Memphis
3:26.0,,,101-98,,M. Chalmers misses 2-pt shot from 5 ft
3:24.0,Defensive rebound by N. Jokic,,101-98,,
3:12.0,P. Millsap misses 2-pt shot from 6 ft,,101-98,,
3:09.0,,,101-98,,Defensive rebound by B. McLemore
3:06.0,,,101-98,,Memphis full timeout
3:01.0,Violation by J. Murray (kicked ball),,101-98,,
2:50.0,,,101-98,,M. Gasol misses 2-pt shot from 2 ft
2:47.0,Defensive rebound by G. Harris,,101-98,,
2:44.0,,,101-98,,Personal take foul by B. McLemore (drawn by W. Barton)
2:44.0,,,101-98,,Technical foul by M. Gasol
2:44.0,,,101-98,,Memphis full timeout
2:44.0,J. Murray misses technical free throw,,101-98,,
2:44.0,Offensive rebound by Team,,101-98,,
2:38.0,G. Harris makes 2-pt shot at rim (assist by N. Jokic),2,103-98,,
2:31.0,Personal foul by J. Murray (drawn by M. Chalmers),,103-98,,
2:31.0,,,103-99,1,M. Chalmers makes free throw 1 of 2
2:31.0,,,103-100,1,M. Chalmers makes free throw 2 of 2
2:20.0,,,103-100,,Personal foul by D. Brooks (drawn by N. Jokic)
2:20.0,N. Jokic misses free throw 1 of 2,,103-100,,
2:20.0,Offensive rebound by Team,,103-100,,
2:20.0,N. Jokic makes free throw 2 of 2,1,104-100,,
2:07.0,,,104-100,,J. Martin misses 2-pt shot from 19 ft
2:02.0,Defensive rebound by N. Jokic,,104-100,,
1:47.0,Offensive foul by N. Jokic (drawn by M. Chalmers),,104-100,,
1:47.0,Turnover by N. Jokic (offensive foul),,104-100,,
1:38.0,Personal foul by J. Murray (drawn by M. Gasol),,104-100,,
1:38.0,W. Chandler enters the game for J. Murray,,104-100,,
1:38.0,,,104-101,1,M. Gasol makes free throw 1 of 2
1:38.0,,,104-102,1,M. Gasol makes free throw 2 of 2
1:21.0,G. Harris misses 2-pt shot from 18 ft,,104-102,,
1:19.0,Offensive rebound by Team,,104-102,,
0:59.0,G. Harris makes 2-pt shot from 19 ft,2,106-102,,
0:45.0,,,106-102,,M. Gasol misses 3-pt shot from 26 ft
0:42.0,Defensive rebound by P. Millsap,,106-102,,
0:20.0,Turnover by Team (shot clock),,106-102,,
0:20.0,,,106-102,,Memphis full timeout
0:20.0,M. Plumlee enters the game for N. Jokic,,106-102,,
0:13.0,,,106-102,,Turnover by M. Gasol (lost ball; steal by M. Plumlee)
0:12.0,,,106-102,,Personal take foul by B. McLemore (drawn by W. Barton)
0:12.0,W. Barton makes free throw 1 of 2,1,107-102,,
0:12.0,W. Barton makes free throw 2 of 2,1,108-102,,
0:07.0,,,108-102,,J. Martin misses 3-pt shot from 26 ft
0:03.0,Defensive rebound by M. Plumlee,,108-102,,
