time,San Antonio,pts.away,score,pts.home,Sacramento
0:07.0,,,82-76,3,B. Hield makes 3-pt shot from 25 ft (assist by G. Hill)
0:01.0,D. Murray makes 2-pt shot from 15 ft,2,84-76,,
0:00.0,,,84-76,,Z. Randolph misses 3-pt shot from 67 ft
0:00.0,,,84-76,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:42.0,P. Gasol misses 2-pt shot from 17 ft,,84-76,,
11:35.0,,,84-76,,Defensive rebound by B. Bogdanovic
11:24.0,,,84-76,,B. Hield misses 3-pt shot from 25 ft
11:20.0,Defensive rebound by D. Murray,,84-76,,
11:14.0,R. Gay makes 2-pt shot from 9 ft (assist by P. Gasol),2,86-76,,
10:55.0,,,86-76,,F. Mason misses 2-pt shot from 19 ft
10:50.0,Defensive rebound by R. Gay,,86-76,,
10:44.0,R. Gay makes 2-pt shot from 11 ft (assist by D. Murray),2,88-76,,
10:23.0,,,88-76,,G. Temple misses 3-pt shot from 22 ft
10:20.0,Defensive rebound by P. Gasol,,88-76,,
10:15.0,,,88-76,,W. Cauley-Stein enters the game for G. Temple
10:15.0,T. Parker enters the game for D. Murray,,88-76,,
10:15.0,B. Forbes enters the game for P. Mills,,88-76,,
10:11.0,R. Gay misses 2-pt shot from 12 ft,,88-76,,
10:10.0,Offensive rebound by K. Anderson,,88-76,,
10:10.0,Shooting foul by B. Bogdanovic (drawn by K. Anderson),,88-76,,
10:10.0,K. Anderson makes free throw 1 of 2,1,89-76,,
10:10.0,K. Anderson makes free throw 2 of 2,1,90-76,,
9:59.0,,,90-79,3,B. Bogdanovic makes 3-pt shot from 25 ft
9:42.0,R. Gay makes 3-pt shot from 25 ft (assist by P. Gasol),3,93-79,,
9:36.0,,,93-79,,Sacramento full timeout
9:19.0,,,93-79,,W. Cauley-Stein misses 2-pt shot from 8 ft
9:17.0,Defensive rebound by R. Gay,,93-79,,
9:04.0,R. Gay misses 2-pt shot from 13 ft,,93-79,,
9:00.0,,,93-79,,Defensive rebound by B. Hield
8:55.0,,,93-81,2,B. Hield makes 2-pt shot from 8 ft
8:40.0,Turnover by P. Gasol (bad pass; steal by F. Mason),,93-81,,
8:35.0,,,93-81,,F. Mason misses 2-pt shot from 3 ft
8:32.0,,,93-81,,Offensive rebound by W. Cauley-Stein
8:31.0,,,93-83,2,W. Cauley-Stein makes 2-pt shot from 1 ft
8:15.0,P. Gasol makes 2-pt shot from 2 ft (assist by T. Parker),2,95-83,,
8:15.0,Shooting foul by W. Cauley-Stein (drawn by P. Gasol),,95-83,,
8:15.0,L. Aldridge enters the game for R. Gay,,95-83,,
8:15.0,P. Gasol makes free throw 1 of 1,1,96-83,,
8:01.0,,,96-83,,B. Hield misses 2-pt shot from 16 ft
7:58.0,Defensive rebound by P. Gasol,,96-83,,
7:54.0,Turnover by T. Parker (bad pass),,96-83,,
7:54.0,D. Bertans enters the game for P. Gasol,,96-83,,
7:41.0,Personal foul by D. Bertans (drawn by K. Koufos),,96-83,,
7:28.0,,,96-83,,F. Mason misses 2-pt shot from 5 ft
7:25.0,Defensive rebound by K. Anderson,,96-83,,
7:10.0,T. Parker makes 2-pt shot from 2 ft,2,98-83,,
6:59.0,,,98-83,,B. Hield misses 2-pt shot from 11 ft
6:56.0,Defensive rebound by L. Aldridge,,98-83,,
6:46.0,T. Parker misses 2-pt shot from 16 ft,,98-83,,
6:42.0,Offensive rebound by L. Aldridge,,98-83,,
6:42.0,Turnover by L. Aldridge (bad pass),,98-83,,
6:42.0,,,98-83,,G. Hill enters the game for B. Hield
6:20.0,,,98-85,2,W. Cauley-Stein makes 2-pt shot from 1 ft
6:10.0,San Antonio full timeout,,98-85,,
6:10.0,M. Ginobili enters the game for K. Anderson,,98-85,,
6:10.0,D. Murray enters the game for T. Parker,,98-85,,
6:00.0,D. Murray misses 2-pt shot from 9 ft,,98-85,,
5:56.0,,,98-85,,Defensive rebound by W. Cauley-Stein
5:35.0,,,98-85,,K. Koufos misses 2-pt shot from 7 ft
5:31.0,Defensive rebound by D. Murray,,98-85,,
5:17.0,B. Forbes misses 2-pt shot from 17 ft,,98-85,,
5:15.0,,,98-85,,Defensive rebound by W. Cauley-Stein
5:05.0,,,98-85,,Turnover by B. Bogdanovic (out of bounds lost ball)
4:50.0,M. Ginobili misses 3-pt shot from 25 ft,,98-85,,
4:46.0,,,98-85,,Defensive rebound by W. Cauley-Stein
4:39.0,,,98-85,,K. Koufos misses 2-pt shot from 10 ft
4:35.0,Defensive rebound by D. Murray,,98-85,,
4:32.0,Shooting foul by B. Bogdanovic (drawn by D. Murray),,98-85,,
4:32.0,D. Murray misses free throw 1 of 2,,98-85,,
4:32.0,Offensive rebound by Team,,98-85,,
4:32.0,,,98-85,,G. Temple enters the game for F. Mason
4:32.0,,,98-85,,Z. Randolph enters the game for K. Koufos
4:32.0,K. Anderson enters the game for B. Forbes,,98-85,,
4:32.0,P. Mills enters the game for D. Bertans,,98-85,,
4:32.0,D. Murray makes free throw 2 of 2,1,99-85,,
4:14.0,,,99-85,,Z. Randolph misses 3-pt shot from 25 ft
4:11.0,Defensive rebound by K. Anderson,,99-85,,
4:10.0,Turnover by M. Ginobili (bad pass),,99-85,,
4:10.0,P. Gasol enters the game for K. Anderson,,99-85,,
3:54.0,,,99-85,,Shooting foul by P. Gasol (drawn by W. Cauley-Stein)
3:54.0,,,99-85,,W. Cauley-Stein misses free throw 1 of 2
3:54.0,,,99-85,,Offensive rebound by Team
3:54.0,,,99-86,1,W. Cauley-Stein makes free throw 2 of 2
3:42.0,L. Aldridge misses 2-pt shot from 2 ft,,99-86,,
3:40.0,Offensive rebound by L. Aldridge,,99-86,,
3:38.0,L. Aldridge makes 2-pt shot from 2 ft,2,101-86,,
3:32.0,,,101-89,3,B. Bogdanovic makes 3-pt shot from 24 ft (assist by G. Hill)
3:09.0,D. Murray makes 2-pt shot from 16 ft,2,103-89,,
2:58.0,,,103-89,,Turnover by G. Hill (out of bounds lost ball)
2:37.0,L. Aldridge misses 2-pt shot from 19 ft,,103-89,,
2:32.0,,,103-89,,Defensive rebound by G. Hill
2:24.0,,,103-91,2,W. Cauley-Stein makes 2-pt shot from 7 ft
2:24.0,,,103-91,,Shooting foul by P. Gasol (drawn by W. Cauley-Stein)
2:24.0,,,103-92,1,W. Cauley-Stein makes free throw 1 of 1
2:09.0,,,103-92,,Personal foul by G. Hill (drawn by P. Mills)
2:04.0,P. Mills makes 3-pt shot from 25 ft (assist by D. Murray),3,106-92,,
1:56.0,,,106-92,,Sacramento full timeout
1:41.0,,,106-92,,G. Hill misses 3-pt shot from 25 ft
1:40.0,,,106-92,,Offensive rebound by Z. Randolph
1:40.0,,,106-94,2,Z. Randolph makes 2-pt shot from 2 ft
1:26.0,D. Murray misses 2-pt shot from 3 ft,,106-94,,
1:25.0,,,106-94,,Defensive rebound by Team
1:25.0,Loose ball foul by L. Aldridge (drawn by Z. Randolph),,106-94,,
1:16.0,,,106-94,,W. Cauley-Stein misses 2-pt shot from 9 ft
1:13.0,Defensive rebound by P. Gasol,,106-94,,
1:03.0,L. Aldridge misses 3-pt shot from 25 ft,,106-94,,
0:59.0,,,106-94,,Defensive rebound by Z. Randolph
0:49.0,,,106-97,3,G. Temple makes 3-pt shot from 24 ft (assist by G. Hill)
0:36.0,D. Murray misses 2-pt shot from 2 ft,,106-97,,
0:35.0,Offensive rebound by L. Aldridge,,106-97,,
0:35.0,L. Aldridge makes 2-pt shot from 1 ft,2,108-97,,
0:19.0,,,108-99,2,W. Cauley-Stein makes 2-pt shot from 1 ft (assist by B. Bogdanovic)
