time,Orlando,pts.away,score,pts.home,Utah
2:18.0,,,78-90,,Turnover by Team (shot clock)
2:18.0,Orlando full timeout,,78-90,,
2:18.0,J. Simmons enters the game for J. Isaac,,78-90,,
2:03.0,Turnover by N. Vucevic (lost ball; steal by J. Ingles),,78-90,,
2:00.0,,,78-92,2,J. Ingles makes 2-pt shot from 2 ft (assist by R. Rubio)
1:47.0,A. Gordon misses 2-pt shot from 15 ft,,78-92,,
1:44.0,,,78-92,,Defensive rebound by R. Gobert
1:31.0,,,78-92,,D. Mitchell misses 3-pt shot from 24 ft
1:27.0,Defensive rebound by N. Vucevic,,78-92,,
1:21.0,Turnover by D. Augustin (bad pass; steal by D. Mitchell),,78-92,,
1:00.0,,,78-92,,J. Ingles misses 3-pt shot from 23 ft
0:57.0,Defensive rebound by N. Vucevic,,78-92,,
0:52.0,,,78-92,,Personal foul by D. Mitchell (drawn by D. Augustin)
0:52.0,E. Fournier makes technical free throw,1,79-92,,
0:52.0,E. Fournier makes technical free throw,1,80-92,,
0:52.0,M. Hezonja enters the game for J. Simmons,,80-92,,
0:47.0,E. Fournier misses 3-pt shot from 25 ft,,80-92,,
0:41.0,,,80-92,,Defensive rebound by J. Ingles
0:26.0,,,80-94,2,R. Rubio makes 2-pt shot from 19 ft
0:16.0,A. Gordon misses 3-pt shot from 25 ft,,80-94,,
0:12.0,,,80-94,,Defensive rebound by R. Gobert
