time,Toronto,pts.away,score,pts.home,Memphis
4:01.0,,,111-103,,Technical foul by M. Gasol
4:01.0,D. DeRozan makes technical free throw,1,112-103,,
4:01.0,D. DeRozan makes free throw 1 of 2,1,113-103,,
4:01.0,D. DeRozan makes free throw 2 of 2,1,114-103,,
3:50.0,,,114-103,,Turnover by M. Chalmers (traveling)
3:35.0,Turnover by O. Anunoby (traveling),,114-103,,
3:18.0,,,114-103,,M. Chalmers misses 3-pt shot from 23 ft
3:12.0,,,114-103,,Offensive rebound by M. Gasol
3:09.0,,,114-103,,Turnover by C. Parsons (bad pass)
3:09.0,Toronto full timeout,,114-103,,
3:09.0,S. Ibaka enters the game for J. Poeltl,,114-103,,
2:59.0,,,114-103,,Personal foul by M. Gasol (drawn by D. DeRozan)
2:45.0,O. Anunoby misses 3-pt shot from 22 ft,,114-103,,
2:42.0,,,114-103,,Defensive rebound by M. Chalmers
2:35.0,Personal foul by S. Ibaka (drawn by M. Gasol),,114-103,,
2:35.0,,,114-103,,M. Gasol misses free throw 1 of 2
2:35.0,,,114-103,,Offensive rebound by Team
2:35.0,,,114-103,,A. Harrison enters the game for J. Green
2:35.0,,,114-104,1,M. Gasol makes free throw 2 of 2
2:11.0,D. DeRozan misses 3-pt shot from 30 ft,,114-104,,
2:08.0,,,114-104,,Defensive rebound by Team
2:03.0,,,114-104,,M. Gasol misses 3-pt shot from 25 ft
1:54.0,Defensive rebound by D. DeRozan,,114-104,,
1:54.0,Shooting foul by T. Evans (drawn by S. Ibaka),,114-104,,
1:54.0,,,114-104,,Technical foul by T. Evans
1:54.0,D. DeRozan makes technical free throw,1,115-104,,
1:54.0,S. Ibaka makes free throw 1 of 2,1,116-104,,
1:54.0,S. Ibaka misses free throw 2 of 2,,116-104,,
1:52.0,,,116-104,,Defensive rebound by M. Gasol
1:42.0,,,116-106,2,T. Evans makes 2-pt shot from 17 ft (assist by A. Harrison)
1:22.0,K. Lowry misses 2-pt shot from 1 ft,,116-106,,
1:20.0,,,116-106,,Defensive rebound by T. Evans
1:17.0,Personal foul by D. DeRozan (drawn by M. Gasol),,116-106,,
1:17.0,,,116-106,,M. Gasol misses free throw 1 of 2
1:17.0,,,116-106,,Offensive rebound by Team
1:17.0,,,116-107,1,M. Gasol makes free throw 2 of 2
0:54.0,F. VanVleet misses 3-pt shot from 29 ft,,116-107,,
0:49.0,,,116-107,,Defensive rebound by A. Harrison
0:46.0,,,116-107,,M. Chalmers misses 3-pt shot from 23 ft
0:42.0,Defensive rebound by D. DeRozan,,116-107,,
0:23.0,S. Ibaka misses 2-pt shot from 16 ft,,116-107,,
0:19.0,,,116-107,,Defensive rebound by M. Gasol
0:14.0,,,116-107,,A. Harrison misses 2-pt shot at rim
0:11.0,Defensive rebound by K. Lowry,,116-107,,
