time,Washington,pts.away,score,pts.home,Portland
2:57.0,B. Beal misses 2-pt shot from 13 ft,,97-83,,
2:53.0,,,97-83,,Defensive rebound by P. Connaughton
2:48.0,,,97-83,,Offensive foul by A. Aminu (drawn by B. Beal)
2:48.0,,,97-83,,Turnover by A. Aminu (offensive foul)
2:38.0,Offensive foul by M. Morris (drawn by D. Lillard),,97-83,,
2:38.0,Turnover by M. Morris (offensive foul),,97-83,,
2:31.0,,,97-85,2,C. McCollum makes 2-pt shot from 8 ft (assist by D. Lillard)
2:09.0,M. Morris misses 3-pt shot from 25 ft,,97-85,,
2:04.0,,,97-85,,Defensive rebound by A. Aminu
1:53.0,,,97-85,,Shooting foul by B. Beal (drawn by D. Lillard)
1:53.0,,,97-86,1,D. Lillard makes free throw 1 of 2
1:53.0,,,97-87,1,D. Lillard makes free throw 2 of 2
1:37.0,T. Satoransky makes 2-pt shot from 10 ft,2,99-87,,
1:28.0,,,99-90,3,A. Aminu makes 3-pt shot from 23 ft (assist by C. McCollum)
1:08.0,B. Beal makes 3-pt shot from 24 ft,3,102-90,,
1:01.0,,,102-90,,Turnover by D. Lillard (bad pass; steal by K. Oubre)
0:58.0,K. Oubre makes 2-pt shot from 1 ft,2,104-90,,
0:53.0,,,104-92,2,C. McCollum makes 2-pt shot from 2 ft
0:34.0,B. Beal misses 2-pt shot from 1 ft,,104-92,,
0:31.0,,,104-92,,Defensive rebound by P. Connaughton
0:27.0,,,104-92,,Turnover by C. McCollum (lost ball; steal by K. Oubre)
0:24.0,B. Beal makes 2-pt shot from 1 ft (assist by K. Oubre),2,106-92,,
0:15.0,,,106-92,,D. Lillard misses 2-pt shot from 1 ft
0:12.0,Defensive rebound by K. Oubre,,106-92,,
