time,Sacramento,pts.away,score,pts.home,Orlando
1:58.0,B. Bogdanovic misses 2-pt shot from 21 ft,,99-97,,
1:56.0,,,99-97,,Defensive rebound by E. Payton
1:50.0,,,99-97,,Turnover by E. Payton (lost ball; steal by W. Cauley-Stein)
1:31.0,G. Temple makes 2-pt shot from 18 ft,2,101-97,,
1:12.0,,,101-97,,E. Fournier misses 3-pt shot from 25 ft
1:07.0,Defensive rebound by J. Jackson,,101-97,,
0:49.0,B. Bogdanovic misses 3-pt shot from 24 ft,,101-97,,
0:47.0,,,101-97,,Defensive rebound by B. Biyombo
0:38.0,,,101-97,,A. Gordon misses 2-pt shot from 3 ft (block by W. Cauley-Stein)
0:38.0,,,101-97,,Offensive rebound by Team
0:38.0,,,101-97,,Orlando full timeout
0:35.0,,,101-97,,A. Gordon misses 3-pt shot from 25 ft
0:32.0,Defensive rebound by B. Bogdanovic,,101-97,,
0:32.0,Sacramento full timeout,,101-97,,
0:30.0,,,101-97,,Personal foul by B. Biyombo (drawn by B. Bogdanovic)
0:23.0,,,101-97,,Personal foul by A. Gordon (drawn by G. Temple)
0:23.0,G. Temple makes free throw 1 of 2,1,102-97,,
0:23.0,G. Temple makes free throw 2 of 2,1,103-97,,
0:12.0,,,103-97,,E. Payton misses 2-pt shot from 3 ft (block by W. Cauley-Stein)
0:09.0,Defensive rebound by W. Cauley-Stein,,103-97,,
0:05.0,,,103-97,,Personal take foul by B. Biyombo (drawn by V. Carter)
0:05.0,,,103-97,,M. Hezonja enters the game for B. Biyombo
0:05.0,V. Carter makes free throw 1 of 2,1,104-97,,
0:05.0,V. Carter makes free throw 2 of 2,1,105-97,,
0:00.0,,,105-99,2,E. Payton makes 2-pt shot from 2 ft
