time,Washington,pts.away,score,pts.home,Golden State
2:08.0,,,61-47,,S. Curry misses 3-pt shot from 23 ft
2:05.0,Defensive rebound by O. Porter,,61-47,,
1:57.0,M. Gortat misses 2-pt shot from 1 ft,,61-47,,
1:50.0,,,61-47,,Defensive rebound by D. Green
1:46.0,,,61-47,,K. Durant misses 2-pt shot from 12 ft
1:40.0,Defensive rebound by O. Porter,,61-47,,
1:22.0,Turnover by J. Wall (bad pass; steal by K. Durant),,61-47,,
1:17.0,,,61-47,,K. Thompson misses 2-pt shot at rim
1:11.0,,,61-47,,Offensive rebound by K. Durant
1:11.0,,,61-47,,K. Durant misses 2-pt shot at rim
1:07.0,Defensive rebound by B. Beal,,61-47,,
0:58.0,J. Wall makes 3-pt shot from 25 ft (assist by M. Gortat),3,64-47,,
0:45.0,,,64-50,3,K. Durant makes 3-pt shot from 25 ft (assist by K. Thompson)
0:23.0,B. Beal misses 2-pt shot from 9 ft (block by D. Green),,64-50,,
0:19.0,Offensive rebound by K. Oubre,,64-50,,
0:19.0,K. Oubre misses 3-pt shot from 26 ft,,64-50,,
0:19.0,,,64-50,,Defensive rebound by K. Durant
0:19.0,,,64-50,,Technical foul by D. Green
0:19.0,Technical foul by B. Beal,,64-50,,
0:11.0,,,64-50,,D. West enters the game for D. Green
0:11.0,M. Scott enters the game for B. Beal,,64-50,,
0:06.0,,,64-53,3,K. Thompson makes 3-pt shot from 26 ft (assist by S. Curry)
0:01.0,J. Wall makes 3-pt shot from 26 ft,3,67-53,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:52.0,,,67-53,,Personal foul by Z. Pachulia (drawn by M. Gortat)
11:44.0,M. Gortat misses 2-pt shot from 17 ft,,67-53,,
11:41.0,Offensive rebound by K. Oubre,,67-53,,
11:41.0,K. Oubre makes 2-pt shot at rim,2,69-53,,
11:41.0,Shooting foul by K. Looney (drawn by K. Oubre),,69-53,,
11:41.0,K. Oubre makes free throw 1 of 1,1,70-53,,
11:27.0,,,70-55,2,K. Durant makes 2-pt shot from 15 ft
11:11.0,O. Porter makes 3-pt shot from 25 ft (assist by J. Wall),3,73-55,,
10:52.0,,,73-55,,Offensive charge foul by K. Thompson (drawn by J. Wall)
10:52.0,,,73-55,,Turnover by K. Thompson (offensive foul)
10:41.0,O. Porter misses 3-pt shot from 26 ft,,73-55,,
10:37.0,,,73-55,,Defensive rebound by K. Looney
10:34.0,,,73-55,,Shooting foul by O. Porter (drawn by K. Durant)
10:34.0,,,73-56,1,K. Durant makes free throw 1 of 2
10:34.0,,,73-57,1,K. Durant makes free throw 2 of 2
10:17.0,Turnover by M. Scott (lost ball; steal by S. Curry),,73-57,,
10:07.0,,,73-60,3,K. Durant makes 3-pt shot from 26 ft (assist by K. Thompson)
