time,Detroit,pts.away,score,pts.home,Washington
2:57.0,B. Marjanovic makes 2-pt shot at rim,2,88-103,,
2:57.0,Shooting foul by M. Gortat (drawn by B. Marjanovic),,88-103,,
2:57.0,B. Marjanovic makes free throw 1 of 1,1,89-103,,
2:46.0,,,89-105,2,M. Morris makes 2-pt shot from 1 ft (assist by T. Satoransky)
2:46.0,,,89-105,,Shooting foul by H. Ellenson (drawn by M. Morris)
2:46.0,,,89-106,1,M. Morris makes free throw 1 of 1
2:30.0,S. Johnson misses 2-pt shot from 5 ft (block by O. Porter),,89-106,,
2:24.0,,,89-106,,Defensive rebound by B. Beal
2:18.0,,,89-106,,Shooting foul by S. Johnson (drawn by M. Gortat)
2:18.0,,,89-107,1,M. Gortat makes free throw 1 of 2
2:18.0,,,89-107,,C. McCullough enters the game for B. Beal
2:18.0,,,89-107,,K. Oubre enters the game for M. Morris
2:18.0,,,89-107,,T. Frazier enters the game for O. Porter
2:18.0,,,89-107,,M. Gortat misses free throw 2 of 2
2:16.0,Defensive rebound by H. Ellenson,,89-107,,
2:02.0,Turnover by B. Marjanovic (lost ball; steal by M. Gortat),,89-107,,
1:56.0,,,89-107,,K. Oubre misses 3-pt shot from 26 ft
1:53.0,Defensive rebound by S. Johnson,,89-107,,
1:50.0,S. Johnson misses 2-pt shot from 10 ft,,89-107,,
1:50.0,Offensive rebound by Team,,89-107,,
1:45.0,,,89-107,,M. Scott enters the game for M. Gortat
1:37.0,Shooting foul by M. Scott (drawn by B. Marjanovic),,89-107,,
1:37.0,B. Marjanovic misses free throw 1 of 2,,89-107,,
1:37.0,Offensive rebound by Team,,89-107,,
1:37.0,B. Marjanovic misses free throw 2 of 2,,89-107,,
1:35.0,,,89-107,,Defensive rebound by K. Oubre
1:16.0,,,89-109,2,C. McCullough makes 2-pt shot from 12 ft (assist by T. Frazier)
0:53.0,B. Marjanovic makes 2-pt shot from 17 ft,2,91-109,,
0:34.0,,,91-109,,K. Oubre misses 2-pt shot from 16 ft
0:31.0,,,91-109,,Offensive rebound by T. Satoransky
0:28.0,,,91-109,,K. Oubre misses 2-pt shot from 1 ft
0:28.0,Defensive rebound by H. Ellenson,,91-109,,
0:20.0,H. Ellenson misses 2-pt shot from 9 ft,,91-109,,
0:16.0,,,91-109,,Defensive rebound by K. Oubre
