time,Denver,pts.away,score,pts.home,Orlando
1:49.0,,,101-89,,W. Iwundu misses 2-pt shot from 4 ft (block by K. Faried)
1:45.0,Defensive rebound by W. Barton,,101-89,,
1:25.0,E. Mudiay misses 3-pt shot from 25 ft,,101-89,,
1:25.0,,,101-89,,Defensive rebound by S. Mack
1:18.0,,,101-89,,Shooting foul by G. Harris (drawn by S. Mack)
1:18.0,,,101-89,,S. Mack misses free throw 1 of 2
1:18.0,,,101-89,,Offensive rebound by Team
1:18.0,,,101-89,,S. Mack misses free throw 2 of 2
1:15.0,Defensive rebound by E. Mudiay,,101-89,,
0:55.0,K. Faried makes 2-pt shot from 2 ft (assist by E. Mudiay),2,103-89,,
0:47.0,,,103-89,,S. Mack misses 2-pt shot from 7 ft
0:45.0,Defensive rebound by W. Barton,,103-89,,
0:26.0,W. Barton misses 2-pt shot from 6 ft,,103-89,,
0:23.0,Offensive rebound by W. Chandler,,103-89,,
0:01.0,Turnover by Team (shot clock),,103-89,,
0:00.0,,,103-89,,M. Speights misses 3-pt shot from 29 ft
0:00.0,,,103-89,,Offensive rebound by Team
