time,Utah,pts.away,score,pts.home,Boston
2:37.0,,,98-86,,J. Brown misses 2-pt shot from 2 ft (block by E. Udoh)
2:35.0,Defensive rebound by R. Rubio,,98-86,,
2:27.0,J. Ingles misses 2-pt shot from 1 ft (block by M. Smart),,98-86,,
2:23.0,,,98-86,,Defensive rebound by K. Irving
2:21.0,,,98-86,,K. Irving misses 2-pt shot from 3 ft
2:20.0,Defensive rebound by D. Mitchell,,98-86,,
2:03.0,J. Ingles makes 3-pt shot from 26 ft (assist by D. Mitchell),3,101-86,,
1:48.0,,,101-88,2,K. Irving makes 2-pt shot from 2 ft
1:37.0,Turnover by D. Mitchell (lost ball; steal by M. Smart),,101-88,,
1:35.0,,,101-90,2,A. Horford makes 2-pt shot from 1 ft (assist by M. Smart)
1:16.0,R. Rubio misses 2-pt shot from 15 ft,,101-90,,
1:13.0,,,101-90,,Defensive rebound by A. Horford
1:06.0,,,101-90,,M. Smart misses 2-pt shot from 1 ft
1:05.0,,,101-90,,Offensive rebound by Team
1:05.0,Loose ball foul by R. Rubio (drawn by K. Irving),,101-90,,
1:05.0,A. Burks enters the game for R. Rubio,,101-90,,
1:05.0,,,101-91,1,K. Irving makes free throw 1 of 2
1:05.0,,,101-91,,G. Yabusele enters the game for J. Tatum
1:05.0,,,101-91,,S. Ojeleye enters the game for J. Brown
1:05.0,,,101-91,,S. Larkin enters the game for M. Smart
1:05.0,,,101-91,,A. Nader enters the game for A. Horford
1:05.0,,,101-92,1,K. Irving makes free throw 2 of 2
0:48.0,R. Hood makes 3-pt shot from 27 ft,3,104-92,,
0:40.0,,,104-95,3,G. Yabusele makes 3-pt shot from 25 ft (assist by K. Irving)
0:19.0,J. Ingles makes 3-pt shot from 23 ft (assist by A. Burks),3,107-95,,
0:12.0,,,107-95,,K. Irving misses 3-pt shot from 24 ft
0:09.0,Defensive rebound by E. Udoh,,107-95,,
