time,Miami,pts.away,score,pts.home,LA Clippers
5:47.0,J. Winslow enters the game for T. Johnson,,93-85,,
5:47.0,J. Richardson enters the game for K. Olynyk,,93-85,,
5:47.0,H. Whiteside enters the game for J. Johnson,,93-85,,
5:32.0,J. Richardson misses 3-pt shot from 23 ft,,93-85,,
5:28.0,,,93-85,,Defensive rebound by D. Jordan
5:22.0,,,93-85,,L. Williams misses 3-pt shot from 25 ft
5:18.0,Jump ball: P. Beverley vs. H. Whiteside (D. Jordan gains possession),,,,Jump ball: P. Beverley vs. H. Whiteside (D. Jordan gains possession)
5:18.0,,,93-85,,Offensive rebound by P. Beverley
5:18.0,,,93-85,,Shooting foul by J. Winslow (drawn by D. Jordan)
5:18.0,,,93-85,,D. Jordan misses free throw 1 of 2
5:18.0,,,93-85,,Offensive rebound by Team
5:18.0,,,93-86,1,D. Jordan makes free throw 2 of 2
4:57.0,H. Whiteside misses 2-pt shot from 10 ft,,93-86,,
4:53.0,,,93-86,,Defensive rebound by P. Beverley
4:47.0,,,93-88,2,L. Williams makes 2-pt shot from 9 ft (assist by P. Beverley)
4:25.0,G. Dragic misses 3-pt shot from 26 ft,,93-88,,
4:21.0,,,93-88,,Defensive rebound by P. Beverley
4:12.0,Violation by G. Dragic (kicked ball),,93-88,,
4:12.0,,,93-88,,LA Clippers full timeout
4:12.0,T. Johnson enters the game for W. Ellington,,93-88,,
4:12.0,J. Johnson enters the game for J. Winslow,,93-88,,
4:03.0,,,93-90,2,L. Williams makes 2-pt shot from 10 ft
3:39.0,Turnover by J. Johnson (lost ball; steal by B. Griffin),,93-90,,
3:31.0,,,93-90,,L. Williams misses 3-pt shot from 25 ft
3:26.0,Defensive rebound by H. Whiteside,,93-90,,
3:26.0,Turnover by H. Whiteside (bad pass),,93-90,,
3:26.0,,,93-90,,LA Clippers full timeout
3:19.0,,,93-90,,L. Williams misses 3-pt shot from 28 ft
3:17.0,,,93-90,,Offensive rebound by D. Jordan
3:17.0,,,93-92,2,D. Jordan makes 2-pt shot from 1 ft
3:17.0,,,93-92,,Shooting foul by H. Whiteside (drawn by D. Jordan)
3:17.0,,,93-93,1,D. Jordan makes free throw 1 of 1
3:05.0,Turnover by T. Johnson (lost ball; steal by P. Beverley),,93-93,,
3:04.0,Personal foul by T. Johnson (drawn by P. Beverley),,93-93,,
2:55.0,,,93-93,,Shooting foul by J. Richardson (drawn by B. Griffin)
2:55.0,,,93-94,1,B. Griffin makes free throw 1 of 2
2:55.0,,,93-95,1,B. Griffin makes free throw 2 of 2
2:39.0,J. Richardson makes 3-pt shot from 23 ft (assist by G. Dragic),3,96-95,,
2:19.0,,,96-95,,B. Griffin misses 2-pt shot from 1 ft
2:16.0,Defensive rebound by H. Whiteside,,96-95,,
1:59.0,,,96-95,,Personal foul by P. Beverley (drawn by G. Dragic)
1:59.0,G. Dragic makes free throw 1 of 2,1,97-95,,
1:59.0,G. Dragic makes free throw 2 of 2,1,98-95,,
1:43.0,,,98-97,2,L. Williams makes 2-pt shot from 10 ft (assist by B. Griffin)
1:29.0,H. Whiteside makes 2-pt shot from 1 ft (assist by J. Johnson),2,100-97,,
1:11.0,,,100-97,,B. Griffin misses 2-pt shot from 2 ft
1:03.0,,,100-97,,Offensive rebound by D. Jordan
1:03.0,,,100-97,,D. Jordan misses 2-pt shot at rim
1:02.0,Defensive rebound by T. Johnson,,100-97,,
0:54.0,J. Johnson misses 2-pt shot from 2 ft,,100-97,,
0:52.0,,,100-97,,Defensive rebound by P. Beverley
0:43.0,,,100-97,,Shooting foul by H. Whiteside (drawn by B. Griffin)
0:43.0,,,100-98,1,B. Griffin makes free throw 1 of 2
0:43.0,,,100-98,,A. Rivers enters the game for L. Williams
0:43.0,,,100-99,1,B. Griffin makes free throw 2 of 2
0:28.0,Turnover by G. Dragic (bad pass; steal by A. Rivers),,100-99,,
0:26.0,,,100-101,2,W. Johnson makes 2-pt shot at rim (assist by A. Rivers)
0:26.0,Miami full timeout,,100-101,,
0:17.0,Turnover by J. Johnson (lost ball; steal by A. Rivers),,100-101,,
0:17.0,Loose ball foul by J. Johnson (drawn by A. Rivers),,100-101,,
0:17.0,,,100-101,,A. Rivers misses free throw 1 of 2
0:17.0,,,100-101,,Offensive rebound by Team
0:17.0,,,100-101,,A. Rivers misses free throw 2 of 2
0:16.0,Miami full timeout,,100-101,,
0:16.0,Offensive rebound by G. Dragic,,100-101,,
0:08.0,,,100-101,,Personal foul by B. Griffin (drawn by J. Johnson)
0:08.0,J. Johnson makes free throw 1 of 2,1,101-101,,
0:08.0,J. Johnson makes free throw 2 of 2,1,102-101,,
0:08.0,,,102-101,,LA Clippers full timeout
0:08.0,,,102-101,,L. Williams enters the game for A. Rivers
0:08.0,J. Winslow enters the game for G. Dragic,,102-101,,
0:08.0,,,102-101,,LA Clippers full timeout
0:03.0,,,102-101,,B. Griffin misses 2-pt shot from 17 ft
0:00.0,Defensive rebound by J. Richardson,,102-101,,
0:00.0,,,102-101,,Personal foul by W. Johnson (drawn by J. Richardson)
0:00.0,J. Richardson makes free throw 1 of 2,1,103-101,,
0:00.0,J. Richardson makes free throw 2 of 2,1,104-101,,
0:00.0,,,104-101,,Turnover by D. Jordan (bad pass; steal by J. Winslow)
