time,Orlando,pts.away,score,pts.home,Cleveland
4:05.0,Shooting foul by C. Osman (drawn by S. Mack),,106-79,,
4:05.0,S. Mack makes free throw 1 of 2,1,107-79,,
4:05.0,S. Mack makes free throw 2 of 2,1,108-79,,
3:52.0,,,108-79,,Shooting foul by K. Birch (drawn by I. Shumpert)
3:52.0,,,108-80,1,I. Shumpert makes free throw 1 of 2
3:52.0,,,108-80,,I. Shumpert misses free throw 2 of 2
3:50.0,Defensive rebound by M. Speights,,108-80,,
3:39.0,W. Iwundu misses 2-pt shot from 14 ft,,108-80,,
3:38.0,,,108-80,,Defensive rebound by I. Shumpert
3:38.0,Personal foul by M. Speights (drawn by I. Shumpert),,108-80,,
3:38.0,,,108-81,1,I. Shumpert makes free throw 1 of 2
3:38.0,,,108-82,1,I. Shumpert makes free throw 2 of 2
3:25.0,K. Birch makes 2-pt shot from 1 ft (assist by S. Mack),2,110-82,,
3:05.0,Personal foul by K. Birch (drawn by I. Shumpert),,110-82,,
3:05.0,,,110-82,,I. Shumpert misses free throw 1 of 2
3:05.0,,,110-82,,Offensive rebound by Team
3:05.0,,,110-83,1,I. Shumpert makes free throw 2 of 2
2:41.0,M. Hezonja makes 3-pt shot from 24 ft (assist by K. Birch),3,113-83,,
2:23.0,,,113-83,,Shooting foul by K. Birch (drawn by I. Shumpert)
2:23.0,,,113-84,1,I. Shumpert makes free throw 1 of 2
2:23.0,,,113-85,1,I. Shumpert makes free throw 2 of 2
2:10.0,S. Mack misses 2-pt shot from 4 ft (block by A. Zizic),,113-85,,
2:10.0,Offensive rebound by Team,,113-85,,
2:08.0,Shooting foul by C. Osman (drawn by W. Iwundu),,113-85,,
2:08.0,W. Iwundu misses free throw 1 of 2,,113-85,,
2:08.0,Offensive rebound by Team,,113-85,,
2:08.0,W. Iwundu makes free throw 2 of 2,1,114-85,,
1:46.0,,,114-88,3,I. Shumpert makes 3-pt shot from 26 ft
1:33.0,Turnover by S. Mack (traveling),,114-88,,
1:19.0,,,114-91,3,C. Frye makes 3-pt shot from 23 ft (assist by C. Osman)
1:05.0,K. Birch misses 2-pt shot from 15 ft,,114-91,,
1:01.0,,,114-91,,Defensive rebound by J. Calderon
0:44.0,,,114-91,,I. Shumpert misses 2-pt shot from 22 ft
0:44.0,,,114-91,,Offensive rebound by A. Zizic
0:44.0,,,114-91,,Shooting foul by W. Iwundu (drawn by A. Zizic)
0:44.0,,,114-92,1,A. Zizic makes free throw 1 of 2
0:44.0,,,114-93,1,A. Zizic makes free throw 2 of 2
0:28.0,W. Iwundu misses 2-pt shot from 1 ft,,114-93,,
0:25.0,Offensive rebound by K. Birch,,114-93,,
0:24.0,K. Birch misses 2-pt shot from 1 ft,,114-93,,
0:24.0,Offensive rebound by K. Birch,,114-93,,
0:08.0,W. Iwundu misses 2-pt shot from 7 ft (block by A. Zizic),,114-93,,
0:06.0,,,114-93,,Defensive rebound by A. Zizic
0:00.0,,,114-93,,I. Shumpert misses 2-pt shot from 2 ft
0:00.0,Defensive rebound by W. Iwundu,,114-93,,
