time,Philadelphia,pts.away,score,pts.home,Washington
2:17.0,,,44-55,2,O. Porter makes 2-pt shot from 2 ft (assist by T. Satoransky)
2:06.0,D. Saric misses 2-pt shot from 1 ft,,44-55,,
2:06.0,,,44-55,,Defensive rebound by T. Satoransky
1:59.0,,,44-57,2,O. Porter makes 2-pt shot from 2 ft (assist by T. Satoransky)
1:47.0,J. Redick misses 3-pt shot from 28 ft,,44-57,,
1:42.0,Offensive rebound by A. Johnson,,44-57,,
1:38.0,Shooting foul by O. Porter (drawn by A. Johnson),,44-57,,
1:38.0,A. Johnson makes free throw 1 of 2,1,45-57,,
1:38.0,A. Johnson misses free throw 2 of 2,,45-57,,
1:36.0,Offensive rebound by Team,,45-57,,
1:36.0,J. Embiid enters the game for A. Johnson,,45-57,,
1:35.0,Turnover by B. Simmons (bad pass; steal by M. Morris),,45-57,,
1:32.0,,,45-57,,Shooting foul by J. Embiid (drawn by T. Satoransky)
1:32.0,,,45-58,1,T. Satoransky makes free throw 1 of 2
1:32.0,,,45-59,1,T. Satoransky makes free throw 2 of 2
1:20.0,B. Simmons misses 2-pt shot from 9 ft,,45-59,,
1:18.0,,,45-59,,Defensive rebound by M. Morris
1:16.0,,,45-59,,Turnover by M. Morris (bad pass; steal by D. Saric)
1:12.0,D. Saric misses 3-pt shot from 26 ft,,45-59,,
1:09.0,Offensive rebound by B. Simmons,,45-59,,
1:08.0,B. Simmons makes 2-pt shot from 1 ft,2,47-59,,
0:53.0,,,47-61,2,B. Beal makes 2-pt shot from 15 ft
0:41.0,Shooting foul by B. Beal (drawn by J. Embiid),,47-61,,
0:41.0,J. Embiid makes free throw 1 of 2,1,48-61,,
0:41.0,,,48-61,,M. Gortat enters the game for M. Morris
0:41.0,T. McConnell enters the game for M. Belinelli,,48-61,,
0:41.0,J. Embiid misses free throw 2 of 2,,48-61,,
0:38.0,,,48-61,,Defensive rebound by O. Porter
0:33.0,,,48-64,3,B. Beal makes 3-pt shot from 25 ft
0:23.0,Offensive foul by J. Embiid (drawn by M. Gortat),,48-64,,
0:23.0,Turnover by J. Embiid (offensive foul),,48-64,,
0:23.0,R. Covington enters the game for J. Embiid,,48-64,,
0:00.0,,,48-67,3,O. Porter makes 3-pt shot from 25 ft (assist by T. Satoransky)
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:39.0,,,48-69,2,M. Morris makes 2-pt shot from 18 ft (assist by O. Porter)
11:19.0,J. Redick misses 2-pt shot from 10 ft,,48-69,,
11:15.0,Offensive rebound by B. Simmons,,48-69,,
11:14.0,B. Simmons misses 2-pt shot from 2 ft,,48-69,,
11:14.0,Offensive rebound by J. Embiid,,48-69,,
11:12.0,J. Embiid misses 2-pt shot from 2 ft,,48-69,,
11:12.0,Offensive rebound by J. Embiid,,48-69,,
11:12.0,,,48-69,,Loose ball foul by T. Satoransky (drawn by J. Embiid)
10:58.0,Turnover by D. Saric (bad pass; steal by O. Porter),,48-69,,
10:42.0,,,48-69,,O. Porter misses 2-pt shot from 22 ft
10:40.0,Defensive rebound by B. Simmons,,48-69,,
10:35.0,D. Saric misses 3-pt shot from 25 ft,,48-69,,
10:32.0,,,48-69,,Defensive rebound by M. Gortat
