time,Utah,pts.away,score,pts.home,Milwaukee
6:34.0,R. O'Neale makes free throw 2 of 2,1,83-93,,
6:18.0,,,83-95,2,G. Antetokounmpo makes 2-pt shot at rim
5:56.0,Turnover by T. Sefolosha (bad pass; steal by J. Henson),,83-95,,
5:50.0,,,83-95,,G. Antetokounmpo misses 2-pt shot at rim
5:46.0,Defensive rebound by R. O'Neale,,83-95,,
5:43.0,D. Mitchell makes 3-pt shot from 23 ft (assist by R. O'Neale),3,86-95,,
5:21.0,,,86-98,3,E. Bledsoe makes 3-pt shot from 25 ft (assist by M. Brogdon)
4:59.0,Turnover by D. Mitchell (lost ball; steal by E. Bledsoe),,86-98,,
4:53.0,,,86-98,,M. Brogdon misses 3-pt shot from 22 ft
4:53.0,Defensive rebound by Team,,86-98,,
4:53.0,,,86-98,,Loose ball foul by K. Middleton (drawn by R. Rubio)
4:53.0,R. Rubio makes free throw 1 of 2,1,87-98,,
4:53.0,R. Gobert enters the game for D. Favors,,87-98,,
4:53.0,R. Rubio makes free throw 2 of 2,1,88-98,,
4:29.0,,,88-101,3,G. Antetokounmpo makes 3-pt shot from 29 ft
4:26.0,Utah full timeout,,88-101,,
4:26.0,J. Ingles enters the game for R. Rubio,,88-101,,
4:26.0,A. Burks enters the game for R. O'Neale,,88-101,,
4:09.0,J. Ingles misses 2-pt shot from 2 ft,,88-101,,
4:09.0,Offensive rebound by Team,,88-101,,
3:51.0,A. Burks misses 2-pt shot from 13 ft (block by J. Henson),,88-101,,
3:47.0,,,88-101,,Defensive rebound by J. Henson
3:28.0,,,88-104,3,K. Middleton makes 3-pt shot from 26 ft
3:08.0,J. Ingles makes 3-pt shot from 27 ft (assist by D. Mitchell),3,91-104,,
3:00.0,Personal block foul by A. Burks (drawn by M. Brogdon),,91-104,,
3:00.0,,,91-105,1,M. Brogdon makes free throw 1 of 2
3:00.0,,,91-106,1,M. Brogdon makes free throw 2 of 2
2:52.0,,,91-106,,Personal foul by K. Middleton (drawn by J. Ingles)
2:52.0,J. Ingles makes free throw 1 of 2,1,92-106,,
2:52.0,J. Ingles misses free throw 2 of 2,,92-106,,
2:46.0,,,92-106,,Defensive rebound by K. Middleton
2:30.0,,,92-108,2,J. Henson makes 2-pt shot from 1 ft (assist by K. Middleton)
2:17.0,D. Mitchell misses 3-pt shot from 27 ft,,92-108,,
2:09.0,Offensive rebound by R. Gobert,,92-108,,
2:09.0,R. Gobert makes 2-pt shot at rim,2,94-108,,
1:57.0,,,94-108,,Turnover by E. Bledsoe (bad pass; steal by D. Mitchell)
1:51.0,D. Mitchell misses 2-pt shot from 1 ft,,94-108,,
1:51.0,Offensive rebound by Team,,94-108,,
1:49.0,Turnover by D. Mitchell (bad pass; steal by G. Antetokounmpo),,94-108,,
1:47.0,,,94-110,2,G. Antetokounmpo makes 2-pt shot at rim (assist by K. Middleton)
1:47.0,,,94-110,,Shooting foul by T. Sefolosha (drawn by G. Antetokounmpo)
1:47.0,R. Rubio enters the game for D. Mitchell,,94-110,,
1:47.0,,,94-111,1,G. Antetokounmpo makes free throw 1 of 1
1:38.0,R. Gobert makes 2-pt shot from 1 ft (assist by R. Rubio),2,96-111,,
1:17.0,,,96-113,2,E. Bledsoe makes 2-pt shot from 1 ft
1:05.0,J. Ingles misses 3-pt shot from 22 ft,,96-113,,
1:05.0,Offensive rebound by A. Burks,,96-113,,
1:01.0,A. Burks makes 2-pt shot at rim,2,98-113,,
0:46.0,,,98-115,2,M. Brogdon makes 2-pt shot from 1 ft
0:38.0,Shooting foul by G. Antetokounmpo (drawn by R. Gobert),,98-115,,
0:38.0,R. Gobert misses free throw 1 of 2,,98-115,,
0:38.0,Offensive rebound by Team,,98-115,,
0:38.0,R. Gobert misses free throw 2 of 2,,98-115,,
0:35.0,,,98-115,,Defensive rebound by J. Henson
0:17.0,,,98-117,2,G. Antetokounmpo makes 2-pt shot at rim
0:05.0,T. Sefolosha makes 2-pt shot from 1 ft (assist by J. Ingles),2,100-117,,
