time,Milwaukee,pts.away,score,pts.home,Portland
2:34.0,,,99-87,2,E. Turner makes 2-pt shot from 1 ft (assist by D. Lillard)
2:16.0,,,99-87,,Personal foul by E. Turner (drawn by G. Antetokounmpo)
2:06.0,E. Bledsoe misses 2-pt shot from 16 ft,,99-87,,
2:03.0,,,99-87,,Defensive rebound by P. Connaughton
2:00.0,,,99-87,,Offensive foul by J. Nurkic (drawn by E. Bledsoe)
2:00.0,,,99-87,,Turnover by J. Nurkic (offensive foul)
1:44.0,J. Henson makes 2-pt shot from 9 ft (assist by T. Snell),2,101-87,,
1:33.0,,,101-87,,J. Nurkic misses 2-pt shot from 1 ft
1:30.0,Defensive rebound by K. Middleton,,101-87,,
1:14.0,T. Snell misses 2-pt shot from 14 ft,,101-87,,
1:13.0,Offensive rebound by G. Antetokounmpo,,101-87,,
1:13.0,G. Antetokounmpo makes 2-pt shot from 1 ft,2,103-87,,
1:13.0,,,103-87,,Portland full timeout
1:13.0,,,103-87,,M. Leonard enters the game for D. Lillard
1:13.0,,,103-87,,Z. Collins enters the game for E. Turner
1:13.0,,,103-87,,S. Napier enters the game for C. McCollum
1:13.0,,,103-87,,J. Layman enters the game for J. Nurkic
0:57.0,,,103-87,,S. Napier misses 2-pt shot from 1 ft
0:55.0,Defensive rebound by J. Henson,,103-87,,
0:53.0,Milwaukee full timeout,,103-87,,
0:53.0,R. Vaughn enters the game for E. Bledsoe,,103-87,,
0:53.0,G. Payton enters the game for T. Snell,,103-87,,
0:53.0,D. Liggins enters the game for K. Middleton,,103-87,,
0:53.0,J. Bolomboy enters the game for J. Henson,,103-87,,
0:53.0,D. Wilson enters the game for G. Antetokounmpo,,103-87,,
0:39.0,G. Payton misses 2-pt shot from 10 ft,,103-87,,
0:37.0,,,103-87,,Defensive rebound by M. Leonard
0:30.0,,,103-89,2,M. Leonard makes 2-pt shot from 16 ft (assist by S. Napier)
0:16.0,Turnover by D. Liggins (bad pass; steal by S. Napier),,103-89,,
0:10.0,,,103-91,2,J. Layman makes 2-pt shot from 13 ft
