time,Miami,pts.away,score,pts.home,Milwaukee
5:05.0,,,90-90,,E. Bledsoe misses 2-pt shot from 15 ft
5:00.0,Defensive rebound by W. Ellington,,90-90,,
4:59.0,Miami full timeout,,90-90,,
4:59.0,G. Dragic enters the game for W. Ellington,,90-90,,
4:59.0,J. Johnson enters the game for K. Olynyk,,90-90,,
4:59.0,H. Whiteside enters the game for B. Adebayo,,90-90,,
4:39.0,J. Johnson makes 3-pt shot from 27 ft,3,93-90,,
4:20.0,,,93-93,3,G. Antetokounmpo makes 3-pt shot from 26 ft (assist by T. Snell)
4:00.0,Turnover by G. Dragic (bad pass; steal by G. Antetokounmpo),,93-93,,
3:55.0,,,93-93,,K. Middleton misses 3-pt shot from 26 ft
3:52.0,Defensive rebound by H. Whiteside,,93-93,,
3:38.0,H. Whiteside makes 2-pt shot from 1 ft (assist by J. Winslow),2,95-93,,
3:19.0,,,95-93,,G. Antetokounmpo misses 2-pt shot from 3 ft (block by H. Whiteside)
3:16.0,Defensive rebound by G. Dragic,,95-93,,
3:11.0,J. Winslow makes 3-pt shot from 24 ft (assist by G. Dragic),3,98-93,,
3:10.0,,,98-93,,Milwaukee full timeout
3:10.0,,,98-93,,M. Brogdon enters the game for T. Snell
3:04.0,Personal foul by J. Richardson (drawn by E. Bledsoe),,98-93,,
2:45.0,,,98-93,,K. Middleton misses 3-pt shot from 27 ft
2:42.0,Defensive rebound by G. Dragic,,98-93,,
2:34.0,Shooting foul by K. Middleton (drawn by J. Johnson),,98-93,,
2:34.0,J. Johnson makes free throw 1 of 2,1,99-93,,
2:34.0,J. Johnson makes free throw 2 of 2,1,100-93,,
2:25.0,,,100-93,,Shooting foul by J. Richardson (drawn by E. Bledsoe)
2:25.0,,,100-94,1,E. Bledsoe makes free throw 1 of 2
2:25.0,,,100-95,1,E. Bledsoe makes free throw 2 of 2
2:09.0,J. Richardson misses 2-pt shot from 18 ft,,100-95,,
2:05.0,,,100-95,,Defensive rebound by E. Bledsoe
2:05.0,Personal foul by J. Winslow (drawn by E. Bledsoe),,100-95,,
2:01.0,,,100-95,,E. Bledsoe misses 3-pt shot from 27 ft
1:58.0,Defensive rebound by H. Whiteside,,100-95,,
1:38.0,Turnover by G. Dragic (bad pass; steal by M. Brogdon),,100-95,,
1:18.0,,,100-95,,G. Antetokounmpo misses 3-pt shot from 25 ft
1:15.0,Defensive rebound by H. Whiteside,,100-95,,
0:57.0,G. Dragic makes 2-pt shot from 2 ft,2,102-95,,
0:43.0,,,102-98,3,K. Middleton makes 3-pt shot from 25 ft (assist by E. Bledsoe)
0:19.0,J. Winslow misses 2-pt shot from 14 ft,,102-98,,
0:19.0,Offensive rebound by Team,,102-98,,
0:14.0,Jump ball: G. Antetokounmpo vs. H. Whiteside,,,,Jump ball: G. Antetokounmpo vs. H. Whiteside
0:14.0,Miami full timeout,,102-98,,
0:14.0,,,102-98,,T. Snell enters the game for J. Henson
0:12.0,,,102-98,,Personal foul by K. Middleton (drawn by G. Dragic)
0:12.0,G. Dragic makes free throw 1 of 2,1,103-98,,
0:12.0,,,103-98,,J. Henson enters the game for T. Snell
0:12.0,G. Dragic makes free throw 2 of 2,1,104-98,,
0:12.0,,,104-98,,Milwaukee full timeout
0:12.0,,,104-98,,M. Dellavedova enters the game for J. Henson
0:12.0,W. Ellington enters the game for H. Whiteside,,104-98,,
0:10.0,,,104-101,3,K. Middleton makes 3-pt shot from 28 ft (assist by E. Bledsoe)
0:09.0,,,104-101,,Personal foul by M. Brogdon (drawn by J. Richardson)
0:09.0,,,104-101,,Personal foul by E. Bledsoe (drawn by W. Ellington)
0:09.0,W. Ellington makes free throw 1 of 2,1,105-101,,
0:09.0,W. Ellington makes free throw 2 of 2,1,106-101,,
0:03.0,,,106-101,,E. Bledsoe misses 3-pt shot from 27 ft
0:02.0,,,106-101,,Offensive rebound by G. Antetokounmpo
0:02.0,,,106-101,,G. Antetokounmpo misses 2-pt shot at rim
0:02.0,,,106-101,,Offensive rebound by G. Antetokounmpo
0:02.0,,,106-101,,Shooting foul by J. Johnson (drawn by G. Antetokounmpo)
0:02.0,H. Whiteside enters the game for W. Ellington,,106-101,,
0:02.0,,,106-101,,G. Antetokounmpo misses free throw 1 of 2
0:02.0,,,106-101,,Offensive rebound by Team
0:02.0,,,106-101,,G. Antetokounmpo misses free throw 2 of 2
0:00.0,Defensive rebound by J. Johnson,,106-101,,
