time,Minnesota,pts.away,score,pts.home,Washington
1:24.0,,,49-54,1,M. Morris makes free throw 1 of 2
1:24.0,G. Dieng enters the game for T. Gibson,,49-54,,
1:24.0,,,49-55,1,M. Morris makes free throw 2 of 2
1:13.0,A. Wiggins misses 2-pt shot from 1 ft,,49-55,,
1:10.0,,,49-55,,Defensive rebound by O. Porter
1:03.0,,,49-57,2,M. Gortat makes 2-pt shot at rim (assist by T. Satoransky)
1:03.0,C. Aldrich enters the game for K. Towns,,49-57,,
0:49.0,C. Aldrich misses 2-pt shot from 3 ft,,49-57,,
0:48.0,Offensive rebound by G. Dieng,,49-57,,
0:47.0,G. Dieng makes 2-pt shot from 2 ft,2,51-57,,
0:28.0,,,51-57,,M. Morris misses 3-pt shot from 25 ft
0:25.0,,,51-57,,Offensive rebound by B. Beal
0:25.0,,,51-59,2,B. Beal makes 2-pt shot from 1 ft
0:04.0,J. Teague makes 2-pt shot at rim,2,53-59,,
0:01.0,,,53-59,,M. Morris misses 3-pt shot from 27 ft
0:01.0,,,53-59,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:45.0,K. Towns makes 2-pt shot from 5 ft,2,55-59,,
11:45.0,Shooting foul by M. Gortat (drawn by K. Towns),,55-59,,
11:45.0,K. Towns makes free throw 1 of 1,1,56-59,,
11:31.0,,,56-61,2,M. Morris makes 2-pt shot from 18 ft (assist by T. Satoransky)
11:15.0,,,56-61,,Def 3 sec tech foul by M. Gortat
11:15.0,J. Teague makes technical free throw,1,57-61,,
11:08.0,Shooting foul by M. Gortat (drawn by K. Towns),,57-61,,
11:08.0,K. Towns makes free throw 1 of 2,1,58-61,,
11:08.0,K. Towns makes free throw 2 of 2,1,59-61,,
11:00.0,,,59-61,,Turnover by T. Satoransky (lost ball; steal by T. Gibson)
10:59.0,,,59-61,,Personal foul by T. Satoransky (drawn by T. Gibson)
10:44.0,N. Bjelica makes 2-pt shot from 3 ft (assist by J. Teague),2,61-61,,
10:20.0,,,61-63,2,O. Porter makes 2-pt shot from 20 ft
10:02.0,A. Wiggins misses 3-pt shot from 26 ft,,61-63,,
9:57.0,,,61-63,,Defensive rebound by B. Beal
9:49.0,,,61-65,2,B. Beal makes 2-pt shot from 8 ft
9:38.0,J. Teague makes 2-pt shot from 1 ft,2,63-65,,
9:30.0,,,63-65,,Turnover by B. Beal (out of bounds lost ball)
9:17.0,N. Bjelica misses 2-pt shot from 12 ft,,63-65,,
9:14.0,Offensive rebound by K. Towns,,63-65,,
9:11.0,K. Towns makes 2-pt shot from 3 ft,2,65-65,,
8:51.0,,,65-68,3,M. Morris makes 3-pt shot from 25 ft (assist by B. Beal)
8:25.0,T. Gibson makes 2-pt shot from 2 ft,2,67-68,,
8:14.0,Personal foul by K. Towns (drawn by M. Gortat),,67-68,,
8:09.0,,,67-68,,O. Porter misses 2-pt shot from 19 ft
8:02.0,,,67-68,,Offensive rebound by M. Gortat
7:54.0,,,67-70,2,O. Porter makes 2-pt shot from 9 ft
7:39.0,Turnover by N. Bjelica (bad pass; steal by T. Satoransky),,67-70,,
7:37.0,,,67-70,,Shooting foul by A. Wiggins (drawn by T. Satoransky)
7:37.0,,,67-71,1,T. Satoransky makes free throw 1 of 2
7:37.0,,,67-72,1,T. Satoransky makes free throw 2 of 2
7:19.0,N. Bjelica misses 3-pt shot from 26 ft,,67-72,,
7:13.0,Offensive rebound by T. Gibson,,67-72,,
7:13.0,T. Gibson misses 2-pt shot at rim,,67-72,,
7:11.0,,,67-72,,Defensive rebound by O. Porter
7:05.0,,,67-74,2,M. Morris makes 2-pt shot from 19 ft
7:03.0,Minnesota full timeout,,67-74,,
6:51.0,J. Teague misses 3-pt shot from 26 ft,,67-74,,
6:48.0,,,67-74,,Defensive rebound by T. Satoransky
6:33.0,,,67-74,,B. Beal misses 2-pt shot from 20 ft
6:28.0,Defensive rebound by K. Towns,,67-74,,
6:14.0,T. Gibson makes 2-pt shot from 3 ft (assist by N. Bjelica),2,69-74,,
6:03.0,,,69-74,,O. Porter misses 2-pt shot from 19 ft
5:58.0,Defensive rebound by J. Teague,,69-74,,
5:43.0,K. Towns makes 3-pt shot from 25 ft (assist by J. Teague),3,72-74,,
5:20.0,,,72-74,,Shooting foul by A. Wiggins (drawn by M. Morris)
5:20.0,,,72-75,1,M. Morris makes free throw 1 of 2
5:20.0,,,72-76,1,M. Morris makes free throw 2 of 2
5:07.0,A. Wiggins makes 2-pt shot from 1 ft (assist by K. Towns),2,74-76,,
4:51.0,,,74-78,2,M. Gortat makes 2-pt shot at rim (assist by M. Morris)
4:37.0,K. Towns makes 2-pt shot from 17 ft (assist by N. Bjelica),2,76-78,,
4:13.0,,,76-80,2,M. Morris makes 2-pt shot at rim (assist by B. Beal)
3:46.0,J. Teague misses 2-pt shot from 1 ft,,76-80,,
3:45.0,,,76-80,,Defensive rebound by T. Satoransky
3:45.0,Personal foul by K. Towns (drawn by T. Satoransky),,76-80,,
