time,Miami,pts.away,score,pts.home,Cleveland
2:10.0,,,93-108,,K. Korver misses 3-pt shot from 26 ft
2:07.0,Defensive rebound by U. Haslem,,93-108,,
1:51.0,D. Walton misses 2-pt shot from 21 ft,,93-108,,
1:48.0,,,93-108,,Defensive rebound by J. Green
1:31.0,,,93-108,,A. Zizic enters the game for C. Frye
1:31.0,,,93-108,,J. Holland enters the game for K. Korver
1:25.0,,,93-108,,J. Green misses 3-pt shot from 24 ft
1:20.0,Defensive rebound by J. Winslow,,93-108,,
1:13.0,B. Adebayo makes 2-pt shot from 15 ft (assist by W. Ellington),2,95-108,,
0:57.0,,,95-108,,J. Holland misses 2-pt shot from 11 ft
0:55.0,Defensive rebound by B. Adebayo,,95-108,,
0:48.0,J. Winslow misses 2-pt shot from 1 ft,,95-108,,
0:45.0,,,95-108,,Defensive rebound by J. Calderon
0:28.0,,,95-108,,A. Zizic misses 2-pt shot from 8 ft
0:25.0,Defensive rebound by J. Winslow,,95-108,,
0:09.0,B. Adebayo makes 2-pt shot from 8 ft,2,97-108,,
