time,Boston,pts.away,score,pts.home,LA Lakers
3:17.0,T. Rozier misses 2-pt shot from 11 ft,,93-99,,
3:12.0,Offensive rebound by T. Rozier,,93-99,,
3:12.0,T. Rozier makes 2-pt shot at rim,2,95-99,,
2:58.0,,,95-99,,Shooting foul by A. Horford (drawn by L. Nance)
2:58.0,,,95-100,1,L. Nance makes free throw 1 of 2
2:58.0,,,95-100,,L. Nance misses free throw 2 of 2
2:55.0,Defensive rebound by J. Tatum,,95-100,,
2:45.0,K. Irving makes 3-pt shot from 26 ft (assist by M. Smart),3,98-100,,
2:32.0,,,98-100,,Offensive foul by L. Nance (drawn by M. Smart)
2:32.0,,,98-100,,Turnover by L. Nance (offensive foul)
2:32.0,,,98-100,,J. Randle enters the game for L. Nance
2:21.0,Turnover by K. Irving (bad pass; steal by J. Randle),,98-100,,
2:10.0,,,98-100,,J. Hart misses 3-pt shot from 24 ft
2:06.0,,,98-100,,Offensive rebound by K. Kuzma
2:05.0,,,98-102,2,K. Kuzma makes 2-pt shot from 2 ft
1:51.0,K. Irving makes 2-pt shot from 2 ft,2,100-102,,
1:31.0,,,100-102,,B. Ingram misses 2-pt shot from 20 ft
1:31.0,,,100-102,,Offensive rebound by Team
1:31.0,,,100-102,,LA Lakers full timeout
1:13.0,,,100-102,,B. Ingram misses 2-pt shot from 2 ft
1:12.0,,,100-102,,Offensive rebound by J. Randle
1:12.0,,,100-104,2,J. Randle makes 2-pt shot at rim
1:05.0,,,100-104,,Personal foul by J. Randle (drawn by K. Irving)
0:53.0,Turnover by J. Tatum (lost ball; steal by J. Clarkson),,100-104,,
0:29.0,,,100-104,,K. Kuzma misses 2-pt shot from 17 ft
0:27.0,,,100-104,,Offensive rebound by J. Clarkson
0:26.0,M. Morris enters the game for T. Rozier,,100-104,,
0:26.0,Personal foul by M. Smart (drawn by J. Clarkson),,100-104,,
0:26.0,,,100-105,1,J. Clarkson makes free throw 1 of 2
0:26.0,,,100-106,1,J. Clarkson makes free throw 2 of 2
0:26.0,Boston full timeout,,100-106,,
0:26.0,T. Rozier enters the game for J. Tatum,,100-106,,
0:23.0,T. Rozier makes 3-pt shot from 27 ft (assist by M. Smart),3,103-106,,
0:19.0,Personal foul by A. Horford (drawn by J. Hart),,103-106,,
0:19.0,,,103-106,,J. Hart misses free throw 1 of 2
0:19.0,,,103-106,,Offensive rebound by Team
0:19.0,J. Tatum enters the game for A. Horford,,103-106,,
0:19.0,,,103-106,,J. Hart misses free throw 2 of 2
0:19.0,Defensive rebound by Team,,103-106,,
0:19.0,,,103-106,,Loose ball foul by J. Randle (drawn by M. Smart)
0:19.0,M. Smart makes free throw 1 of 2,1,104-106,,
0:19.0,M. Smart makes free throw 2 of 2,1,105-106,,
0:11.0,Personal take foul by J. Tatum (drawn by J. Clarkson),,105-106,,
0:11.0,,,105-107,1,J. Clarkson makes free throw 1 of 2
0:11.0,A. Baynes enters the game for J. Tatum,,105-107,,
0:11.0,,,105-108,1,J. Clarkson makes free throw 2 of 2
0:11.0,Boston full timeout,,105-108,,
0:11.0,J. Tatum enters the game for A. Baynes,,105-108,,
0:07.0,T. Rozier makes 2-pt shot from 2 ft,2,107-108,,
0:07.0,,,107-108,,LA Lakers full timeout
0:07.0,,,107-108,,K. Caldwell-Pope enters the game for J. Hart
0:07.0,,,107-108,,A. Caruso enters the game for B. Ingram
0:05.0,Personal take foul by M. Smart (drawn by K. Caldwell-Pope),,107-108,,
0:05.0,,,107-108,,K. Caldwell-Pope misses free throw 1 of 2
0:05.0,,,107-108,,Offensive rebound by Team
0:05.0,,,107-108,,J. Hart enters the game for A. Caruso
0:05.0,,,107-108,,K. Caldwell-Pope misses free throw 2 of 2
0:05.0,Defensive rebound by M. Smart,,107-108,,
0:00.0,M. Smart misses 3-pt shot from 25 ft,,107-108,,
0:00.0,Offensive rebound by Team,,107-108,,
