time,New Orleans,pts.away,score,pts.home,Orlando
6:12.0,,,105-80,,Turnover by S. Mack (bad pass; steal by D. Cousins)
6:02.0,Turnover by D. Miller (bad pass; steal by M. Hezonja),,105-80,,
6:01.0,Personal foul by J. Nelson (drawn by W. Iwundu),,105-80,,
6:01.0,C. Diallo enters the game for D. Cousins,,105-80,,
5:39.0,,,105-80,,A. Payne misses 2-pt shot from 22 ft
5:36.0,Defensive rebound by C. Diallo,,105-80,,
5:21.0,Shooting foul by A. Payne (drawn by C. Diallo),,105-80,,
5:21.0,C. Diallo makes free throw 1 of 2,1,106-80,,
5:21.0,C. Cooke enters the game for D. Miller,,106-80,,
5:21.0,C. Diallo makes free throw 2 of 2,1,107-80,,
5:04.0,,,107-80,,M. Hezonja misses 2-pt shot from 7 ft
5:03.0,,,107-80,,Offensive rebound by J. Artis
5:03.0,,,107-82,2,J. Artis makes 2-pt shot from 6 ft
5:03.0,,,107-82,,Shooting foul by C. Diallo (drawn by J. Artis)
5:03.0,,,107-82,,J. Artis misses free throw 1 of 1
4:57.0,Defensive rebound by C. Diallo,,107-82,,
4:41.0,J. Nelson misses 3-pt shot from 26 ft,,107-82,,
4:40.0,,,107-82,,Defensive rebound by Team
4:40.0,Loose ball foul by C. Diallo (drawn by A. Payne),,107-82,,
4:40.0,,,107-83,1,A. Payne makes free throw 1 of 2
4:40.0,,,107-84,1,A. Payne makes free throw 2 of 2
4:32.0,I. Clark misses 2-pt shot from 21 ft,,107-84,,
4:27.0,,,107-84,,Defensive rebound by M. Hezonja
4:20.0,,,107-86,2,M. Hezonja makes 2-pt shot from 1 ft
4:03.0,C. Cooke misses 3-pt shot from 27 ft,,107-86,,
4:01.0,,,107-86,,Defensive rebound by A. Payne
3:53.0,,,107-86,,Turnover by S. Mack (bad pass; steal by I. Clark)
3:49.0,I. Clark misses 2-pt shot from 9 ft,,107-86,,
3:44.0,,,107-86,,Defensive rebound by M. Hezonja
3:37.0,,,107-88,2,W. Iwundu makes 2-pt shot from 20 ft (assist by S. Mack)
3:16.0,D. Cunningham misses 2-pt shot from 15 ft,,107-88,,
3:13.0,Offensive rebound by C. Diallo,,107-88,,
3:13.0,C. Diallo makes 2-pt shot from 1 ft,2,109-88,,
2:58.0,,,109-88,,S. Mack misses 2-pt shot from 7 ft
2:56.0,Defensive rebound by J. Nelson,,109-88,,
2:41.0,C. Diallo misses 2-pt shot from 13 ft,,109-88,,
2:38.0,,,109-88,,Defensive rebound by A. Payne
2:26.0,,,109-90,2,A. Payne makes 2-pt shot from 17 ft (assist by W. Iwundu)
1:59.0,C. Cooke misses 2-pt shot from 16 ft,,109-90,,
1:59.0,,,109-90,,Defensive rebound by S. Mack
1:52.0,Jump ball: S. Mack vs. D. Cunningham (J. Artis gains possession),,,,Jump ball: S. Mack vs. D. Cunningham (J. Artis gains possession)
1:49.0,,,109-90,,Shooting foul by J. Nelson (drawn by M. Hezonja)
1:49.0,,,109-91,1,M. Hezonja makes free throw 1 of 2
1:49.0,,,109-92,1,M. Hezonja makes free throw 2 of 2
1:35.0,C. Diallo makes 2-pt shot from 17 ft (assist by J. Nelson),2,111-92,,
1:23.0,,,111-94,2,M. Hezonja makes 2-pt shot from 9 ft
1:06.0,Turnover by C. Cooke (traveling),,111-94,,
0:54.0,,,111-97,3,M. Hezonja makes 3-pt shot from 25 ft (assist by J. Artis)
0:33.0,Turnover by C. Diallo (traveling),,111-97,,
0:24.0,,,111-97,,M. Hezonja misses 2-pt shot from 5 ft
0:20.0,Defensive rebound by D. Cunningham,,111-97,,
