time,Brooklyn,pts.away,score,pts.home,Dallas
5:00.0,,,93-87,,D. Nowitzki enters the game for D. Smith
5:00.0,,,93-87,,J. Barea enters the game for S. Mejri
5:00.0,,,93-87,,D. Harris enters the game for Y. Ferrell
4:44.0,,,93-89,2,D. Nowitzki makes 2-pt shot from 4 ft (assist by W. Matthews)
4:33.0,,,93-89,,Personal foul by J. Barea (drawn by S. Dinwiddie)
4:33.0,C. LeVert enters the game for T. Zeller,,93-89,,
4:23.0,T. Booker makes 2-pt shot at rim (assist by C. LeVert),2,95-89,,
4:23.0,Shooting foul by D. Nowitzki (drawn by T. Booker),,95-89,,
4:23.0,T. Booker misses free throw 1 of 1,,95-89,,
4:21.0,,,95-89,,Defensive rebound by H. Barnes
4:09.0,,,95-89,,Turnover by H. Barnes (out of bounds lost ball)
3:54.0,D. Carroll misses 3-pt shot from 23 ft,,95-89,,
3:52.0,Offensive rebound by T. Booker,,95-89,,
3:52.0,T. Booker makes 2-pt shot from 3 ft,2,97-89,,
3:52.0,Shooting foul by D. Harris (drawn by T. Booker),,97-89,,
3:52.0,T. Booker misses free throw 1 of 1,,97-89,,
3:49.0,,,97-89,,Defensive rebound by D. Nowitzki
3:44.0,,,97-91,2,H. Barnes makes 2-pt shot from 1 ft (assist by J. Barea)
3:28.0,T. Booker misses 2-pt shot from 2 ft,,97-91,,
3:27.0,,,97-91,,Defensive rebound by D. Nowitzki
3:22.0,,,97-91,,Turnover by J. Barea (lost ball; steal by C. LeVert)
3:18.0,Turnover by T. Booker (lost ball; steal by H. Barnes),,97-91,,
3:17.0,,,97-93,2,H. Barnes makes 2-pt shot from 2 ft
3:17.0,Brooklyn full timeout,,97-93,,
3:17.0,,,97-93,,D. Powell enters the game for D. Nowitzki
2:54.0,Shooting foul by D. Powell (drawn by S. Dinwiddie),,97-93,,
2:54.0,S. Dinwiddie makes free throw 1 of 2,1,98-93,,
2:54.0,S. Dinwiddie makes free throw 2 of 2,1,99-93,,
2:41.0,,,99-93,,H. Barnes misses 2-pt shot from 1 ft
2:41.0,Defensive rebound by Team,,99-93,,
2:41.0,,,99-93,,Loose ball foul by H. Barnes (drawn by D. Carroll)
2:41.0,D. Carroll makes free throw 1 of 2,1,100-93,,
2:41.0,,,100-93,,D. Nowitzki enters the game for D. Powell
2:41.0,D. Carroll makes free throw 2 of 2,1,101-93,,
2:33.0,,,101-95,2,D. Harris makes 2-pt shot at rim
2:09.0,C. LeVert misses 2-pt shot from 17 ft,,101-95,,
2:06.0,Offensive rebound by T. Booker,,101-95,,
2:05.0,T. Booker makes 2-pt shot at rim,2,103-95,,
1:55.0,,,103-97,2,J. Barea makes 2-pt shot from 1 ft
1:32.0,J. Harris makes 3-pt shot from 25 ft (assist by T. Booker),3,106-97,,
1:32.0,,,106-97,,Dallas full timeout
1:26.0,,,106-100,3,J. Barea makes 3-pt shot from 25 ft (assist by D. Harris)
1:16.0,Brooklyn full timeout,,106-100,,
1:16.0,,,106-100,,D. Powell enters the game for D. Nowitzki
1:12.0,Turnover by S. Dinwiddie (turnover),,106-100,,
1:12.0,,,106-100,,D. Nowitzki enters the game for D. Powell
1:04.0,,,106-102,2,J. Barea makes 2-pt shot at rim (assist by D. Harris)
0:44.0,D. Carroll misses 2-pt shot from 17 ft,,106-102,,
0:43.0,Offensive rebound by Team,,106-102,,
0:43.0,,,106-102,,D. Powell enters the game for D. Nowitzki
0:22.0,S. Dinwiddie misses 2-pt shot from 22 ft,,106-102,,
0:22.0,,,106-102,,Defensive rebound by Team
0:22.0,,,106-102,,D. Nowitzki enters the game for D. Powell
0:18.0,,,106-104,2,D. Harris makes 2-pt shot from 2 ft
0:10.0,,,106-104,,Personal take foul by J. Barea (drawn by J. Harris)
0:10.0,J. Harris makes free throw 1 of 2,1,107-104,,
0:10.0,,,107-104,,D. Powell enters the game for J. Barea
0:10.0,J. Harris misses free throw 2 of 2,,107-104,,
0:10.0,Offensive rebound by D. Carroll,,107-104,,
0:08.0,,,107-104,,M. Kleber enters the game for D. Nowitzki
0:07.0,,,107-104,,Personal take foul by M. Kleber (drawn by S. Dinwiddie)
0:07.0,S. Dinwiddie misses free throw 1 of 2,,107-104,,
0:07.0,Offensive rebound by Team,,107-104,,
0:07.0,S. Dinwiddie misses free throw 2 of 2,,107-104,,
0:05.0,Offensive rebound by T. Booker,,107-104,,
0:05.0,,,107-104,,Personal take foul by D. Harris (drawn by S. Dinwiddie)
0:05.0,,,107-104,,J. Withey enters the game for D. Harris
0:05.0,S. Dinwiddie makes free throw 1 of 2,1,108-104,,
0:05.0,S. Dinwiddie makes free throw 2 of 2,1,109-104,,
0:05.0,,,109-104,,Dallas full timeout
0:05.0,,,109-104,,D. Nowitzki enters the game for M. Kleber
0:05.0,,,109-104,,J. Barea enters the game for J. Withey
0:03.0,,,109-104,,Turnover by D. Powell (bad pass)
