time,New Orleans,pts.away,score,pts.home,Milwaukee
6:51.0,,,99-97,,E. Bledsoe enters the game for S. Brown
6:51.0,J. Holiday enters the game for R. Rondo,,99-97,,
6:51.0,C. Diallo enters the game for A. Davis,,99-97,,
6:37.0,,,99-97,,J. Terry misses 2-pt shot from 6 ft
6:34.0,Defensive rebound by C. Diallo,,99-97,,
6:23.0,Turnover by N. Mirotic (traveling),,99-97,,
6:23.0,,,99-97,,T. Snell enters the game for J. Terry
6:13.0,,,99-97,,Shooting foul by J. Holiday (drawn by G. Antetokounmpo)
6:13.0,,,99-98,1,G. Antetokounmpo makes free throw 1 of 2
6:13.0,A. Davis enters the game for C. Diallo,,99-98,,
6:13.0,,,99-99,1,G. Antetokounmpo makes free throw 2 of 2
6:02.0,J. Holiday makes 2-pt shot from 16 ft,2,101-99,,
5:49.0,,,101-101,2,E. Bledsoe makes 2-pt shot from 1 ft
5:35.0,A. Davis makes 2-pt shot from 1 ft (assist by J. Holiday),2,103-101,,
5:22.0,,,103-101,,G. Antetokounmpo misses 2-pt shot from 5 ft (block by A. Davis)
5:19.0,Defensive rebound by A. Davis,,103-101,,
5:16.0,J. Holiday makes 2-pt shot at rim,2,105-101,,
5:03.0,Personal foul by I. Clark (drawn by E. Bledsoe),,105-101,,
5:03.0,,,105-102,1,E. Bledsoe makes free throw 1 of 2
5:03.0,,,105-102,,J. Henson enters the game for T. Zeller
5:03.0,,,105-103,1,E. Bledsoe makes free throw 2 of 2
4:53.0,J. Holiday makes 2-pt shot at rim,2,107-103,,
4:29.0,,,107-106,3,E. Bledsoe makes 3-pt shot from 26 ft (assist by K. Middleton)
4:16.0,N. Mirotic misses 3-pt shot from 28 ft,,107-106,,
4:14.0,,,107-106,,Defensive rebound by T. Snell
4:06.0,,,107-106,,E. Bledsoe misses 3-pt shot from 25 ft
4:06.0,Defensive rebound by A. Davis,,107-106,,
3:53.0,A. Davis misses 3-pt shot from 28 ft,,107-106,,
3:49.0,,,107-106,,Defensive rebound by G. Antetokounmpo
3:39.0,,,107-106,,Shooting foul by N. Mirotic (drawn by G. Antetokounmpo)
3:39.0,,,107-107,1,G. Antetokounmpo makes free throw 1 of 2
3:39.0,R. Rondo enters the game for I. Clark,,107-107,,
3:39.0,,,107-108,1,G. Antetokounmpo makes free throw 2 of 2
3:39.0,New Orleans full timeout,,107-108,,
3:39.0,E. Moore enters the game for D. Miller,,107-108,,
3:18.0,,,107-108,,Personal foul by E. Bledsoe (drawn by J. Holiday)
3:05.0,J. Holiday makes 3-pt shot from 26 ft,3,110-108,,
2:44.0,,,110-108,,G. Antetokounmpo misses 2-pt shot from 1 ft
2:42.0,Defensive rebound by A. Davis,,110-108,,
2:26.0,J. Holiday makes 2-pt shot from 13 ft,2,112-108,,
1:57.0,,,112-108,,Turnover by Team (shot clock)
1:37.0,J. Holiday misses 2-pt shot from 2 ft,,112-108,,
1:35.0,,,112-108,,Defensive rebound by J. Henson
1:30.0,,,112-110,2,E. Bledsoe makes 2-pt shot at rim
1:13.0,A. Davis misses 2-pt shot from 19 ft,,112-110,,
1:11.0,,,112-110,,Defensive rebound by Team
0:50.0,,,112-112,2,K. Middleton makes 2-pt shot from 13 ft
0:50.0,New Orleans full timeout,,112-112,,
0:41.0,E. Moore makes 2-pt shot at rim (assist by R. Rondo),2,114-112,,
0:32.0,,,114-114,2,E. Bledsoe makes 2-pt shot from 17 ft (assist by G. Antetokounmpo)
0:14.0,E. Moore misses 2-pt shot from 10 ft,,114-114,,
0:14.0,Offensive rebound by Team,,114-114,,
0:14.0,,,114-114,,Loose ball foul by G. Antetokounmpo (drawn by A. Davis)
0:14.0,New Orleans full timeout,,114-114,,
0:00.0,N. Mirotic misses 3-pt shot from 28 ft,,114-114,,
0:00.0,Offensive rebound by Team,,114-114,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
5:00.0,Start of 1st overtime,,,,Start of 1st overtime
5:00.0,Jump ball: J. Henson vs. A. Davis (G. Antetokounmpo gains possession),,,,Jump ball: J. Henson vs. A. Davis (G. Antetokounmpo gains possession)
4:46.0,,,114-116,2,K. Middleton makes 2-pt shot from 15 ft (assist by G. Antetokounmpo)
4:26.0,N. Mirotic makes 2-pt shot from 5 ft (assist by R. Rondo),2,116-116,,
4:03.0,,,116-116,,Turnover by T. Snell (bad pass; steal by R. Rondo)
3:54.0,N. Mirotic misses 2-pt shot from 13 ft,,116-116,,
3:54.0,Offensive rebound by Team,,116-116,,
3:52.0,,,116-116,,Loose ball foul by K. Middleton (drawn by A. Davis)
3:33.0,J. Holiday makes 2-pt shot from 13 ft,2,118-116,,
3:16.0,,,118-116,,Shooting foul by A. Davis (drawn by J. Henson)
3:16.0,,,118-117,1,J. Henson makes free throw 1 of 2
3:16.0,,,118-117,,J. Henson misses free throw 2 of 2
3:14.0,Defensive rebound by N. Mirotic,,118-117,,
2:49.0,R. Rondo makes 2-pt shot at rim,2,120-117,,
2:29.0,,,120-117,,T. Snell misses 3-pt shot from 23 ft
2:27.0,Defensive rebound by J. Holiday,,120-117,,
2:06.0,Turnover by Team (shot clock),,120-117,,
1:50.0,,,120-119,2,K. Middleton makes 2-pt shot from 14 ft
1:25.0,R. Rondo makes 3-pt shot from 26 ft (assist by J. Holiday),2,123-119,,
1:25.0,,,123-119,,Milwaukee full timeout
1:09.0,,,123-119,,Shooting foul by E. Moore (drawn by K. Middleton)
1:09.0,,,123-120,1,K. Middleton makes free throw 1 of 2
1:09.0,,,123-121,1,K. Middleton makes free throw 2 of 2
1:00.0,J. Holiday misses 2-pt shot from 7 ft,,123-121,,
1:00.0,Offensive rebound by Team,,123-121,,
0:50.0,J. Holiday misses 2-pt shot from 19 ft,,123-121,,
0:48.0,,,123-121,,Defensive rebound by J. Henson
0:34.0,,,123-121,,K. Middleton misses 2-pt shot from 14 ft (block by N. Mirotic)
0:34.0,Defensive rebound by Team,,123-121,,
0:16.0,A. Davis misses 2-pt shot from 20 ft,,123-121,,
0:13.0,Offensive rebound by R. Rondo,,123-121,,
0:11.0,,,123-121,,Personal take foul by G. Antetokounmpo (drawn by A. Davis)
0:11.0,New Orleans full timeout,,123-121,,
0:11.0,Turnover by R. Rondo (bad pass),,123-121,,
0:10.0,,,123-121,,Milwaukee full timeout
0:10.0,,,123-121,,J. Terry enters the game for J. Henson
0:10.0,I. Clark enters the game for N. Mirotic,,123-121,,
0:10.0,D. Liggins enters the game for R. Rondo,,123-121,,
0:00.0,,,123-121,,G. Antetokounmpo misses 2-pt shot from 7 ft
0:00.0,,,123-121,,Offensive rebound by K. Middleton
