time,Oklahoma City,pts.away,score,pts.home,Chicago
3:26.0,D. Johnson enters the game for J. Grant,,92-66,,
3:26.0,,,92-67,1,Q. Pondexter makes free throw 2 of 2
3:08.0,D. Johnson makes 2-pt shot from 2 ft (assist by J. Huestis),2,94-67,,
2:46.0,,,94-67,,Turnover by Q. Pondexter (bad pass; steal by A. Abrines)
2:37.0,Turnover by A. Abrines (bad pass; steal by D. Nwaba),,94-67,,
2:31.0,,,94-69,2,D. Valentine makes 2-pt shot from 11 ft (assist by K. Felder)
2:00.0,A. Abrines makes 3-pt shot from 24 ft (assist by D. Johnson),3,97-69,,
1:39.0,,,97-69,,Q. Pondexter misses 3-pt shot from 25 ft
1:33.0,Defensive rebound by D. Johnson,,97-69,,
1:20.0,J. Huestis misses 3-pt shot from 24 ft,,97-69,,
1:16.0,,,97-69,,Defensive rebound by C. Felicio
1:08.0,,,97-69,,D. Valentine misses 2-pt shot from 8 ft (block by D. Johnson)
1:05.0,,,97-69,,Offensive rebound by D. Valentine
1:03.0,,,97-69,,D. Valentine misses 2-pt shot from 21 ft
1:01.0,Defensive rebound by T. Ferguson,,97-69,,
0:55.0,A. Abrines misses 3-pt shot from 25 ft,,97-69,,
0:53.0,Offensive rebound by Team,,97-69,,
0:47.0,J. Huestis makes 2-pt shot from 21 ft (assist by D. Johnson),2,99-69,,
0:25.0,,,99-69,,D. Valentine misses 3-pt shot from 26 ft
0:22.0,Defensive rebound by J. Huestis,,99-69,,
0:19.0,A. Abrines makes 2-pt shot from 1 ft (assist by D. Johnson),2,101-69,,
0:06.0,,,101-69,,K. Felder misses 2-pt shot from 5 ft (block by D. Johnson)
0:02.0,Defensive rebound by A. Abrines,,101-69,,
