time,Minnesota,pts.away,score,pts.home,Cleveland
3:05.0,,,133-133,,J. Green misses 2-pt shot from 3 ft (block by T. Gibson)
3:01.0,Defensive rebound by J. Teague,,133-133,,
2:59.0,J. Butler makes 3-pt shot from 24 ft,3,136-133,,
2:31.0,,,136-133,,C. Osman misses 3-pt shot from 24 ft
2:27.0,Defensive rebound by K. Towns,,136-133,,
2:07.0,J. Butler misses 2-pt shot from 17 ft,,136-133,,
2:05.0,,,136-133,,Defensive rebound by J. Smith
1:57.0,,,136-136,3,L. James makes 3-pt shot from 22 ft
1:43.0,A. Wiggins misses 3-pt shot from 23 ft,,136-136,,
1:40.0,,,136-136,,Defensive rebound by J. Green
1:34.0,,,136-136,,J. Smith misses 3-pt shot from 26 ft
1:34.0,,,136-136,,Offensive rebound by T. Thompson
1:32.0,,,136-136,,T. Thompson misses 2-pt shot at rim
1:32.0,Defensive rebound by J. Butler,,136-136,,
1:30.0,,,136-136,,Personal foul by C. Osman (drawn by J. Butler)
1:30.0,Minnesota full timeout,,136-136,,
1:25.0,A. Wiggins makes 2-pt shot from 18 ft (assist by J. Teague),2,138-136,,
1:25.0,,,138-136,,Cleveland full timeout
1:25.0,,,138-136,,K. Korver enters the game for T. Thompson
1:25.0,,,138-136,,I. Thomas enters the game for J. Green
1:25.0,,,138-136,,C. Frye enters the game for C. Osman
1:07.0,,,138-136,,J. Smith misses 3-pt shot from 23 ft
1:04.0,Defensive rebound by T. Gibson,,138-136,,
0:44.0,J. Butler misses 2-pt shot from 17 ft,,138-136,,
0:41.0,,,138-136,,Defensive rebound by I. Thomas
0:24.0,,,138-138,2,L. James makes 2-pt shot at rim
0:24.0,Minnesota full timeout,,138-138,,
0:24.0,,,138-138,,T. Thompson enters the game for K. Korver
0:24.0,,,138-138,,C. Osman enters the game for I. Thomas
0:24.0,,,138-138,,J. Green enters the game for C. Frye
0:24.0,J. Crawford enters the game for T. Gibson,,138-138,,
0:01.0,J. Butler misses 2-pt shot from 4 ft (block by L. James),,138-138,,
0:01.0,,,138-138,,Defensive rebound by J. Smith
0:01.0,,,138-138,,Cleveland full timeout
0:01.0,,,138-138,,K. Korver enters the game for T. Thompson
0:01.0,,,138-138,,I. Thomas enters the game for C. Osman
0:01.0,T. Gibson enters the game for J. Crawford,,138-138,,
0:00.0,,,138-140,2,L. James makes 2-pt shot from 17 ft (assist by J. Green)
