time,Atlanta,pts.away,score,pts.home,San Antonio
3:34.0,M. Belinelli makes free throw 2 of 2,1,79-84,,
3:19.0,,,79-87,3,D. Green makes 3-pt shot from 26 ft (assist by B. Forbes)
3:05.0,M. Belinelli misses 3-pt shot from 25 ft,,79-87,,
3:02.0,,,79-87,,Defensive rebound by L. Aldridge
2:57.0,,,79-90,3,D. Green makes 3-pt shot from 24 ft (assist by P. Mills)
2:57.0,Atlanta full timeout,,79-90,,
2:57.0,,,79-90,,K. Anderson enters the game for B. Forbes
2:50.0,Turnover by D. Schroder (turnover),,79-90,,
2:39.0,,,79-92,2,L. Aldridge makes 2-pt shot from 1 ft (assist by K. Anderson)
2:19.0,M. Belinelli misses 2-pt shot from 3 ft,,79-92,,
2:14.0,Offensive rebound by J. Collins,,79-92,,
2:14.0,J. Collins makes 2-pt shot at rim,2,81-92,,
1:51.0,,,81-92,,L. Aldridge misses 3-pt shot from 26 ft
1:48.0,Defensive rebound by T. Waller-Prince,,81-92,,
1:35.0,D. Schroder makes 2-pt shot from 1 ft,2,83-92,,
1:13.0,,,83-92,,Turnover by K. Anderson (bad pass; steal by M. Belinelli)
1:12.0,Turnover by T. Waller-Prince (bad pass),,83-92,,
1:00.0,Personal foul by J. Collins (drawn by L. Aldridge),,83-92,,
0:46.0,,,83-92,,M. Ginobili misses 3-pt shot from 26 ft
0:43.0,,,83-92,,Offensive rebound by L. Aldridge
0:43.0,,,83-94,2,L. Aldridge makes 2-pt shot at rim
0:35.0,J. Collins makes 2-pt shot at rim (assist by D. Schroder),2,85-94,,
0:15.0,,,85-96,2,M. Ginobili makes 2-pt shot from 2 ft (assist by K. Anderson)
