time,Boston,pts.away,score,pts.home,Toronto
9:51.0,,,33-45,,Personal foul by D. DeRozan (drawn by J. Brown)
9:42.0,A. Horford misses 2-pt shot from 20 ft,,33-45,,
9:39.0,,,33-45,,Defensive rebound by J. Valanciunas
9:20.0,,,33-45,,S. Ibaka misses 3-pt shot from 27 ft
9:16.0,,,33-45,,Offensive rebound by O. Anunoby
9:15.0,,,33-47,2,O. Anunoby makes 2-pt shot from 2 ft
9:03.0,,,33-47,,Personal foul by O. Anunoby (drawn by J. Tatum)
9:03.0,M. Morris enters the game for A. Baynes,,33-47,,
8:50.0,J. Tatum misses 3-pt shot from 25 ft,,33-47,,
8:49.0,,,33-47,,Defensive rebound by Team
8:37.0,,,33-47,,D. DeRozan misses 2-pt shot from 10 ft
8:34.0,,,33-47,,Offensive rebound by J. Valanciunas
8:32.0,,,33-47,,Turnover by J. Valanciunas (out of bounds lost ball)
8:32.0,S. Ojeleye enters the game for J. Brown,,33-47,,
8:16.0,A. Horford makes 2-pt shot from 6 ft (assist by J. Tatum),2,35-47,,
8:05.0,,,35-47,,Turnover by K. Lowry (bad pass; steal by A. Horford)
8:01.0,Shooting foul by J. Valanciunas (drawn by M. Morris),,35-47,,
8:01.0,M. Morris makes free throw 1 of 2,1,36-47,,
8:01.0,M. Morris makes free throw 2 of 2,1,37-47,,
7:41.0,,,37-47,,J. Valanciunas misses 2-pt shot from 3 ft
7:37.0,,,37-47,,Offensive rebound by O. Anunoby
7:37.0,,,37-49,2,O. Anunoby makes 2-pt shot at rim
7:22.0,M. Morris misses 2-pt shot from 2 ft,,37-49,,
7:20.0,,,37-49,,Defensive rebound by S. Ibaka
7:10.0,,,37-49,,D. DeRozan misses 2-pt shot from 5 ft
7:09.0,Defensive rebound by Team,,37-49,,
7:09.0,,,37-49,,Loose ball foul by J. Valanciunas (drawn by A. Horford)
6:52.0,J. Tatum makes 2-pt shot from 1 ft,2,39-49,,
6:46.0,,,39-49,,Toronto full timeout
6:46.0,,,39-49,,J. Poeltl enters the game for O. Anunoby
6:46.0,,,39-49,,N. Powell enters the game for J. Valanciunas
6:30.0,,,39-49,,N. Powell misses 3-pt shot from 26 ft
6:27.0,Defensive rebound by T. Rozier,,39-49,,
6:13.0,T. Rozier misses 3-pt shot from 26 ft,,39-49,,
6:10.0,,,39-49,,Defensive rebound by N. Powell
6:02.0,,,39-51,2,D. DeRozan makes 2-pt shot from 5 ft
6:02.0,,,39-51,,Shooting foul by S. Ojeleye (drawn by D. DeRozan)
6:02.0,,,39-52,1,D. DeRozan makes free throw 1 of 1
5:49.0,A. Horford makes 2-pt shot from 13 ft (assist by T. Rozier),2,41-52,,
5:24.0,,,41-55,3,D. DeRozan makes 3-pt shot from 26 ft (assist by K. Lowry)
5:08.0,Shooting foul by J. Poeltl (drawn by A. Horford),,41-55,,
5:08.0,A. Horford makes free throw 1 of 2,1,42-55,,
5:08.0,A. Horford makes free throw 2 of 2,1,43-55,,
4:53.0,,,43-55,,N. Powell misses 3-pt shot from 25 ft
4:49.0,Defensive rebound by S. Ojeleye,,43-55,,
4:40.0,J. Tatum misses 2-pt shot from 4 ft,,43-55,,
4:38.0,,,43-55,,Defensive rebound by N. Powell
4:33.0,,,43-55,,Turnover by N. Powell (bad pass; steal by S. Ojeleye)
