time,Memphis,pts.away,score,pts.home,Charlotte
2:26.0,,,72-135,2,M. Paige makes 2-pt shot from 20 ft (assist by D. Bacon)
2:03.0,B. McLemore misses 2-pt shot from 20 ft,,72-135,,
1:58.0,,,72-135,,Defensive rebound by J. Stone
1:45.0,,,72-137,2,M. Mathiang makes 2-pt shot from 5 ft (assist by M. Paige)
1:45.0,,,72-137,,Shooting foul by B. Weber (drawn by M. Mathiang)
1:45.0,,,72-137,,M. Mathiang misses free throw 1 of 1
1:45.0,Defensive rebound by B. Johnson,,72-137,,
1:33.0,Shooting foul by J. Stone (drawn by W. Selden),,72-137,,
1:33.0,W. Selden makes free throw 1 of 2,1,73-137,,
1:33.0,W. Selden makes free throw 2 of 2,1,74-137,,
1:07.0,,,74-137,,M. Paige misses 3-pt shot from 25 ft
1:04.0,,,74-137,,Offensive rebound by M. Mathiang
0:54.0,,,74-137,,T. Graham misses 3-pt shot from 23 ft
0:53.0,Defensive rebound by B. Weber,,74-137,,
0:49.0,B. McLemore makes 2-pt shot from 1 ft (assist by B. Weber),2,76-137,,
0:49.0,Shooting foul by M. Mathiang (drawn by B. McLemore),,76-137,,
0:49.0,B. McLemore makes free throw 1 of 1,1,77-137,,
0:27.0,,,77-139,2,D. Bacon makes 2-pt shot from 2 ft (assist by M. Paige)
0:27.0,,,77-139,,Shooting foul by B. McLemore (drawn by D. Bacon)
0:27.0,,,77-140,1,D. Bacon makes free throw 1 of 1
0:04.0,Shooting foul by M. Mathiang (drawn by K. Simmons),,77-140,,
0:04.0,K. Simmons makes free throw 1 of 2,1,78-140,,
0:04.0,K. Simmons makes free throw 2 of 2,1,79-140,,
