time,Toronto,pts.away,score,pts.home,Utah
3:41.0,S. Ibaka enters the game for P. Siakam,,101-90,,
3:41.0,D. DeRozan makes free throw 1 of 2,1,102-90,,
3:41.0,D. DeRozan makes free throw 2 of 2,1,103-90,,
3:30.0,,,103-90,,R. Hood misses 2-pt shot from 8 ft
3:27.0,Defensive rebound by J. Valanciunas,,103-90,,
3:15.0,D. DeRozan makes 2-pt shot from 16 ft,2,105-90,,
3:06.0,,,105-92,2,R. Rubio makes 2-pt shot from 2 ft
2:43.0,Offensive foul by S. Ibaka (drawn by D. Mitchell),,105-92,,
2:43.0,Turnover by S. Ibaka (offensive foul),,105-92,,
2:39.0,,,105-95,3,D. Mitchell makes 3-pt shot from 24 ft
2:16.0,J. Valanciunas makes 2-pt shot from 1 ft (assist by K. Lowry),2,107-95,,
2:03.0,,,107-95,,D. Mitchell misses 2-pt shot from 12 ft
2:00.0,Defensive rebound by K. Lowry,,107-95,,
1:59.0,N. Powell makes 2-pt shot from 2 ft (assist by K. Lowry),2,109-95,,
1:41.0,,,109-95,,Shooting foul by J. Valanciunas (drawn by D. Mitchell)
1:41.0,,,109-96,1,D. Mitchell makes free throw 1 of 2
1:41.0,,,109-97,1,D. Mitchell makes free throw 2 of 2
1:25.0,D. DeRozan misses 3-pt shot from 24 ft,,109-97,,
1:23.0,,,109-97,,Defensive rebound by R. Gobert
1:19.0,,,109-97,,J. Ingles misses 3-pt shot from 25 ft
1:16.0,Defensive rebound by J. Valanciunas,,109-97,,
1:00.0,Turnover by K. Lowry (bad pass; steal by R. Rubio),,109-97,,
0:53.0,,,109-97,,R. Hood misses 2-pt shot from 2 ft (block by S. Ibaka)
0:50.0,Defensive rebound by D. DeRozan,,109-97,,
0:38.0,D. DeRozan misses 3-pt shot from 23 ft,,109-97,,
0:37.0,,,109-97,,Defensive rebound by Team
0:37.0,Loose ball foul by J. Valanciunas (drawn by R. Gobert),,109-97,,
0:37.0,J. Poeltl enters the game for J. Valanciunas,,109-97,,
0:37.0,,,109-97,,R. Gobert misses free throw 1 of 2
0:37.0,,,109-97,,Offensive rebound by Team
0:37.0,,,109-98,1,R. Gobert makes free throw 2 of 2
0:17.0,K. Lowry misses 3-pt shot from 24 ft,,109-98,,
0:14.0,,,109-98,,Defensive rebound by Team
0:14.0,Loose ball foul by S. Ibaka (drawn by R. Rubio),,109-98,,
0:14.0,,,109-99,1,R. Rubio makes free throw 1 of 2
0:14.0,,,109-100,1,R. Rubio makes free throw 2 of 2
