time,Portland,pts.away,score,pts.home,Dallas
2:55.0,S. Napier enters the game for D. Lillard,,102-82,,
2:55.0,,,102-82,,K. Collinsworth misses free throw 2 of 2
2:52.0,Defensive rebound by M. Leonard,,102-82,,
2:36.0,P. Connaughton makes 2-pt shot from 8 ft (assist by J. Layman),2,104-82,,
2:24.0,,,104-84,2,D. Powell makes 2-pt shot from 2 ft (assist by D. Smith)
1:56.0,P. Connaughton misses 3-pt shot from 23 ft,,104-84,,
1:53.0,,,104-84,,Defensive rebound by K. Collinsworth
1:45.0,,,104-84,,Y. Ferrell misses 3-pt shot from 22 ft
1:45.0,,,104-84,,Offensive rebound by D. Powell
1:40.0,,,104-87,3,Y. Ferrell makes 3-pt shot from 23 ft (assist by M. Kleber)
1:20.0,Turnover by J. Layman (bad pass; steal by M. Kleber),,104-87,,
1:02.0,,,104-90,3,D. Smith makes 3-pt shot from 26 ft (assist by M. Kleber)
0:47.0,S. Napier misses 3-pt shot from 25 ft,,104-90,,
0:43.0,Offensive rebound by M. Leonard,,104-90,,
0:29.0,Shooting foul by M. Kleber (drawn by S. Napier),,104-90,,
0:29.0,S. Napier makes free throw 1 of 3,1,105-90,,
0:29.0,S. Napier makes free throw 2 of 3,1,106-90,,
0:29.0,S. Napier makes free throw 3 of 3,1,107-90,,
0:20.0,,,107-93,3,D. Smith makes 3-pt shot from 25 ft
