time,Toronto,pts.away,score,pts.home,Washington
4:18.0,K. Lowry makes 3-pt shot from 29 ft (assist by D. DeRozan),3,44-35,,
4:00.0,,,44-35,,B. Beal misses 2-pt shot from 10 ft
3:58.0,,,44-35,,Offensive rebound by B. Beal
3:57.0,,,44-35,,M. Morris misses 3-pt shot from 23 ft
3:53.0,Defensive rebound by D. DeRozan,,44-35,,
3:45.0,D. DeRozan makes 2-pt shot from 2 ft,2,46-35,,
3:33.0,Personal foul by O. Anunoby (drawn by J. Wall),,46-35,,
3:28.0,,,46-35,,Shooting foul by J. Poeltl (drawn by M. Gortat)
3:28.0,,,46-35,,M. Gortat misses free throw 1 of 2
3:28.0,,,46-35,,Offensive rebound by Team
3:28.0,P. Siakam enters the game for J. Poeltl,,46-35,,
3:28.0,,,46-35,,M. Gortat misses free throw 2 of 2
3:26.0,,,46-35,,Offensive rebound by B. Beal
3:14.0,,,46-35,,Turnover by B. Beal (turnover)
3:01.0,Turnover by S. Ibaka (traveling),,46-35,,
2:41.0,,,46-35,,J. Wall misses 2-pt shot from 14 ft
2:38.0,,,46-35,,Offensive rebound by M. Morris
2:35.0,,,46-35,,J. Wall misses 3-pt shot from 25 ft
2:35.0,Defensive rebound by K. Lowry,,46-35,,
2:27.0,Turnover by D. DeRozan (bad pass; steal by O. Porter),,46-35,,
2:22.0,,,46-37,2,B. Beal makes 2-pt shot at rim (assist by J. Wall)
1:59.0,D. DeRozan misses 3-pt shot from 25 ft,,46-37,,
1:57.0,,,46-37,,Defensive rebound by M. Gortat
1:57.0,,,46-37,,Turnover by M. Gortat (lost ball; steal by K. Lowry)
1:52.0,D. DeRozan misses 2-pt shot from 4 ft (block by M. Morris),,46-37,,
1:52.0,,,46-37,,Defensive rebound by Team
1:38.0,,,46-37,,M. Gortat misses 2-pt shot from 6 ft (block by S. Ibaka)
1:35.0,Defensive rebound by S. Ibaka,,46-37,,
1:24.0,Turnover by D. DeRozan (bad pass; steal by J. Wall),,46-37,,
1:23.0,,,46-37,,Shooting foul by O. Anunoby (drawn by J. Wall)
1:23.0,,,46-38,1,J. Wall makes free throw 1 of 2
1:23.0,D. Wright enters the game for O. Anunoby,,46-38,,
1:23.0,,,46-39,1,J. Wall makes free throw 2 of 2
1:04.0,D. DeRozan makes 2-pt shot from 5 ft,2,48-39,,
0:44.0,,,48-39,,B. Beal misses 2-pt shot from 2 ft (block by P. Siakam)
0:40.0,Defensive rebound by K. Lowry,,48-39,,
0:34.0,Shooting foul by M. Gortat (drawn by P. Siakam),,48-39,,
0:34.0,P. Siakam makes free throw 1 of 2,1,49-39,,
0:34.0,,,49-39,,K. Oubre enters the game for M. Gortat
0:34.0,C. Miles enters the game for K. Lowry,,49-39,,
0:34.0,P. Siakam misses free throw 2 of 2,,49-39,,
0:32.0,,,49-39,,Defensive rebound by O. Porter
0:15.0,,,49-39,,Shooting foul by S. Ibaka (drawn by J. Wall)
0:15.0,,,49-39,,J. Wall misses free throw 1 of 2
0:15.0,,,49-39,,Offensive rebound by Team
0:15.0,,,49-39,,T. Satoransky enters the game for B. Beal
0:15.0,,,49-39,,I. Mahinmi enters the game for M. Morris
0:15.0,K. Lowry enters the game for P. Siakam,,49-39,,
0:15.0,,,49-40,1,J. Wall makes free throw 2 of 2
0:02.0,D. DeRozan makes 2-pt shot from 2 ft,2,51-40,,
0:00.0,,,51-40,,T. Satoransky misses 3-pt shot from 44 ft
0:00.0,,,51-40,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:49.0,K. Lowry makes 3-pt shot from 24 ft (assist by D. DeRozan),3,54-40,,
11:34.0,,,54-40,,M. Gortat misses 2-pt shot from 1 ft (block by J. Valanciunas)
11:34.0,,,54-40,,Offensive rebound by Team
11:23.0,,,54-42,2,M. Gortat makes 2-pt shot from 14 ft (assist by M. Morris)
11:08.0,D. DeRozan misses 2-pt shot from 17 ft,,54-42,,
11:05.0,,,54-42,,Defensive rebound by B. Beal
11:00.0,,,54-45,3,O. Porter makes 3-pt shot from 24 ft (assist by J. Wall)
10:39.0,D. DeRozan makes 2-pt shot from 9 ft (assist by K. Lowry),2,56-45,,
10:27.0,,,56-48,3,O. Porter makes 3-pt shot from 24 ft (assist by J. Wall)
10:08.0,J. Valanciunas makes 2-pt shot from 8 ft (assist by D. DeRozan),2,58-48,,
9:56.0,,,58-48,,Shooting foul by D. DeRozan (drawn by B. Beal)
9:56.0,,,58-49,1,B. Beal makes free throw 1 of 3
9:56.0,,,58-50,1,B. Beal makes free throw 2 of 3
9:56.0,,,58-51,1,B. Beal makes free throw 3 of 3
9:42.0,Turnover by J. Valanciunas (lost ball; steal by M. Gortat),,58-51,,
9:37.0,,,58-51,,Turnover by J. Wall (lost ball; steal by S. Ibaka)
9:32.0,,,58-51,,Personal foul by B. Beal (drawn by D. DeRozan)
9:30.0,D. DeRozan misses 2-pt shot from 16 ft,,58-51,,
9:27.0,,,58-51,,Defensive rebound by B. Beal
9:22.0,,,58-54,3,B. Beal makes 3-pt shot from 25 ft
8:58.0,K. Lowry misses 2-pt shot from 16 ft (block by M. Morris),,58-54,,
8:56.0,Offensive rebound by Team,,58-54,,
8:53.0,J. Valanciunas misses 2-pt shot from 2 ft,,58-54,,
8:51.0,,,58-54,,Defensive rebound by M. Gortat
8:49.0,Personal foul by O. Anunoby (drawn by B. Beal),,58-54,,
8:41.0,,,58-56,2,O. Porter makes 2-pt shot from 18 ft
8:38.0,Toronto full timeout,,58-56,,
8:24.0,K. Lowry misses 2-pt shot from 3 ft (block by O. Porter),,58-56,,
8:20.0,,,58-56,,Defensive rebound by M. Morris
8:11.0,,,58-58,2,M. Gortat makes 2-pt shot from 6 ft (assist by J. Wall)
7:45.0,K. Lowry makes 2-pt shot at rim,2,60-58,,
7:45.0,Shooting foul by M. Morris (drawn by K. Lowry),,60-58,,
7:45.0,K. Lowry makes free throw 1 of 1,1,61-58,,
7:29.0,,,61-58,,J. Wall misses 2-pt shot from 15 ft
7:26.0,,,61-58,,Offensive rebound by Team
7:20.0,,,61-58,,B. Beal misses 2-pt shot from 20 ft
7:19.0,Defensive rebound by Team,,61-58,,
7:06.0,Shooting foul by M. Morris (drawn by D. DeRozan),,61-58,,
7:06.0,D. DeRozan makes free throw 1 of 2,1,62-58,,
7:06.0,,,62-58,,M. Scott enters the game for M. Morris
7:06.0,D. DeRozan makes free throw 2 of 2,1,63-58,,
6:56.0,,,63-61,3,B. Beal makes 3-pt shot from 26 ft (assist by J. Wall)
6:40.0,D. DeRozan makes 2-pt shot from 7 ft,2,65-61,,
6:24.0,,,65-61,,M. Scott misses 3-pt shot from 26 ft (block by S. Ibaka)
6:21.0,Defensive rebound by D. DeRozan,,65-61,,
6:18.0,Turnover by D. DeRozan (bad pass),,65-61,,
6:04.0,,,65-61,,Turnover by M. Scott (lost ball; steal by K. Lowry)
5:55.0,K. Lowry misses 2-pt shot from 3 ft,,65-61,,
5:52.0,,,65-61,,Defensive rebound by M. Scott
5:50.0,,,65-63,2,O. Porter makes 2-pt shot from 1 ft (assist by B. Beal)
5:31.0,D. DeRozan misses 2-pt shot from 22 ft,,65-63,,
5:29.0,,,65-63,,Defensive rebound by J. Wall
5:27.0,,,65-66,3,B. Beal makes 3-pt shot from 26 ft (assist by J. Wall)
5:04.0,J. Valanciunas makes 2-pt shot from 5 ft (assist by K. Lowry),2,67-66,,
5:04.0,,,67-66,,Shooting block foul by M. Gortat (drawn by J. Valanciunas)
5:04.0,J. Valanciunas makes free throw 1 of 1,1,68-66,,
4:48.0,,,68-66,,B. Beal misses 2-pt shot from 18 ft
4:45.0,Defensive rebound by Team,,68-66,,
4:45.0,,,68-66,,Loose ball foul by B. Beal (drawn by S. Ibaka)
4:45.0,C. Miles enters the game for J. Valanciunas,,68-66,,
4:45.0,S. Ibaka misses free throw 1 of 2,,68-66,,
4:45.0,Offensive rebound by Team,,68-66,,
4:45.0,,,68-66,,T. Lawson enters the game for B. Beal
4:45.0,S. Ibaka makes free throw 2 of 2,1,69-66,,
4:31.0,,,69-66,,J. Wall misses 2-pt shot from 1 ft
4:26.0,,,69-66,,Offensive rebound by M. Scott
4:16.0,,,69-68,2,J. Wall makes 2-pt shot from 2 ft
3:55.0,Shooting foul by O. Porter (drawn by S. Ibaka),,69-68,,
3:55.0,S. Ibaka makes free throw 1 of 2,1,70-68,,
3:55.0,,,70-68,,K. Oubre enters the game for M. Gortat
3:55.0,D. Wright enters the game for K. Lowry,,70-68,,
