time,Dallas,pts.away,score,pts.home,Orlando
4:04.0,Offensive rebound by J. Motley,,89-94,,
4:01.0,A. Harrison makes 2-pt shot from 1 ft (assist by K. Collinsworth),2,91-94,,
3:50.0,,,91-97,3,S. Mack makes 3-pt shot from 24 ft (assist by K. Birch)
3:23.0,J. Motley misses 2-pt shot from 3 ft (block by K. Birch),,91-97,,
3:20.0,Offensive rebound by J. Jones,,91-97,,
3:20.0,J. Jones makes 2-pt shot at rim,2,93-97,,
3:20.0,,,93-97,,Orlando full timeout
3:20.0,,,93-97,,J. Artis enters the game for M. Hezonja
3:04.0,,,93-97,,Turnover by J. Artis (lost ball; steal by K. Collinsworth)
2:58.0,A. Harrison makes 3-pt shot from 25 ft (assist by D. Finney-Smith),3,96-97,,
2:40.0,,,96-97,,R. Purvis misses 3-pt shot from 26 ft
2:38.0,,,96-97,,Offensive rebound by Team
2:38.0,,,96-97,,M. Hezonja enters the game for R. Purvis
2:27.0,,,96-97,,M. Hezonja misses 3-pt shot from 24 ft
2:24.0,Defensive rebound by D. Finney-Smith,,96-97,,
2:06.0,D. Finney-Smith misses 3-pt shot from 25 ft,,96-97,,
2:03.0,,,96-97,,Defensive rebound by M. Hezonja
1:45.0,,,96-99,2,M. Hezonja makes 2-pt shot from 16 ft
1:27.0,J. Jones misses 3-pt shot from 26 ft,,96-99,,
1:24.0,,,96-99,,Defensive rebound by M. Hezonja
1:11.0,,,96-101,2,K. Birch makes 2-pt shot from 8 ft (assist by S. Mack)
1:10.0,Dallas full timeout,,96-101,,
0:51.0,,,96-101,,Personal foul by W. Iwundu (drawn by D. Finney-Smith)
0:46.0,K. Collinsworth makes 2-pt shot from 9 ft,2,98-101,,
0:22.0,,,98-101,,Shooting foul by J. Motley (drawn by K. Birch)
0:22.0,,,98-102,1,K. Birch makes free throw 1 of 2
0:22.0,,,98-103,1,K. Birch makes free throw 2 of 2
0:14.0,K. Collinsworth makes 2-pt shot at rim,2,100-103,,
0:14.0,,,100-103,,Violation by K. Birch (def goaltending)
0:14.0,,,100-103,,Orlando full timeout
0:14.0,,,100-103,,R. Purvis enters the game for W. Iwundu
0:13.0,Personal take foul by A. Harrison (drawn by M. Hezonja),,100-103,,
0:13.0,,,100-103,,M. Hezonja misses free throw 1 of 2
0:13.0,,,100-103,,Offensive rebound by Team
0:13.0,,,100-103,,W. Iwundu enters the game for R. Purvis
0:13.0,,,100-104,1,M. Hezonja makes free throw 2 of 2
0:13.0,Dallas full timeout,,100-104,,
0:09.0,D. Finney-Smith misses 3-pt shot from 25 ft,,100-104,,
0:06.0,Offensive rebound by K. Collinsworth,,100-104,,
0:04.0,J. Jones misses 3-pt shot from 25 ft (block by M. Hezonja),,100-104,,
0:03.0,,,100-104,,Defensive rebound by S. Mack
0:03.0,Personal take foul by K. Collinsworth (drawn by S. Mack),,100-104,,
0:03.0,,,100-104,,S. Mack misses free throw 1 of 2
0:03.0,,,100-104,,Offensive rebound by Team
0:03.0,,,100-105,1,S. Mack makes free throw 2 of 2
