time,Cleveland,pts.away,score,pts.home,LA Lakers
4:38.0,,,97-117,,I. Thomas misses 3-pt shot from 23 ft
4:35.0,Defensive rebound by A. Zizic,,97-117,,
4:25.0,,,97-117,,Personal foul by B. Lopez (drawn by J. Holland)
4:22.0,J. Holland misses 2-pt shot from 14 ft,,97-117,,
4:21.0,,,97-117,,Defensive rebound by K. Caldwell-Pope
4:12.0,,,97-117,,Turnover by K. Caldwell-Pope (bad pass; steal by J. Calderon)
4:12.0,,,97-117,,Personal foul by B. Lopez (drawn by J. Calderon)
4:12.0,J. Calderon makes free throw 1 of 2,1,98-117,,
4:12.0,J. Calderon makes free throw 2 of 2,1,99-117,,
4:03.0,,,99-117,,Turnover by I. Thomas (bad pass)
3:53.0,K. Korver makes 3-pt shot from 23 ft (assist by L. Perrantes),3,102-117,,
3:52.0,,,102-117,,LA Lakers full timeout
3:52.0,,,102-117,,L. Ball enters the game for B. Lopez
3:35.0,,,102-120,3,K. Caldwell-Pope makes 3-pt shot from 23 ft (assist by J. Randle)
3:21.0,A. Zizic makes 2-pt shot from 1 ft (assist by J. Holland),2,104-120,,
2:58.0,,,104-122,2,J. Randle makes 2-pt shot from 2 ft (assist by I. Thomas)
2:41.0,A. Zizic makes 2-pt shot from 2 ft (assist by J. Holland),2,106-122,,
2:18.0,,,106-122,,I. Thomas misses 3-pt shot from 25 ft
2:14.0,,,106-122,,Offensive rebound by K. Kuzma
2:12.0,,,106-122,,Turnover by K. Caldwell-Pope (traveling)
2:02.0,Turnover by J. Calderon (bad pass; steal by L. Ball),,106-122,,
1:39.0,,,106-122,,I. Thomas misses 2-pt shot from 18 ft
1:35.0,Defensive rebound by A. Zizic,,106-122,,
1:33.0,Shooting foul by K. Caldwell-Pope (drawn by J. Holland),,106-122,,
1:33.0,J. Holland makes free throw 1 of 2,1,107-122,,
1:33.0,,,107-122,,A. Caruso enters the game for I. Thomas
1:33.0,J. Holland makes free throw 2 of 2,1,108-122,,
1:17.0,,,108-124,2,J. Randle makes 2-pt shot from 1 ft
1:07.0,A. Zizic misses 2-pt shot from 1 ft,,108-124,,
1:05.0,Offensive rebound by A. Zizic,,108-124,,
1:05.0,,,108-124,,T. Wear enters the game for J. Randle
1:01.0,Turnover by J. Calderon (bad pass; steal by A. Caruso),,108-124,,
0:41.0,,,108-124,,K. Kuzma misses 3-pt shot from 26 ft
0:39.0,Defensive rebound by J. Holland,,108-124,,
0:35.0,J. Holland misses 2-pt shot from 1 ft,,108-124,,
0:34.0,Offensive rebound by A. Zizic,,108-124,,
0:34.0,A. Zizic makes 2-pt shot at rim,2,110-124,,
0:13.0,,,110-127,3,T. Wear makes 3-pt shot from 25 ft (assist by L. Ball)
0:07.0,J. Holland makes 3-pt shot from 26 ft,3,113-127,,
