time,Brooklyn,pts.away,score,pts.home,Denver
7:53.0,Turnover by S. Kilpatrick (lost ball; steal by M. Plumlee),,81-103,,
7:51.0,Personal foul by J. Wiley (drawn by W. Chandler),,81-103,,
7:39.0,,,81-103,,Turnover by E. Mudiay (bad pass; steal by J. Harris)
7:20.0,S. Kilpatrick makes 3-pt shot from 24 ft (assist by I. Whitehead),3,84-103,,
7:05.0,,,84-103,,M. Beasley misses 2-pt shot from 5 ft (block by I. Whitehead)
7:04.0,Defensive rebound by I. Whitehead,,84-103,,
7:03.0,Turnover by I. Whitehead (bad pass; steal by M. Plumlee),,84-103,,
7:03.0,,,84-103,,Shooting foul by T. Zeller (drawn by M. Plumlee)
7:03.0,,,84-104,1,M. Plumlee makes free throw 1 of 2
7:03.0,,,84-104,,M. Plumlee misses free throw 2 of 2
7:01.0,Defensive rebound by J. Wiley,,84-104,,
6:53.0,J. Harris makes 2-pt shot from 3 ft (assist by S. Kilpatrick),2,86-104,,
6:53.0,Shooting foul by W. Chandler (drawn by J. Harris),,86-104,,
6:53.0,J. Harris makes free throw 1 of 1,1,87-104,,
6:35.0,,,87-104,,M. Beasley misses 3-pt shot from 23 ft
6:30.0,Defensive rebound by T. Zeller,,87-104,,
6:25.0,S. Kilpatrick misses 2-pt shot from 3 ft,,87-104,,
6:21.0,,,87-104,,Defensive rebound by W. Chandler
6:14.0,,,87-104,,E. Mudiay misses 3-pt shot from 23 ft
6:11.0,Defensive rebound by T. Zeller,,87-104,,
6:08.0,I. Whitehead misses 2-pt shot from 3 ft,,87-104,,
6:08.0,Offensive rebound by J. Wiley,,87-104,,
6:07.0,J. Wiley misses 2-pt shot from 2 ft,,87-104,,
6:07.0,,,87-104,,W. Chandler misses 3-pt shot from 24 ft
6:07.0,Defensive rebound by Team,,87-104,,
6:06.0,,,87-104,,Defensive rebound by M. Beasley
5:57.0,,,87-104,,Denver full timeout
5:57.0,,,87-104,,G. Harris enters the game for E. Mudiay
5:57.0,,,87-104,,N. Jokic enters the game for M. Plumlee
5:57.0,,,87-104,,J. Murray enters the game for M. Beasley
5:57.0,C. LeVert enters the game for J. Harris,,87-104,,
5:46.0,I. Whitehead misses 2-pt shot from 6 ft,,87-104,,
5:43.0,,,87-104,,Defensive rebound by N. Jokic
5:32.0,,,87-104,,W. Barton misses 3-pt shot from 24 ft
5:30.0,,,87-104,,Offensive rebound by N. Jokic
5:27.0,,,87-104,,G. Harris misses 3-pt shot from 25 ft
5:27.0,Defensive rebound by J. Wiley,,87-104,,
5:19.0,S. Kilpatrick makes 2-pt shot from 18 ft,2,89-104,,
4:53.0,,,89-104,,W. Chandler misses 2-pt shot from 3 ft
4:51.0,Defensive rebound by J. Wiley,,89-104,,
4:47.0,Turnover by S. Kilpatrick (bad pass; steal by G. Harris),,89-104,,
4:46.0,Personal foul by S. Kilpatrick (drawn by J. Murray),,89-104,,
4:29.0,,,89-106,2,N. Jokic makes 2-pt shot from 1 ft
4:16.0,Turnover by I. Whitehead (bad pass; steal by J. Murray),,89-106,,
4:11.0,,,89-106,,J. Murray misses 3-pt shot from 25 ft
4:08.0,,,89-106,,Offensive rebound by J. Murray
3:56.0,,,89-106,,N. Jokic misses 3-pt shot from 25 ft
3:53.0,Defensive rebound by J. Wiley,,89-106,,
3:43.0,T. Zeller makes 2-pt shot from 4 ft (assist by C. LeVert),2,91-106,,
3:17.0,,,91-108,2,N. Jokic makes 2-pt shot from 9 ft
2:59.0,Shooting foul by N. Jokic (drawn by T. Zeller),,91-108,,
2:59.0,,,91-108,,E. Mudiay enters the game for W. Chandler
2:59.0,,,91-108,,M. Beasley enters the game for G. Harris
2:59.0,,,91-108,,T. Lyles enters the game for N. Jokic
2:59.0,T. Zeller makes free throw 1 of 2,1,92-108,,
2:59.0,T. Zeller makes free throw 2 of 2,1,93-108,,
2:47.0,,,93-108,,W. Barton misses 2-pt shot from 15 ft
2:43.0,Defensive rebound by C. LeVert,,93-108,,
2:28.0,S. Kilpatrick makes 3-pt shot from 24 ft,3,96-108,,
2:11.0,,,96-110,2,M. Beasley makes 2-pt shot from 2 ft (assist by W. Barton)
1:59.0,S. Kilpatrick misses 3-pt shot from 25 ft,,96-110,,
1:55.0,,,96-110,,Defensive rebound by W. Barton
1:51.0,,,96-110,,Turnover by W. Barton (bad pass; steal by I. Whitehead)
1:48.0,C. LeVert makes 2-pt shot from 2 ft (assist by I. Whitehead),2,98-110,,
1:48.0,Shooting foul by M. Beasley (drawn by C. LeVert),,98-110,,
1:48.0,C. LeVert misses free throw 1 of 1,,98-110,,
1:46.0,,,98-110,,Defensive rebound by W. Barton
1:27.0,,,98-112,2,T. Lyles makes 2-pt shot from 2 ft (assist by W. Barton)
1:12.0,,,98-112,,Personal foul by M. Beasley (drawn by T. Zeller)
1:12.0,T. Zeller makes free throw 1 of 2,1,99-112,,
1:12.0,T. Zeller makes free throw 2 of 2,1,100-112,,
0:53.0,,,100-112,,Offensive foul by W. Barton (drawn by T. Zeller)
0:53.0,,,100-112,,Turnover by W. Barton (offensive foul)
0:43.0,Shooting foul by W. Barton (drawn by C. LeVert),,100-112,,
0:43.0,C. LeVert makes free throw 1 of 3,1,101-112,,
0:43.0,C. LeVert misses free throw 2 of 3,,101-112,,
0:43.0,Offensive rebound by Team,,101-112,,
0:43.0,C. LeVert makes free throw 3 of 3,1,102-112,,
0:23.0,,,102-112,,W. Barton misses 2-pt shot from 3 ft (block by C. LeVert)
0:19.0,Defensive rebound by T. Zeller,,102-112,,
0:16.0,I. Whitehead makes 2-pt shot from 6 ft,2,104-112,,
