time,LA Lakers,pts.away,score,pts.home,Orlando
6:31.0,,,88-114,,B. Biyombo misses free throw 1 of 2
6:31.0,,,88-114,,Offensive rebound by Team
6:31.0,,,88-114,,B. Biyombo misses free throw 2 of 2
6:31.0,Defensive rebound by K. Kuzma,,88-114,,
6:10.0,B. Ingram misses 2-pt shot from 13 ft,,88-114,,
6:07.0,Offensive rebound by T. Bryant,,88-114,,
6:01.0,K. Caldwell-Pope makes 2-pt shot from 2 ft (assist by J. Hart),2,90-114,,
5:43.0,,,90-114,,W. Iwundu misses 2-pt shot from 7 ft
5:40.0,Defensive rebound by K. Caldwell-Pope,,90-114,,
5:34.0,J. Hart makes 3-pt shot from 22 ft (assist by B. Ingram),3,93-114,,
5:07.0,,,93-117,3,A. Afflalo makes 3-pt shot from 24 ft (assist by W. Iwundu)
4:49.0,K. Caldwell-Pope makes 3-pt shot from 25 ft,3,96-117,,
4:22.0,,,96-119,2,S. Mack makes 2-pt shot from 2 ft (assist by D. Augustin)
4:12.0,K. Caldwell-Pope misses 2-pt shot from 19 ft,,96-119,,
4:09.0,,,96-119,,Defensive rebound by W. Iwundu
4:05.0,,,96-119,,D. Augustin misses 3-pt shot from 25 ft
4:01.0,Defensive rebound by B. Ingram,,96-119,,
3:53.0,B. Ingram makes 2-pt shot from 14 ft,2,98-119,,
3:30.0,,,98-119,,S. Mack misses 3-pt shot from 25 ft
3:26.0,Defensive rebound by J. Hart,,98-119,,
3:11.0,Shooting foul by B. Biyombo (drawn by K. Caldwell-Pope),,98-119,,
3:11.0,K. Caldwell-Pope makes free throw 1 of 2,1,99-119,,
3:11.0,,,99-119,,K. Birch enters the game for B. Biyombo
3:11.0,,,99-119,,M. Hezonja enters the game for D. Augustin
3:11.0,T. Ennis enters the game for B. Ingram,,99-119,,
3:11.0,K. Caldwell-Pope makes free throw 2 of 2,1,100-119,,
2:53.0,,,100-119,,A. Afflalo misses 2-pt shot from 17 ft
2:53.0,Defensive rebound by T. Bryant,,100-119,,
2:42.0,T. Ennis makes 2-pt shot from 2 ft (assist by K. Kuzma),2,102-119,,
2:39.0,Personal foul by K. Caldwell-Pope (drawn by S. Mack),,102-119,,
2:39.0,LA Lakers full timeout,,102-119,,
2:39.0,A. Caruso enters the game for K. Caldwell-Pope,,102-119,,
2:25.0,,,102-119,,Offensive foul by A. Afflalo (drawn by J. Hart)
2:25.0,,,102-119,,Turnover by A. Afflalo (offensive foul)
2:12.0,Shooting foul by K. Birch (drawn by T. Bryant),,102-119,,
2:12.0,T. Bryant misses free throw 1 of 2,,102-119,,
2:12.0,Offensive rebound by Team,,102-119,,
2:12.0,T. Bryant makes free throw 2 of 2,1,103-119,,
1:59.0,,,103-122,3,M. Hezonja makes 3-pt shot from 25 ft (assist by S. Mack)
1:47.0,K. Kuzma misses 2-pt shot from 9 ft,,103-122,,
1:44.0,,,103-122,,Defensive rebound by K. Birch
1:33.0,,,103-124,2,S. Mack makes 2-pt shot from 1 ft
1:21.0,T. Ennis makes 2-pt shot from 2 ft (assist by A. Caruso),2,105-124,,
1:08.0,,,105-124,,Turnover by M. Hezonja (traveling)
0:59.0,K. Kuzma misses 3-pt shot from 25 ft,,105-124,,
0:57.0,,,105-124,,Defensive rebound by M. Hezonja
0:37.0,,,105-127,3,A. Afflalo makes 3-pt shot from 23 ft (assist by S. Mack)
0:28.0,T. Bryant misses 3-pt shot from 26 ft,,105-127,,
0:25.0,,,105-127,,Defensive rebound by M. Hezonja
0:02.0,,,105-127,,Turnover by Team (shot clock)
