time,Atlanta,pts.away,score,pts.home,Denver
5:21.0,,,66-64,,Personal foul by M. Plumlee (drawn by D. Dedmon)
5:11.0,D. Schroder misses 2-pt shot from 2 ft,,66-64,,
5:07.0,Offensive rebound by D. Dedmon,,66-64,,
5:07.0,D. Dedmon makes 2-pt shot at rim,2,68-64,,
4:55.0,,,68-66,2,G. Harris makes 2-pt shot from 14 ft (assist by T. Lyles)
4:43.0,M. Belinelli makes 3-pt shot from 25 ft (assist by D. Schroder),3,71-66,,
4:24.0,,,71-68,2,M. Plumlee makes 2-pt shot from 2 ft
4:24.0,,,71-68,,Shooting foul by D. Dedmon (drawn by M. Plumlee)
4:24.0,J. Collins enters the game for E. Ilyasova,,71-68,,
4:24.0,,,71-68,,M. Plumlee misses free throw 1 of 1
4:21.0,Defensive rebound by J. Collins,,71-68,,
4:12.0,D. Dedmon misses 2-pt shot from 18 ft,,71-68,,
4:08.0,,,71-68,,Defensive rebound by J. Murray
3:53.0,,,71-68,,W. Barton misses 3-pt shot from 25 ft
3:52.0,,,71-68,,Offensive rebound by Team
3:52.0,Loose ball foul by D. Dedmon (drawn by M. Plumlee),,71-68,,
3:52.0,,,71-68,,M. Plumlee misses free throw 1 of 2
3:52.0,,,71-68,,Offensive rebound by Team
3:52.0,,,71-68,,T. Craig enters the game for J. Murray
3:52.0,M. Delaney enters the game for D. Schroder,,71-68,,
3:52.0,,,71-69,1,M. Plumlee makes free throw 2 of 2
3:34.0,T. Waller-Prince misses 2-pt shot from 3 ft,,71-69,,
3:34.0,Offensive rebound by Team,,71-69,,
3:32.0,M. Delaney makes 2-pt shot from 19 ft (assist by M. Belinelli),2,73-69,,
3:17.0,,,73-69,,G. Harris misses 3-pt shot from 25 ft
3:13.0,Defensive rebound by T. Waller-Prince,,73-69,,
3:02.0,M. Belinelli misses 3-pt shot from 22 ft,,73-69,,
2:58.0,,,73-69,,Defensive rebound by M. Plumlee
2:51.0,,,73-69,,Shooting foul by J. Collins (drawn by T. Lyles)
2:51.0,,,73-70,1,T. Lyles makes free throw 1 of 2
2:51.0,,,73-70,,N. Jokic enters the game for M. Plumlee
2:51.0,,,73-71,1,T. Lyles makes free throw 2 of 2
2:40.0,D. Dedmon makes 2-pt shot from 1 ft (assist by M. Delaney),2,75-71,,
2:18.0,,,75-73,2,W. Barton makes 2-pt shot from 9 ft
2:06.0,M. Belinelli makes 3-pt shot from 24 ft (assist by J. Collins),3,78-73,,
1:53.0,,,78-73,,Turnover by N. Jokic (bad pass; steal by M. Delaney)
1:48.0,Shooting foul by T. Lyles (drawn by J. Collins),,78-73,,
1:48.0,J. Collins makes free throw 1 of 2,1,79-73,,
1:48.0,J. Collins makes free throw 2 of 2,1,80-73,,
1:38.0,,,80-76,3,T. Lyles makes 3-pt shot from 24 ft (assist by W. Barton)
1:19.0,Turnover by T. Waller-Prince (traveling),,80-76,,
1:19.0,K. Bazemore enters the game for T. Waller-Prince,,80-76,,
1:02.0,,,80-76,,N. Jokic misses 3-pt shot from 24 ft
0:59.0,Defensive rebound by D. Dedmon,,80-76,,
0:53.0,J. Collins makes 2-pt shot from 1 ft (assist by M. Delaney),2,82-76,,
0:53.0,,,82-76,,Denver full timeout
0:53.0,M. Muscala enters the game for D. Dedmon,,82-76,,
0:41.0,,,82-76,,T. Lyles misses 3-pt shot from 25 ft
0:38.0,,,82-76,,Offensive rebound by W. Barton
0:31.0,,,82-76,,W. Barton misses 2-pt shot from 3 ft
0:31.0,,,82-76,,Offensive rebound by N. Jokic
0:31.0,,,82-76,,Shooting foul by J. Collins (drawn by N. Jokic)
0:31.0,,,82-76,,N. Jokic misses free throw 1 of 2
0:31.0,,,82-76,,Offensive rebound by Team
0:31.0,,,82-77,1,N. Jokic makes free throw 2 of 2
0:13.0,Turnover by M. Belinelli (bad pass; steal by T. Craig),,82-77,,
0:13.0,Personal foul by M. Belinelli (drawn by T. Craig),,82-77,,
0:13.0,,,82-78,1,T. Craig makes clear path free throw 2 of 2
0:13.0,,,82-78,,T. Craig misses clear path free throw 1 of 2
0:13.0,,,82-78,,Offensive rebound by Team
0:13.0,M. Plumlee enters the game for J. Collins,,82-78,,
0:13.0,T. Waller-Prince enters the game for M. Belinelli,,82-78,,
0:04.0,,,82-77,,T. Lyles misses 3-pt shot from 24 ft
0:00.0,,,82-77,,Offensive rebound by T. Craig
0:00.0,,,82-77,,T. Craig misses 2-pt shot from 6 ft (block by T. Waller-Prince)
0:00.0,Defensive rebound by M. Plumlee,,82-77,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:36.0,,,82-78,,N. Jokic misses 2-pt shot from 4 ft
11:34.0,Defensive rebound by M. Muscala,,82-78,,
11:17.0,Turnover by E. Ilyasova (traveling),,82-78,,
11:13.0,,,82-78,,W. Barton misses 2-pt shot from 2 ft
11:07.0,Defensive rebound by E. Ilyasova,,82-78,,
11:02.0,E. Ilyasova makes 3-pt shot from 24 ft (assist by M. Delaney),3,85-78,,
11:00.0,,,85-78,,Denver full timeout
10:49.0,Personal foul by T. Dorsey (drawn by W. Chandler),,85-78,,
