time,Denver,pts.away,score,pts.home,Minnesota
0:00.0,End of 4th quarter,,,,End of 4th quarter
5:00.0,Start of 1st overtime,,,,Start of 1st overtime
5:00.0,Jump ball: K. Towns vs. N. Jokic (J. Murray gains possession),,,,Jump ball: K. Towns vs. N. Jokic (J. Murray gains possession)
4:41.0,W. Barton misses 3-pt shot from 25 ft,,101-101,,
4:36.0,,,101-101,,Defensive rebound by T. Gibson
4:16.0,,,101-103,2,J. Butler makes 2-pt shot from 8 ft
4:03.0,J. Murray misses 2-pt shot from 5 ft,,101-103,,
4:01.0,,,101-103,,Defensive rebound by Team
3:42.0,,,101-103,,J. Teague misses 3-pt shot from 25 ft
3:38.0,Defensive rebound by W. Chandler,,101-103,,
3:15.0,W. Barton makes 3-pt shot from 23 ft (assist by P. Millsap),3,104-103,,
2:50.0,Personal foul by J. Murray (drawn by K. Towns),,104-103,,
2:39.0,,,104-103,,Shooting foul by W. Chandler (drawn by J. Butler)
2:39.0,,,104-104,1,J. Butler makes free throw 1 of 2
2:39.0,,,104-105,1,J. Butler makes free throw 2 of 2
2:28.0,P. Millsap makes 2-pt shot from 6 ft (assist by N. Jokic),2,106-105,,
2:07.0,,,106-105,,K. Towns misses 2-pt shot from 7 ft
2:04.0,Defensive rebound by J. Murray,,106-105,,
1:44.0,N. Jokic misses 3-pt shot from 27 ft,,106-105,,
1:43.0,Offensive rebound by Team,,106-105,,
1:43.0,Turnover by Team (shot clock),,106-105,,
1:19.0,,,106-107,2,J. Teague makes 2-pt shot from 13 ft (assist by A. Wiggins)
1:08.0,,,106-107,,Personal foul by T. Gibson (drawn by N. Jokic)
1:08.0,Denver full timeout,,106-107,,
0:55.0,N. Jokic misses 2-pt shot from 2 ft,,106-107,,
0:54.0,Turnover by Team (shot clock),,106-107,,
0:54.0,Offensive rebound by Team,,106-107,,
0:54.0,M. Plumlee enters the game for N. Jokic,,106-107,,
0:40.0,,,106-107,,Shooting foul by P. Millsap (drawn by J. Butler)
0:40.0,,,106-107,,J. Butler misses free throw 1 of 2
0:40.0,,,106-107,,Offensive rebound by Team
0:40.0,N. Jokic enters the game for M. Plumlee,,106-107,,
0:40.0,,,106-108,1,J. Butler makes free throw 2 of 2
0:24.0,W. Barton misses 2-pt shot from 8 ft,,106-108,,
0:22.0,,,106-108,,Defensive rebound by K. Towns
0:14.0,Personal take foul by W. Chandler (drawn by A. Wiggins),,106-108,,
0:14.0,,,106-109,1,A. Wiggins makes free throw 1 of 2
0:14.0,M. Plumlee enters the game for J. Murray,,106-109,,
0:14.0,,,106-110,1,A. Wiggins makes free throw 2 of 2
0:14.0,Denver full timeout,,106-110,,
0:14.0,J. Murray enters the game for M. Plumlee,,106-110,,
0:13.0,J. Murray misses 3-pt shot from 25 ft,,106-110,,
0:10.0,Offensive rebound by Team,,106-110,,
0:10.0,,,106-110,,Minnesota full timeout
0:10.0,,,106-110,,J. Crawford enters the game for T. Gibson
0:10.0,M. Plumlee enters the game for N. Jokic,,106-110,,
0:09.0,Personal take foul by J. Murray (drawn by J. Butler),,106-110,,
0:09.0,,,106-111,1,J. Butler makes free throw 1 of 2
0:09.0,,,106-111,,T. Gibson enters the game for J. Crawford
0:09.0,N. Jokic enters the game for M. Plumlee,,106-111,,
0:09.0,,,106-112,1,J. Butler makes free throw 2 of 2
