time,LA Lakers,pts.away,score,pts.home,Milwaukee
6:37.0,,,74-86,,Shooting foul by K. Caldwell-Pope (drawn by T. Maker)
6:37.0,,,74-86,,T. Maker misses free throw 1 of 1
6:35.0,Defensive rebound by K. Kuzma,,74-86,,
6:26.0,K. Caldwell-Pope misses 3-pt shot from 26 ft,,74-86,,
6:25.0,Offensive rebound by K. Kuzma,,74-86,,
6:25.0,K. Kuzma makes 2-pt shot at rim,2,76-86,,
6:25.0,Shooting foul by T. Maker (drawn by K. Kuzma),,76-86,,
6:25.0,,,76-86,,G. Antetokounmpo enters the game for T. Maker
6:25.0,,,76-86,,J. Henson enters the game for D. Liggins
6:25.0,K. Kuzma makes free throw 1 of 1,1,77-86,,
6:03.0,,,77-86,,G. Antetokounmpo misses 2-pt shot from 3 ft
6:01.0,Defensive rebound by K. Kuzma,,77-86,,
5:49.0,K. Kuzma misses 2-pt shot from 9 ft,,77-86,,
5:46.0,,,77-86,,Defensive rebound by G. Antetokounmpo
5:40.0,,,77-86,,M. Brogdon misses 2-pt shot from 1 ft
5:37.0,Defensive rebound by J. Randle,,77-86,,
5:30.0,L. Ball misses 2-pt shot from 2 ft,,77-86,,
5:28.0,Offensive rebound by J. Randle,,77-86,,
5:28.0,Shooting foul by J. Henson (drawn by J. Randle),,77-86,,
5:28.0,J. Randle makes free throw 1 of 2,1,78-86,,
5:28.0,J. Randle makes free throw 2 of 2,1,79-86,,
5:06.0,,,79-86,,J. Henson misses 2-pt shot from 2 ft
5:06.0,,,79-86,,Offensive rebound by G. Antetokounmpo
5:06.0,,,79-88,2,G. Antetokounmpo makes 2-pt shot at rim
5:06.0,,,79-88,,Shooting foul by L. Ball (drawn by G. Antetokounmpo)
5:06.0,LA Lakers full timeout,,79-88,,
5:06.0,,,79-89,1,G. Antetokounmpo makes free throw 1 of 1
4:46.0,K. Kuzma misses 2-pt shot from 3 ft,,79-89,,
4:44.0,,,79-89,,Defensive rebound by K. Middleton
4:40.0,,,79-91,2,G. Antetokounmpo makes 2-pt shot at rim
4:27.0,J. Randle misses 2-pt shot from 3 ft (block by E. Bledsoe),,79-91,,
4:27.0,Offensive rebound by Team,,79-91,,
4:16.0,L. Ball misses 2-pt shot from 14 ft,,79-91,,
4:13.0,,,79-91,,Defensive rebound by G. Antetokounmpo
4:02.0,,,79-91,,Turnover by E. Bledsoe (bad pass; steal by K. Kuzma)
3:57.0,K. Kuzma makes 2-pt shot at rim,2,81-91,,
3:53.0,Personal foul by K. Caldwell-Pope (drawn by K. Middleton),,81-91,,
3:53.0,,,81-92,1,K. Middleton makes free throw 1 of 2
3:53.0,,,81-93,1,K. Middleton makes free throw 2 of 2
3:35.0,K. Kuzma misses 3-pt shot from 22 ft,,81-93,,
3:31.0,,,81-93,,Defensive rebound by G. Antetokounmpo
3:16.0,,,81-93,,Shooting foul by J. Randle (drawn by G. Antetokounmpo)
3:16.0,,,81-94,1,G. Antetokounmpo makes free throw 1 of 2
3:16.0,,,81-95,1,G. Antetokounmpo makes free throw 2 of 2
3:16.0,LA Lakers full timeout,,81-95,,
3:16.0,B. Lopez enters the game for J. Randle,,81-95,,
3:03.0,B. Lopez makes 3-pt shot from 26 ft (assist by L. Ball),3,84-95,,
2:37.0,,,84-95,,Turnover by Team (shot clock)
2:29.0,B. Lopez misses 3-pt shot from 28 ft,,84-95,,
2:25.0,,,84-95,,Defensive rebound by G. Antetokounmpo
2:03.0,,,84-95,,E. Bledsoe misses 3-pt shot from 26 ft
1:59.0,Defensive rebound by B. Ingram,,84-95,,
1:55.0,B. Ingram makes 2-pt shot from 1 ft,2,86-95,,
1:40.0,Personal foul by K. Caldwell-Pope (drawn by M. Brogdon),,86-95,,
1:40.0,,,86-96,1,M. Brogdon makes free throw 1 of 2
1:40.0,,,86-97,1,M. Brogdon makes free throw 2 of 2
1:31.0,Shooting foul by E. Bledsoe (drawn by K. Caldwell-Pope),,86-97,,
1:31.0,K. Caldwell-Pope misses free throw 1 of 2,,86-97,,
1:31.0,Offensive rebound by Team,,86-97,,
1:31.0,K. Caldwell-Pope misses free throw 2 of 2,,86-97,,
1:28.0,,,86-97,,Defensive rebound by G. Antetokounmpo
1:23.0,Personal foul by K. Kuzma (drawn by G. Antetokounmpo),,86-97,,
1:23.0,,,86-98,1,G. Antetokounmpo makes free throw 1 of 2
1:23.0,,,86-98,,D. Liggins enters the game for E. Bledsoe
1:23.0,,,86-98,,G. Antetokounmpo misses free throw 2 of 2
1:20.0,Defensive rebound by L. Ball,,86-98,,
1:16.0,K. Caldwell-Pope makes 2-pt shot at rim (assist by L. Ball),2,88-98,,
0:52.0,,,88-98,,D. Liggins misses 2-pt shot from 5 ft (block by L. Ball)
0:52.0,,,88-98,,Offensive rebound by J. Henson
0:45.0,L. Ball makes 2-pt shot from 2 ft,2,90-98,,
0:23.0,,,90-98,,J. Henson misses 3-pt shot from 26 ft (block by B. Lopez)
0:23.0,,,90-98,,Offensive rebound by Team
0:13.0,B. Ingram misses 2-pt shot from 7 ft,,90-98,,
0:13.0,,,90-98,,Defensive rebound by Team
