time,Miami,pts.away,score,pts.home,Minnesota
0:36.0,,,107-96,,T. Jones misses 2-pt shot from 8 ft
0:32.0,,,107-96,,Offensive rebound by T. Jones
0:31.0,,,107-96,,T. Jones misses 3-pt shot from 22 ft
0:31.0,,,107-96,,Offensive rebound by K. Towns
0:31.0,Personal foul by J. Richardson (drawn by K. Towns),,107-96,,
0:31.0,,,107-96,,K. Towns misses free throw 1 of 2
0:31.0,,,107-96,,Offensive rebound by Team
0:31.0,,,107-97,1,K. Towns makes free throw 2 of 2
0:14.0,K. Olynyk makes 2-pt shot at rim (assist by J. Johnson),2,109-97,,
0:10.0,,,109-97,,T. Jones misses 2-pt shot from 11 ft
0:06.0,Defensive rebound by J. Johnson,,109-97,,
