time,LA Lakers,pts.away,score,pts.home,Washington
2:07.0,,,50-63,,Offensive foul by M. Gortat (drawn by K. Caldwell-Pope)
2:07.0,,,50-63,,Turnover by M. Gortat (offensive foul)
1:47.0,Turnover by K. Kuzma (traveling),,50-63,,
1:39.0,,,50-63,,Shooting foul by B. Lopez (drawn by J. Wall)
1:39.0,,,50-64,1,J. Wall makes free throw 1 of 2
1:39.0,,,50-65,1,J. Wall makes free throw 2 of 2
1:31.0,Shooting foul by M. Gortat (drawn by B. Ingram),,50-65,,
1:31.0,B. Ingram makes free throw 1 of 2,1,51-65,,
1:31.0,,,51-65,,J. Smith enters the game for M. Gortat
1:31.0,B. Ingram makes free throw 2 of 2,1,52-65,,
1:16.0,,,52-67,2,M. Morris makes 2-pt shot from 9 ft
1:16.0,Violation by B. Lopez (def goaltending),,52-67,,
1:05.0,,,52-67,,Personal foul by J. Smith (drawn by B. Lopez)
1:05.0,B. Lopez makes free throw 1 of 2,1,53-67,,
1:05.0,B. Lopez makes free throw 2 of 2,1,54-67,,
0:55.0,,,54-67,,O. Porter misses 2-pt shot from 1 ft (block by B. Lopez)
0:49.0,Defensive rebound by B. Ingram,,54-67,,
0:48.0,B. Ingram misses 2-pt shot from 1 ft (block by J. Wall),,54-67,,
0:48.0,,,54-67,,Defensive rebound by B. Beal
0:41.0,,,54-67,,Shooting foul by K. Kuzma (drawn by M. Morris)
0:41.0,,,54-68,1,M. Morris makes free throw 1 of 2
0:41.0,J. Clarkson enters the game for K. Kuzma,,54-68,,
0:41.0,,,54-69,1,M. Morris makes free throw 2 of 2
0:29.0,L. Ball misses 3-pt shot from 26 ft,,54-69,,
0:23.0,Offensive rebound by K. Caldwell-Pope,,54-69,,
0:03.0,B. Ingram misses 2-pt shot from 2 ft,,54-69,,
0:02.0,Offensive rebound by B. Lopez,,54-69,,
0:01.0,B. Lopez makes 2-pt shot from 1 ft,2,56-69,,
0:01.0,,,56-69,,J. Wall misses 3-pt shot from 43 ft
0:01.0,,,56-69,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:42.0,B. Lopez misses 3-pt shot from 24 ft,,56-69,,
11:38.0,,,56-69,,Defensive rebound by M. Morris
11:24.0,,,56-72,3,M. Morris makes 3-pt shot from 23 ft (assist by B. Beal)
11:14.0,L. Ball makes 3-pt shot from 26 ft,3,59-72,,
10:57.0,,,59-75,3,M. Morris makes 3-pt shot from 25 ft (assist by B. Beal)
10:47.0,Shooting foul by M. Morris (drawn by B. Lopez),,59-75,,
10:47.0,B. Lopez makes free throw 1 of 2,1,60-75,,
10:47.0,B. Lopez makes free throw 2 of 2,1,61-75,,
10:31.0,,,61-75,,Turnover by M. Morris (bad pass)
10:20.0,,,61-75,,Personal foul by O. Porter (drawn by B. Ingram)
10:12.0,B. Lopez misses 2-pt shot from 5 ft,,61-75,,
10:07.0,Offensive rebound by K. Kuzma,,61-75,,
10:06.0,K. Kuzma misses 2-pt shot from 2 ft,,61-75,,
10:06.0,Offensive rebound by K. Kuzma,,61-75,,
10:02.0,Shooting foul by B. Beal (drawn by K. Kuzma),,61-75,,
10:02.0,K. Kuzma makes free throw 1 of 2,1,62-75,,
10:02.0,K. Kuzma makes free throw 2 of 2,1,63-75,,
9:43.0,,,63-75,,M. Morris misses 2-pt shot from 12 ft
9:41.0,Defensive rebound by K. Caldwell-Pope,,63-75,,
9:37.0,Turnover by K. Caldwell-Pope (turnover),,63-75,,
9:36.0,Jump ball: M. Gortat vs. B. Lopez (K. Caldwell-Pope gains possession),,,,Jump ball: M. Gortat vs. B. Lopez (K. Caldwell-Pope gains possession)
9:36.0,,,63-75,,Turnover by M. Gortat (turnover; steal by B. Lopez)
9:24.0,,,63-77,2,O. Porter makes 2-pt shot from 20 ft
9:02.0,K. Caldwell-Pope misses 3-pt shot from 26 ft,,63-77,,
8:58.0,,,63-77,,Defensive rebound by B. Beal
8:49.0,,,63-77,,J. Wall misses 3-pt shot from 26 ft
8:45.0,Defensive rebound by L. Ball,,63-77,,
8:42.0,B. Ingram makes 2-pt shot at rim (assist by L. Ball),2,65-77,,
8:20.0,,,65-77,,Turnover by B. Beal (bad pass; steal by K. Caldwell-Pope)
8:10.0,B. Ingram misses 3-pt shot from 26 ft,,65-77,,
8:07.0,,,65-77,,Defensive rebound by M. Gortat
7:49.0,,,65-77,,M. Gortat misses 2-pt shot from 13 ft
7:45.0,Defensive rebound by L. Ball,,65-77,,
7:38.0,L. Ball misses 3-pt shot from 23 ft,,65-77,,
7:35.0,,,65-77,,Defensive rebound by J. Wall
7:14.0,,,65-79,2,B. Beal makes 2-pt shot from 1 ft
7:03.0,Turnover by L. Ball (bad pass; steal by J. Wall),,65-79,,
7:00.0,,,65-81,2,J. Wall makes 2-pt shot from 1 ft
7:00.0,,,65-81,,Shooting foul by B. Lopez (drawn by J. Wall)
7:00.0,,,65-82,1,J. Wall makes free throw 1 of 1
