time,Washington,pts.away,score,pts.home,New York
10:26.0,Turnover by I. Mahinmi (bad pass),,90-89,,
10:26.0,J. Meeks enters the game for T. Satoransky,,90-89,,
10:09.0,,,90-92,3,L. Thomas makes 3-pt shot from 22 ft (assist by E. Mudiay)
9:53.0,M. Scott makes 3-pt shot from 26 ft (assist by B. Beal),3,93-92,,
9:41.0,,,93-94,2,C. Lee makes 2-pt shot from 13 ft
9:27.0,Shooting foul by E. Kanter (drawn by I. Mahinmi),,93-94,,
9:27.0,I. Mahinmi makes free throw 1 of 2,1,94-94,,
9:27.0,I. Mahinmi makes free throw 2 of 2,1,95-94,,
9:18.0,,,95-94,,Turnover by E. Mudiay (traveling)
9:08.0,J. Meeks makes 2-pt shot from 12 ft (assist by B. Beal),2,97-94,,
8:51.0,Personal foul by I. Mahinmi (drawn by C. Lee),,97-94,,
8:51.0,,,97-94,,T. Hardaway enters the game for L. Thomas
8:42.0,,,97-96,2,E. Kanter makes 2-pt shot from 1 ft (assist by M. Beasley)
8:42.0,,,97-96,,Shooting foul by I. Mahinmi (drawn by E. Kanter)
8:42.0,,,97-97,1,E. Kanter makes free throw 1 of 1
8:30.0,Offensive foul by M. Scott (drawn by T. Hardaway),,97-97,,
8:30.0,Turnover by M. Scott (offensive foul),,97-97,,
8:18.0,,,97-97,,M. Beasley misses 2-pt shot from 16 ft
8:16.0,Defensive rebound by K. Oubre,,97-97,,
8:07.0,K. Oubre makes 2-pt shot from 19 ft,2,99-97,,
7:55.0,,,99-97,,T. Hardaway misses 3-pt shot from 25 ft
7:53.0,,,99-97,,Offensive rebound by E. Kanter
7:53.0,,,99-99,2,E. Kanter makes 2-pt shot at rim
7:38.0,B. Beal makes 2-pt shot from 1 ft,2,101-99,,
7:30.0,,,101-99,,C. Lee misses 3-pt shot from 24 ft
7:28.0,Defensive rebound by J. Meeks,,101-99,,
7:22.0,K. Oubre misses 3-pt shot from 23 ft,,101-99,,
7:20.0,,,101-99,,Defensive rebound by E. Kanter
7:12.0,,,101-101,2,E. Mudiay makes 2-pt shot from 1 ft
7:12.0,Washington full timeout,,101-101,,
7:12.0,O. Porter enters the game for M. Scott,,101-101,,
7:01.0,Turnover by B. Beal (lost ball; steal by T. Hardaway),,101-101,,
6:46.0,,,101-101,,Offensive charge foul by M. Beasley (drawn by K. Oubre)
6:46.0,,,101-101,,Turnover by M. Beasley (offensive foul)
6:41.0,,,101-101,,Personal foul by C. Lee (drawn by J. Meeks)
6:27.0,O. Porter makes 2-pt shot from 20 ft (assist by B. Beal),2,103-101,,
6:04.0,,,103-101,,M. Beasley misses 2-pt shot from 1 ft (block by I. Mahinmi)
6:04.0,Defensive rebound by O. Porter,,103-101,,
5:56.0,K. Oubre misses 3-pt shot from 25 ft,,103-101,,
5:54.0,,,103-101,,Defensive rebound by E. Kanter
5:45.0,,,103-101,,E. Mudiay misses 3-pt shot from 25 ft
5:43.0,Defensive rebound by B. Beal,,103-101,,
5:32.0,I. Mahinmi makes 2-pt shot from 2 ft (assist by J. Meeks),2,105-101,,
5:14.0,,,105-101,,C. Lee misses 2-pt shot from 12 ft
5:13.0,,,105-101,,Offensive rebound by E. Kanter
5:13.0,,,105-103,2,E. Kanter makes 2-pt shot at rim
5:13.0,,,105-103,,Shooting foul by I. Mahinmi (drawn by E. Kanter)
5:13.0,,,105-103,,J. Jack enters the game for E. Mudiay
5:13.0,T. Satoransky enters the game for J. Meeks,,105-103,,
5:13.0,,,105-104,1,E. Kanter makes free throw 1 of 1
4:58.0,O. Porter misses 2-pt shot from 12 ft,,105-104,,
4:58.0,Offensive rebound by O. Porter,,105-104,,
4:52.0,O. Porter makes 2-pt shot from 1 ft (assist by K. Oubre),2,107-104,,
4:52.0,Shooting foul by E. Kanter (drawn by O. Porter),,107-104,,
4:52.0,O. Porter makes free throw 1 of 1,1,108-104,,
4:39.0,,,108-104,,M. Beasley misses 2-pt shot from 3 ft
4:37.0,,,108-104,,Offensive rebound by E. Kanter
4:34.0,,,108-104,,E. Kanter misses 2-pt shot at rim
4:33.0,,,108-104,,Offensive rebound by M. Beasley
4:32.0,,,108-104,,M. Beasley misses 2-pt shot from 4 ft
4:32.0,Defensive rebound by O. Porter,,108-104,,
4:11.0,B. Beal makes 2-pt shot at rim (assist by T. Satoransky),2,110-104,,
4:11.0,Shooting foul by T. Hardaway (drawn by B. Beal),,110-104,,
4:11.0,,,110-104,,L. Thomas enters the game for C. Lee
4:11.0,B. Beal makes free throw 1 of 1,1,111-104,,
3:52.0,,,111-104,,T. Hardaway misses 2-pt shot from 18 ft
3:51.0,Defensive rebound by Team,,111-104,,
3:35.0,B. Beal misses 2-pt shot from 22 ft,,111-104,,
3:33.0,,,111-104,,Defensive rebound by M. Beasley
3:24.0,,,111-104,,Turnover by T. Hardaway (bad pass; steal by O. Porter)
3:22.0,Shooting foul by T. Hardaway (drawn by O. Porter),,111-104,,
3:22.0,O. Porter makes free throw 1 of 2,1,112-104,,
3:22.0,O. Porter misses free throw 2 of 2,,112-104,,
3:20.0,,,112-104,,Defensive rebound by L. Thomas
3:04.0,,,112-104,,M. Beasley misses 2-pt shot from 18 ft
3:03.0,,,112-104,,Offensive rebound by Team
