time,Houston,pts.away,score,pts.home,Charlotte
5:27.0,,,92-84,,K. Walker misses 2-pt shot from 2 ft (block by R. Anderson)
5:23.0,Defensive rebound by L. Mbah a Moute,,92-84,,
5:19.0,R. Anderson makes 2-pt shot from 1 ft,2,94-84,,
5:19.0,Shooting foul by J. Lamb (drawn by R. Anderson),,94-84,,
5:19.0,R. Anderson makes free throw 1 of 1,1,95-84,,
5:00.0,Houston full timeout,,95-84,,
5:00.0,,,95-84,,M. Monk enters the game for M. Kidd-Gilchrist
4:56.0,,,95-86,2,J. Lamb makes 2-pt shot from 16 ft (assist by M. Monk)
4:32.0,J. Harden makes 3-pt shot from 25 ft,3,98-86,,
4:05.0,,,98-86,,J. Lamb misses 2-pt shot from 15 ft
4:02.0,Defensive rebound by J. Harden,,98-86,,
3:45.0,R. Anderson misses 3-pt shot from 28 ft,,98-86,,
3:42.0,,,98-86,,Defensive rebound by F. Kaminsky
3:34.0,,,98-88,2,J. Lamb makes 2-pt shot at rim
3:08.0,Turnover by L. Mbah a Moute (out of bounds lost ball),,98-88,,
3:08.0,E. Gordon enters the game for B. Brown,,98-88,,
3:08.0,Personal take foul by R. Anderson (drawn by D. Howard),,98-88,,
3:08.0,,,98-88,,D. Howard misses free throw 1 of 2
3:08.0,,,98-88,,Offensive rebound by Team
3:08.0,,,98-89,1,D. Howard makes free throw 2 of 2
2:58.0,L. Mbah a Moute makes 3-pt shot from 22 ft (assist by J. Harden),3,101-89,,
2:51.0,Personal take foul by R. Anderson (drawn by D. Howard),,101-89,,
2:51.0,,,101-89,,D. Howard misses free throw 1 of 2
2:51.0,,,101-89,,Offensive rebound by Team
2:51.0,,,101-89,,D. Howard misses free throw 2 of 2
2:47.0,Defensive rebound by J. Harden,,101-89,,
2:29.0,R. Anderson makes 3-pt shot from 22 ft (assist by J. Harden),3,104-89,,
2:28.0,,,104-89,,Charlotte full timeout
2:28.0,,,104-89,,M. Williams enters the game for D. Howard
2:11.0,,,104-89,,F. Kaminsky misses 3-pt shot from 25 ft
2:08.0,Defensive rebound by J. Harden,,104-89,,
1:47.0,J. Harden misses 2-pt shot from 16 ft,,104-89,,
1:43.0,,,104-89,,Defensive rebound by K. Walker
1:39.0,,,104-89,,K. Walker misses 2-pt shot from 2 ft
1:36.0,Defensive rebound by J. Harden,,104-89,,
1:24.0,R. Anderson misses 3-pt shot from 29 ft,,104-89,,
1:21.0,,,104-89,,Defensive rebound by J. Lamb
1:16.0,,,104-91,2,F. Kaminsky makes 2-pt shot from 2 ft (assist by J. Lamb)
0:53.0,L. Mbah a Moute makes 2-pt shot from 1 ft (assist by J. Harden),2,106-91,,
0:41.0,,,106-93,2,J. Lamb makes 2-pt shot from 15 ft
0:20.0,J. Harden makes 3-pt shot from 29 ft,3,109-93,,
