time,Detroit,pts.away,score,pts.home,Philadelphia
1:47.0,,,77-114,,R. Holmes enters the game for T. McConnell
1:47.0,D. Buycks misses free throw 1 of 2,,77-114,,
1:47.0,Offensive rebound by Team,,77-114,,
1:47.0,D. Buycks makes free throw 2 of 2,1,78-114,,
1:32.0,,,78-114,,J. Anderson misses 3-pt shot from 25 ft
1:28.0,Defensive rebound by D. Buycks,,78-114,,
1:18.0,D. Buycks misses 2-pt shot from 19 ft,,78-114,,
1:15.0,,,78-114,,Defensive rebound by J. McAdoo
1:01.0,,,78-114,,T. Booker misses 2-pt shot from 17 ft
0:58.0,Defensive rebound by E. Moreland,,78-114,,
0:36.0,H. Ellenson misses 2-pt shot from 7 ft,,78-114,,
0:34.0,,,78-114,,Defensive rebound by J. Anderson
0:24.0,,,78-114,,T. Booker misses 2-pt shot from 19 ft
0:21.0,Defensive rebound by L. Montero,,78-114,,
0:09.0,D. Buycks misses 3-pt shot from 25 ft,,78-114,,
0:06.0,,,78-114,,Defensive rebound by T. Booker
