time,Charlotte,pts.away,score,pts.home,Portland
0:06.0,,,97-97,,D. Lillard misses 2-pt shot from 17 ft
0:03.0,,,97-97,,Offensive rebound by C. McCollum
0:01.0,,,97-97,,C. McCollum misses 2-pt shot from 15 ft
0:01.0,Defensive rebound by F. Kaminsky,,97-97,,
0:01.0,Charlotte full timeout,,97-97,,
0:01.0,J. Lamb enters the game for M. Kidd-Gilchrist,,97-97,,
0:00.0,D. Howard misses 2-pt shot from 19 ft (block by J. Nurkic),,97-97,,
0:00.0,Offensive rebound by Team,,97-97,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
5:00.0,Start of 1st overtime,,,,Start of 1st overtime
5:00.0,Jump ball: J. Nurkic vs. D. Howard (A. Aminu gains possession),,,,Jump ball: J. Nurkic vs. D. Howard (A. Aminu gains possession)
4:41.0,,,97-97,,Turnover by J. Nurkic (bad pass; steal by N. Batum)
4:19.0,N. Batum misses 3-pt shot from 24 ft,,97-97,,
4:17.0,,,97-97,,Defensive rebound by J. Nurkic
4:07.0,,,97-100,3,D. Lillard makes 3-pt shot from 25 ft
3:54.0,K. Walker makes 3-pt shot from 24 ft,3,100-100,,
3:41.0,,,100-100,,Turnover by D. Lillard (out of bounds lost ball)
3:30.0,K. Walker misses 2-pt shot from 2 ft (block by J. Nurkic),,100-100,,
3:29.0,,,100-100,,Defensive rebound by J. Nurkic
3:14.0,,,100-102,2,M. Harkless makes 2-pt shot from 1 ft (assist by C. McCollum)
2:56.0,M. Kidd-Gilchrist misses 2-pt shot from 13 ft,,100-102,,
2:54.0,,,100-102,,Defensive rebound by D. Lillard
2:50.0,,,100-102,,Offensive foul by J. Nurkic (drawn by K. Walker)
2:50.0,,,100-102,,Turnover by J. Nurkic (offensive foul)
2:35.0,K. Walker misses 2-pt shot from 1 ft,,100-102,,
2:33.0,,,100-102,,Defensive rebound by C. McCollum
2:28.0,,,100-102,,C. McCollum misses 2-pt shot from 1 ft
2:26.0,Defensive rebound by D. Howard,,100-102,,
2:16.0,K. Walker misses 2-pt shot from 14 ft,,100-102,,
2:14.0,,,100-102,,Defensive rebound by C. McCollum
2:07.0,,,100-102,,Offensive foul by J. Nurkic (drawn by M. Kidd-Gilchrist)
2:07.0,,,100-102,,Turnover by J. Nurkic (offensive foul)
2:07.0,J. Lamb enters the game for M. Kidd-Gilchrist,,100-102,,
1:49.0,J. Lamb misses 2-pt shot from 2 ft (block by J. Nurkic),,100-102,,
1:49.0,Offensive rebound by Team,,100-102,,
1:45.0,N. Batum misses 3-pt shot from 22 ft,,100-102,,
1:42.0,,,100-102,,Defensive rebound by J. Nurkic
1:27.0,,,100-102,,Turnover by D. Lillard (bad pass; steal by N. Batum)
1:22.0,J. Lamb misses 2-pt shot from 1 ft (block by M. Harkless),,100-102,,
1:18.0,,,100-102,,Defensive rebound by A. Aminu
1:09.0,,,100-102,,Shooting foul by D. Howard (drawn by C. McCollum)
1:09.0,,,100-102,,C. McCollum misses free throw 1 of 3
1:09.0,,,100-102,,Offensive rebound by Team
1:09.0,,,100-103,1,C. McCollum makes free throw 2 of 3
1:09.0,,,100-104,1,C. McCollum makes free throw 3 of 3
0:56.0,Turnover by K. Walker (turnover),,100-104,,
0:37.0,,,100-104,,D. Lillard misses 2-pt shot from 1 ft
0:37.0,,,100-104,,Offensive rebound by M. Harkless
0:37.0,,,100-106,2,M. Harkless makes 2-pt shot at rim
0:37.0,Charlotte full timeout,,100-106,,
0:33.0,K. Walker makes 3-pt shot from 26 ft (assist by N. Batum),3,103-106,,
0:12.0,,,103-108,2,C. McCollum makes 2-pt shot from 5 ft
0:12.0,Charlotte full timeout,,103-108,,
0:06.0,F. Kaminsky misses 3-pt shot from 24 ft,,103-108,,
0:04.0,,,103-108,,Defensive rebound by J. Nurkic
0:04.0,Personal take foul by J. Lamb (drawn by J. Nurkic),,103-108,,
0:04.0,,,103-109,1,J. Nurkic makes free throw 1 of 2
0:04.0,,,103-109,,J. Nurkic misses free throw 2 of 2
0:02.0,Defensive rebound by F. Kaminsky,,103-109,,
0:00.0,J. Lamb misses 3-pt shot from 36 ft,,103-109,,
0:00.0,Offensive rebound by Team,,103-109,,
