time,LA Clippers,pts.away,score,pts.home,Chicago
4:11.0,,,107-96,,Z. LaVine misses 2-pt shot from 1 ft (block by D. Jordan)
4:11.0,,,107-96,,Offensive rebound by Team
4:11.0,,,107-98,2,Z. LaVine makes 2-pt shot from 1 ft (assist by K. Dunn)
4:11.0,,,107-98,,Shooting foul by S. Thornwell (drawn by Z. LaVine)
4:11.0,,,107-99,1,Z. LaVine makes free throw 1 of 1
4:00.0,,,107-99,,Loose ball foul by C. Felicio (drawn by D. Jordan)
4:00.0,D. Jordan misses free throw 1 of 2,,107-99,,
4:00.0,Offensive rebound by Team,,107-99,,
4:00.0,D. Jordan misses free throw 2 of 2,,107-99,,
3:58.0,Offensive rebound by Team,,107-99,,
3:38.0,L. Williams misses 3-pt shot from 22 ft (block by D. Nwaba),,107-99,,
3:38.0,Offensive rebound by Team,,107-99,,
3:38.0,LA Clippers full timeout,,107-99,,
3:35.0,A. Rivers misses 2-pt shot from 15 ft (block by D. Nwaba),,107-99,,
3:35.0,,,107-99,,Defensive rebound by K. Dunn
3:35.0,,,107-99,,Turnover by K. Dunn (step out of bounds)
3:14.0,D. Jordan makes 2-pt shot at rim (assist by L. Williams),2,109-99,,
2:56.0,,,109-99,,Z. LaVine misses 3-pt shot from 25 ft
2:53.0,Defensive rebound by D. Jordan,,109-99,,
2:35.0,Shooting foul by B. Portis (drawn by D. Jordan),,109-99,,
2:35.0,D. Jordan makes free throw 1 of 2,1,110-99,,
2:35.0,D. Jordan makes free throw 2 of 2,1,111-99,,
2:24.0,,,111-99,,K. Dunn misses 3-pt shot from 24 ft
2:20.0,Defensive rebound by D. Jordan,,111-99,,
2:11.0,Turnover by L. Williams (bad pass; steal by K. Dunn),,111-99,,
2:10.0,,,111-99,,Shooting foul by T. Harris (drawn by K. Dunn)
2:10.0,,,111-100,1,K. Dunn makes free throw 1 of 2
2:10.0,,,111-101,1,K. Dunn makes free throw 2 of 2
1:49.0,Turnover by L. Williams (bad pass; steal by B. Portis),,111-101,,
1:39.0,,,111-101,,D. Nwaba misses 3-pt shot from 23 ft
1:37.0,Defensive rebound by Team,,111-101,,
1:20.0,Shooting foul by Z. LaVine (drawn by D. Jordan),,111-101,,
1:20.0,D. Jordan misses free throw 1 of 2,,111-101,,
1:20.0,Offensive rebound by Team,,111-101,,
1:20.0,D. Jordan makes free throw 2 of 2,1,112-101,,
1:08.0,,,112-104,3,Z. LaVine makes 3-pt shot from 25 ft (assist by C. Felicio)
1:08.0,LA Clippers full timeout,,112-104,,
1:08.0,M. Teodosic enters the game for S. Thornwell,,112-104,,
1:02.0,Jump ball: B. Portis vs. A. Rivers (C. Felicio gains possession),,,,Jump ball: B. Portis vs. A. Rivers (C. Felicio gains possession)
1:02.0,Turnover by A. Rivers (turnover; steal by B. Portis),,112-104,,
0:54.0,,,112-104,,B. Portis misses 2-pt shot from 20 ft
0:51.0,,,112-104,,Offensive rebound by D. Nwaba
0:51.0,,,112-104,,D. Nwaba misses 2-pt shot from 5 ft
0:51.0,,,112-104,,Offensive rebound by Team
0:51.0,Loose ball foul by D. Jordan (drawn by K. Dunn),,112-104,,
0:51.0,,,112-105,1,K. Dunn makes free throw 1 of 2
0:51.0,,,112-106,1,K. Dunn makes free throw 2 of 2
0:28.0,L. Williams misses 3-pt shot from 25 ft,,112-106,,
0:25.0,,,112-106,,Defensive rebound by Z. LaVine
0:16.0,,,112-106,,Z. LaVine misses 3-pt shot from 25 ft
0:14.0,,,112-106,,Offensive rebound by Z. LaVine
0:12.0,,,112-106,,C. Felicio misses 3-pt shot from 25 ft
0:12.0,Defensive rebound by L. Williams,,112-106,,
