time,Toronto,pts.away,score,pts.home,Atlanta
1:08.0,L. Nogueira misses 3-pt shot from 22 ft,,112-73,,
1:06.0,,,112-73,,Defensive rebound by T. Dorsey
0:56.0,,,112-75,2,J. Magette makes 2-pt shot from 16 ft
0:45.0,N. Powell misses 2-pt shot from 1 ft,,112-75,,
0:42.0,,,112-75,,Defensive rebound by T. Cavanaugh
0:38.0,Personal foul by A. McKinnie (drawn by M. Delaney),,112-75,,
0:38.0,,,112-75,,M. Delaney misses free throw 1 of 2
0:38.0,,,112-75,,Offensive rebound by Team
0:38.0,,,112-76,1,M. Delaney makes free throw 2 of 2
0:23.0,A. McKinnie misses 3-pt shot from 22 ft,,112-76,,
0:20.0,,,112-76,,Defensive rebound by T. Cavanaugh
0:17.0,,,112-78,2,M. Delaney makes 2-pt shot at rim (assist by J. Magette)
