time,Minnesota,pts.away,score,pts.home,Orlando
1:31.0,T. Gibson misses 2-pt shot from 3 ft (block by B. Biyombo),,95-103,,
1:28.0,,,95-103,,Defensive rebound by E. Fournier
1:07.0,,,95-103,,D. Augustin misses 2-pt shot from 4 ft (block by K. Towns)
1:07.0,,,95-103,,Offensive rebound by B. Biyombo
1:07.0,,,95-103,,Turnover by Team (shot clock)
1:07.0,Minnesota full timeout,,95-103,,
1:05.0,K. Towns makes 3-pt shot from 22 ft (assist by A. Wiggins),3,98-103,,
0:50.0,,,98-105,2,B. Biyombo makes 2-pt shot from 3 ft (assist by E. Fournier)
0:50.0,,,98-105,,Shooting foul by J. Butler (drawn by B. Biyombo)
0:50.0,,,98-106,1,B. Biyombo makes free throw 1 of 1
0:44.0,,,98-106,,Personal foul by J. Simmons (drawn by J. Butler)
0:38.0,J. Butler makes 2-pt shot from 3 ft,2,100-106,,
0:36.0,Personal foul by J. Teague (drawn by D. Augustin),,100-106,,
0:36.0,,,100-107,1,D. Augustin makes free throw 1 of 2
0:36.0,,,100-107,,D. Augustin misses free throw 2 of 2
0:33.0,Defensive rebound by T. Gibson,,100-107,,
0:25.0,J. Butler misses 3-pt shot from 26 ft,,100-107,,
0:24.0,,,100-107,,Defensive rebound by B. Biyombo
0:24.0,Personal take foul by T. Gibson (drawn by B. Biyombo),,100-107,,
0:24.0,J. Crawford enters the game for T. Gibson,,100-107,,
0:24.0,,,100-108,1,B. Biyombo makes free throw 1 of 2
0:24.0,,,100-108,,B. Biyombo misses free throw 2 of 2
0:24.0,Defensive rebound by K. Towns,,100-108,,
0:24.0,Minnesota full timeout,,100-108,,
0:20.0,J. Butler makes 2-pt shot from 3 ft (assist by J. Teague),2,102-108,,
0:18.0,,,102-108,,Orlando full timeout
0:18.0,,,102-108,,Orlando full timeout
0:18.0,,,102-108,,M. Hezonja enters the game for B. Biyombo
0:10.0,,,102-108,,Turnover by D. Augustin (turnover)
0:10.0,,,102-108,,B. Biyombo enters the game for M. Hezonja
0:03.0,J. Butler misses 3-pt shot from 24 ft,,102-108,,
0:00.0,,,102-108,,Defensive rebound by D. Augustin
