time,Charlotte,pts.away,score,pts.home,Atlanta
9:17.0,Defensive rebound by M. Williams,,70-56,,
9:09.0,M. Kidd-Gilchrist makes 2-pt shot from 11 ft (assist by N. Batum),2,72-56,,
8:52.0,,,72-59,3,T. Waller-Prince makes 3-pt shot from 24 ft (assist by D. Dedmon)
8:34.0,M. Williams makes 3-pt shot from 24 ft (assist by K. Walker),3,75-59,,
8:16.0,,,75-59,,T. Waller-Prince misses 3-pt shot from 24 ft
8:13.0,Defensive rebound by N. Batum,,75-59,,
8:05.0,Turnover by N. Batum (bad pass; steal by T. Dorsey),,75-59,,
8:00.0,,,75-62,3,T. Dorsey makes 3-pt shot from 24 ft (assist by D. Schroder)
7:39.0,D. Howard makes 2-pt shot from 7 ft (assist by M. Williams),2,77-62,,
7:19.0,,,77-64,2,D. Dedmon makes 2-pt shot from 10 ft (assist by D. Schroder)
7:09.0,Turnover by K. Walker (bad pass),,77-64,,
7:09.0,,,77-64,,I. Taylor enters the game for D. Schroder
6:52.0,,,77-67,3,J. Collins makes 3-pt shot from 23 ft (assist by T. Dorsey)
6:37.0,M. Williams misses 3-pt shot from 25 ft,,77-67,,
6:34.0,,,77-67,,Defensive rebound by J. Collins
6:34.0,Personal foul by M. Kidd-Gilchrist (drawn by J. Collins),,77-67,,
6:34.0,T. Graham enters the game for M. Kidd-Gilchrist,,77-67,,
6:18.0,,,77-67,,Turnover by T. Waller-Prince (bad pass; steal by D. Howard)
6:11.0,T. Graham makes 3-pt shot from 24 ft (assist by K. Walker),3,80-67,,
5:49.0,,,80-67,,J. Collins misses 3-pt shot from 23 ft
5:47.0,Defensive rebound by N. Batum,,80-67,,
5:42.0,D. Howard makes 2-pt shot from 1 ft (assist by N. Batum),2,82-67,,
5:28.0,,,82-69,2,J. Collins makes 2-pt shot at rim (assist by T. Dorsey)
5:06.0,M. Williams makes 2-pt shot at rim (assist by N. Batum),2,84-69,,
5:06.0,,,84-69,,Atlanta full timeout
5:06.0,,,84-69,,D. Lee enters the game for T. Dorsey
5:06.0,,,84-69,,M. Muscala enters the game for D. Dedmon
4:52.0,,,84-69,,Offensive foul by M. Muscala (drawn by M. Williams)
4:52.0,,,84-69,,Turnover by M. Muscala (offensive foul)
4:40.0,K. Walker misses 3-pt shot from 25 ft,,84-69,,
4:37.0,,,84-69,,Defensive rebound by T. Waller-Prince
4:26.0,,,84-69,,D. Lee misses 3-pt shot from 23 ft
4:23.0,Defensive rebound by K. Walker,,84-69,,
4:13.0,M. Williams makes 2-pt shot from 11 ft,2,86-69,,
4:03.0,,,86-69,,M. Muscala misses 3-pt shot from 22 ft
4:01.0,Defensive rebound by D. Howard,,86-69,,
3:52.0,Turnover by N. Batum (bad pass; steal by M. Muscala),,86-69,,
3:35.0,,,86-69,,T. Waller-Prince misses 2-pt shot from 18 ft
3:30.0,Defensive rebound by D. Howard,,86-69,,
3:14.0,Shooting foul by I. Taylor (drawn by K. Walker),,86-69,,
3:14.0,K. Walker makes free throw 1 of 3,1,87-69,,
3:14.0,K. Walker makes free throw 2 of 3,1,88-69,,
3:14.0,,,88-69,,A. White enters the game for T. Waller-Prince
3:14.0,,,88-69,,T. Cavanaugh enters the game for J. Collins
3:14.0,J. Lamb enters the game for M. Williams,,88-69,,
3:14.0,K. Walker makes free throw 3 of 3,1,89-69,,
3:06.0,,,89-69,,Shooting foul by T. Graham (drawn by I. Taylor)
3:06.0,,,89-69,,I. Taylor misses free throw 1 of 2
3:06.0,,,89-69,,Offensive rebound by Team
3:06.0,M. Monk enters the game for K. Walker,,89-69,,
3:06.0,,,89-70,1,I. Taylor makes free throw 2 of 2
2:48.0,M. Monk misses 3-pt shot from 25 ft,,89-70,,
2:43.0,,,89-70,,Defensive rebound by M. Muscala
2:35.0,,,89-72,2,I. Taylor makes 2-pt shot from 1 ft
2:22.0,M. Monk misses 2-pt shot from 1 ft,,89-72,,
2:21.0,Offensive rebound by Team,,89-72,,
2:21.0,,,89-72,,Loose ball foul by T. Cavanaugh (drawn by D. Howard)
2:15.0,J. Lamb misses 2-pt shot from 14 ft,,89-72,,
2:12.0,,,89-72,,Defensive rebound by T. Cavanaugh
2:00.0,,,89-74,2,D. Lee makes 2-pt shot from 1 ft
1:40.0,N. Batum misses 2-pt shot from 16 ft,,89-74,,
1:37.0,,,89-74,,Defensive rebound by T. Cavanaugh
1:33.0,,,89-74,,Shooting foul by M. Monk (drawn by I. Taylor)
1:33.0,,,89-74,,I. Taylor misses free throw 1 of 2
1:33.0,,,89-74,,Offensive rebound by Team
1:33.0,,,89-74,,I. Taylor misses free throw 2 of 2
1:32.0,Defensive rebound by Team,,89-74,,
1:13.0,D. Howard makes 2-pt shot from 12 ft (assist by N. Batum),2,91-74,,
1:09.0,,,91-76,2,I. Taylor makes 2-pt shot at rim
1:09.0,,,91-76,,Shooting foul by M. Monk (drawn by I. Taylor)
1:09.0,,,91-77,1,I. Taylor makes free throw 1 of 1
1:00.0,,,91-77,,Loose ball foul by M. Muscala (drawn by D. Howard)
1:00.0,,,91-77,,T. Dorsey enters the game for I. Taylor
0:55.0,Shooting foul by A. White (drawn by D. Howard),,91-77,,
0:55.0,D. Howard makes free throw 1 of 2,1,92-77,,
0:55.0,D. Howard makes free throw 2 of 2,1,93-77,,
0:43.0,,,93-77,,D. Lee misses 2-pt shot from 9 ft
0:41.0,,,93-77,,Offensive rebound by M. Muscala
0:41.0,,,93-79,2,M. Muscala makes 2-pt shot at rim
0:34.0,M. Monk makes 3-pt shot from 25 ft,3,96-79,,
0:26.0,,,96-79,,D. Lee misses 3-pt shot from 24 ft
0:23.0,Defensive rebound by J. Lamb,,96-79,,
0:03.0,Shooting foul by T. Cavanaugh (drawn by D. Howard),,96-79,,
0:03.0,D. Howard makes free throw 1 of 2,1,97-79,,
0:03.0,D. Howard misses free throw 2 of 2,,97-79,,
0:01.0,,,97-79,,Defensive rebound by T. Cavanaugh
0:00.0,,,97-79,,T. Dorsey misses 3-pt shot from 41 ft
0:00.0,,,97-79,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:48.0,,,97-79,,Violation by M. Muscala (kicked ball)
11:40.0,M. Monk misses 2-pt shot from 21 ft,,97-79,,
11:37.0,,,97-79,,Defensive rebound by M. Muscala
11:24.0,,,97-81,2,M. Muscala makes 2-pt shot from 4 ft (assist by T. Waller-Prince)
11:15.0,T. Graham misses 3-pt shot from 25 ft,,97-81,,
11:13.0,,,97-81,,Defensive rebound by T. Dorsey
11:04.0,,,97-81,,M. Muscala misses 3-pt shot from 24 ft
11:04.0,Defensive rebound by Team,,97-81,,
10:50.0,F. Kaminsky makes 3-pt shot from 24 ft (assist by N. Batum),3,100-81,,
10:30.0,Personal foul by J. Lamb (drawn by T. Dorsey),,100-81,,
10:18.0,,,100-83,2,D. Lee makes 2-pt shot at rim (assist by M. Muscala)
10:06.0,J. Lamb makes 2-pt shot from 14 ft (assist by N. Batum),2,102-83,,
10:06.0,Shooting foul by T. Dorsey (drawn by J. Lamb),,102-83,,
10:06.0,K. Walker enters the game for N. Batum,,102-83,,
10:06.0,J. Lamb makes free throw 1 of 1,1,103-83,,
9:57.0,,,103-85,2,T. Waller-Prince makes 2-pt shot from 4 ft (assist by D. Schroder)
9:37.0,M. Monk misses 3-pt shot from 25 ft,,103-85,,
9:34.0,Offensive rebound by T. Graham,,103-85,,
9:23.0,K. Walker misses 2-pt shot from 1 ft,,103-85,,
9:20.0,,,103-85,,Defensive rebound by T. Waller-Prince
9:16.0,,,103-87,2,D. Schroder makes 2-pt shot at rim
8:55.0,F. Kaminsky misses 2-pt shot from 7 ft (block by M. Muscala),,103-87,,
8:53.0,,,103-87,,Defensive rebound by T. Waller-Prince
8:52.0,,,103-87,,Turnover by T. Waller-Prince (bad pass)
8:47.0,Shooting foul by M. Muscala (drawn by F. Kaminsky),,103-87,,
8:47.0,F. Kaminsky misses free throw 1 of 2,,103-87,,
8:47.0,Offensive rebound by Team,,103-87,,
8:47.0,,,103-87,,J. Collins enters the game for M. Muscala
8:47.0,F. Kaminsky misses free throw 2 of 2,,103-87,,
8:42.0,,,103-87,,Defensive rebound by T. Waller-Prince
8:30.0,,,103-89,2,T. Waller-Prince makes 2-pt shot from 16 ft (assist by J. Collins)
8:13.0,F. Kaminsky makes 2-pt shot from 5 ft (assist by K. Walker),2,105-89,,
8:13.0,Shooting foul by J. Collins (drawn by F. Kaminsky),,105-89,,
8:13.0,N. Batum enters the game for M. Monk,,105-89,,
8:13.0,D. Howard enters the game for T. Graham,,105-89,,
8:13.0,F. Kaminsky misses free throw 1 of 1,,105-89,,
8:10.0,,,105-89,,Defensive rebound by J. Collins
7:58.0,,,105-89,,T. Waller-Prince misses 2-pt shot from 18 ft
7:50.0,Defensive rebound by J. Lamb,,105-89,,
7:48.0,J. Lamb makes 3-pt shot from 24 ft,3,108-89,,
7:47.0,,,108-89,,Atlanta full timeout
7:47.0,,,108-89,,A. White enters the game for T. Dorsey
7:41.0,Personal foul by N. Batum (drawn by T. Waller-Prince),,108-89,,
7:32.0,,,108-89,,D. Schroder misses 2-pt shot from 16 ft
7:29.0,Defensive rebound by N. Batum,,108-89,,
