time,Memphis,pts.away,score,pts.home,Chicago
5:36.0,,,95-98,,Offensive rebound by Team
5:36.0,,,95-99,1,K. Dunn makes free throw 2 of 2
5:32.0,Memphis full timeout,,95-99,,
5:10.0,Turnover by B. McLemore (bad pass; steal by K. Dunn),,95-99,,
5:07.0,,,95-101,2,K. Dunn makes 2-pt shot at rim
4:57.0,X. Rathan-Mayes makes 2-pt shot from 1 ft,2,97-101,,
4:42.0,,,97-103,2,B. Portis makes 2-pt shot from 19 ft (assist by Z. LaVine)
4:23.0,K. Simmons misses 3-pt shot from 26 ft,,97-103,,
4:19.0,,,97-103,,Defensive rebound by L. Markkanen
4:09.0,,,97-106,3,Z. LaVine makes 3-pt shot from 25 ft
4:07.0,Memphis full timeout,,97-106,,
3:49.0,D. Brooks makes 2-pt shot from 11 ft (assist by X. Rathan-Mayes),2,99-106,,
3:29.0,,,99-106,,Offensive foul by B. Portis (drawn by X. Rathan-Mayes)
3:29.0,,,99-106,,Turnover by B. Portis (offensive foul)
3:21.0,D. Brooks makes 3-pt shot from 25 ft (assist by X. Rathan-Mayes),3,102-106,,
3:00.0,,,102-106,,Turnover by Z. LaVine (lost ball; steal by D. Brooks)
2:55.0,D. Brooks makes 3-pt shot from 26 ft (assist by X. Rathan-Mayes),3,105-106,,
2:37.0,,,105-108,2,D. Nwaba makes 2-pt shot at rim (assist by K. Dunn)
2:37.0,,,105-108,,Shooting foul by B. McLemore (drawn by D. Nwaba)
2:37.0,,,105-109,1,D. Nwaba makes free throw 1 of 1
2:30.0,,,105-109,,Personal foul by D. Nwaba (drawn by D. Brooks)
2:13.0,K. Simmons makes 2-pt shot from 2 ft (assist by D. Davis),2,107-109,,
2:13.0,Shooting foul by K. Dunn (drawn by K. Simmons),,107-109,,
2:13.0,K. Simmons makes free throw 1 of 1,1,108-109,,
2:03.0,,,108-109,,Shooting foul by K. Simmons (drawn by K. Dunn)
2:03.0,,,108-110,1,K. Dunn makes free throw 1 of 2
2:03.0,,,108-111,1,K. Dunn makes free throw 2 of 2
1:51.0,X. Rathan-Mayes misses 3-pt shot from 25 ft,,108-111,,
1:46.0,,,108-111,,Defensive rebound by D. Nwaba
1:31.0,,,108-113,2,K. Dunn makes 2-pt shot at rim
1:20.0,D. Brooks misses 2-pt shot from 2 ft,,108-113,,
1:20.0,,,108-113,,Defensive rebound by Team
0:59.0,,,108-113,,Turnover by K. Dunn (lost ball; steal by D. Brooks)
0:57.0,K. Simmons makes 2-pt shot from 2 ft (assist by B. McLemore),2,110-113,,
0:38.0,,,110-113,,B. Portis misses 2-pt shot from 1 ft
0:34.0,,,110-113,,Offensive rebound by K. Dunn
0:33.0,Personal block foul by K. Simmons (drawn by K. Dunn),,110-113,,
0:33.0,M. Henry enters the game for K. Simmons,,110-113,,
0:33.0,,,110-114,1,K. Dunn makes free throw 1 of 2
0:33.0,,,110-115,1,K. Dunn makes free throw 2 of 2
0:25.0,D. Brooks misses 3-pt shot from 29 ft,,110-115,,
0:21.0,,,110-115,,Defensive rebound by D. Nwaba
0:17.0,Personal take foul by M. Henry (drawn by Z. LaVine),,110-115,,
0:17.0,,,110-116,1,Z. LaVine makes free throw 1 of 2
0:17.0,,,110-117,1,Z. LaVine makes free throw 2 of 2
0:17.0,Memphis full timeout,,110-117,,
0:12.0,B. McLemore misses 3-pt shot from 26 ft,,110-117,,
0:10.0,,,110-117,,Defensive rebound by K. Dunn
0:10.0,Personal take foul by X. Rathan-Mayes (drawn by K. Dunn),,110-117,,
0:10.0,,,110-118,1,K. Dunn makes free throw 1 of 2
0:10.0,,,110-118,,D. Valentine enters the game for Z. LaVine
0:10.0,,,110-119,1,K. Dunn makes free throw 2 of 2
0:05.0,X. Rathan-Mayes misses 3-pt shot from 25 ft,,110-119,,
0:02.0,,,110-119,,Defensive rebound by L. Markkanen
