time,New York,pts.away,score,pts.home,Orlando
0:08.0,,,61-69,,A. Gordon misses 2-pt shot from 1 ft
0:08.0,Defensive rebound by E. Mudiay,,61-69,,
0:03.0,T. Hardaway makes 2-pt shot from 2 ft (assist by E. Mudiay),2,63-69,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:40.0,,,63-71,2,N. Vucevic makes 2-pt shot from 13 ft (assist by D. Augustin)
11:25.0,T. Hardaway makes 2-pt shot from 17 ft (assist by C. Lee),2,65-71,,
11:09.0,,,65-73,2,E. Fournier makes 2-pt shot from 20 ft (assist by D. Augustin)
10:56.0,C. Lee misses 2-pt shot from 21 ft,,65-73,,
10:53.0,,,65-73,,Defensive rebound by A. Gordon
10:46.0,,,65-73,,Turnover by N. Vucevic (traveling)
10:37.0,E. Kanter misses 2-pt shot from 13 ft,,65-73,,
10:34.0,,,65-73,,Defensive rebound by A. Gordon
10:30.0,,,65-76,3,N. Vucevic makes 3-pt shot from 26 ft (assist by A. Gordon)
10:12.0,T. Hardaway misses 3-pt shot from 22 ft,,65-76,,
10:09.0,,,65-76,,Defensive rebound by J. Simmons
10:01.0,,,65-76,,D. Augustin misses 3-pt shot from 22 ft
9:58.0,Defensive rebound by E. Mudiay,,65-76,,
9:55.0,C. Lee misses 3-pt shot from 24 ft,,65-76,,
9:52.0,,,65-76,,Defensive rebound by A. Gordon
9:47.0,,,65-76,,A. Gordon misses 2-pt shot from 1 ft
9:47.0,Defensive rebound by E. Kanter,,65-76,,
9:47.0,New York full timeout,,65-76,,
9:31.0,E. Mudiay misses 2-pt shot from 8 ft,,65-76,,
9:26.0,,,65-76,,Defensive rebound by D. Augustin
9:14.0,,,65-76,,Turnover by A. Gordon (bad pass; steal by C. Lee)
9:14.0,,,65-76,,Personal take foul by E. Fournier (drawn by C. Lee)
8:56.0,Turnover by E. Mudiay (bad pass; steal by E. Fournier),,65-76,,
8:52.0,,,65-76,,J. Simmons misses 2-pt shot from 3 ft (block by T. Hardaway)
8:48.0,Defensive rebound by C. Lee,,65-76,,
8:45.0,T. Hardaway misses 3-pt shot from 25 ft,,65-76,,
8:45.0,Offensive rebound by E. Kanter,,65-76,,
8:37.0,E. Kanter makes 2-pt shot at rim,2,67-76,,
8:24.0,,,67-76,,J. Simmons misses 2-pt shot from 7 ft
8:21.0,Defensive rebound by E. Kanter,,67-76,,
8:17.0,T. Hardaway misses 2-pt shot from 3 ft,,67-76,,
8:17.0,Offensive rebound by T. Hardaway,,67-76,,
8:15.0,T. Hardaway misses 2-pt shot from 1 ft,,67-76,,
8:14.0,Offensive rebound by E. Kanter,,67-76,,
8:13.0,E. Kanter makes 2-pt shot at rim,2,69-76,,
7:58.0,,,69-76,,E. Fournier misses 2-pt shot from 10 ft
7:58.0,Defensive rebound by Team,,69-76,,
7:58.0,,,69-76,,Loose ball foul by N. Vucevic (drawn by E. Kanter)
7:36.0,E. Mudiay makes 2-pt shot from 11 ft (assist by T. Hardaway),2,71-76,,
7:20.0,,,71-76,,Turnover by J. Simmons (lost ball; steal by T. Hardaway)
7:15.0,T. Hardaway makes 2-pt shot from 3 ft,2,73-76,,
7:15.0,,,73-76,,Orlando full timeout
6:52.0,,,73-76,,J. Simmons misses 3-pt shot from 23 ft
6:52.0,Defensive rebound by T. Hardaway,,73-76,,
6:43.0,E. Kanter makes 2-pt shot from 1 ft (assist by C. Lee),2,75-76,,
6:22.0,,,75-76,,N. Vucevic misses 2-pt shot from 6 ft (block by E. Kanter)
6:18.0,Defensive rebound by M. Beasley,,75-76,,
6:14.0,T. Hardaway makes 2-pt shot from 1 ft (assist by M. Beasley),2,77-76,,
6:00.0,,,77-76,,D. Augustin misses 2-pt shot from 3 ft (block by M. Beasley)
5:55.0,Defensive rebound by E. Kanter,,77-76,,
5:36.0,C. Lee misses 2-pt shot from 2 ft,,77-76,,
5:34.0,Offensive rebound by E. Kanter,,77-76,,
5:33.0,E. Kanter misses 2-pt shot from 1 ft (block by N. Vucevic),,77-76,,
5:29.0,,,77-76,,Defensive rebound by A. Gordon
5:23.0,,,77-78,2,E. Fournier makes 2-pt shot from 20 ft
5:14.0,,,77-78,,Personal foul by J. Simmons (drawn by C. Lee)
5:14.0,,,77-78,,B. Biyombo enters the game for A. Gordon
5:14.0,,,77-78,,M. Hezonja enters the game for N. Vucevic
5:14.0,,,77-78,,W. Iwundu enters the game for J. Simmons
5:14.0,L. Thomas enters the game for M. Beasley,,77-78,,
5:14.0,F. Ntilikina enters the game for C. Lee,,77-78,,
5:02.0,E. Mudiay makes 2-pt shot from 2 ft,2,79-78,,
4:47.0,,,79-80,2,M. Hezonja makes 2-pt shot from 1 ft
4:39.0,T. Hardaway misses 2-pt shot from 19 ft,,79-80,,
4:39.0,,,79-80,,Defensive rebound by W. Iwundu
4:19.0,,,79-83,3,D. Augustin makes 3-pt shot from 24 ft (assist by E. Fournier)
3:58.0,E. Mudiay makes 2-pt shot from 13 ft,2,81-83,,
3:47.0,,,81-83,,Shooting foul by T. Hardaway (drawn by D. Augustin)
3:47.0,,,81-84,1,D. Augustin makes free throw 1 of 2
3:47.0,T. Burke enters the game for E. Kanter,,81-84,,
3:47.0,K. O'Quinn enters the game for E. Mudiay,,81-84,,
3:47.0,,,81-85,1,D. Augustin makes free throw 2 of 2
3:32.0,T. Burke makes 2-pt shot from 20 ft,2,83-85,,
3:16.0,,,83-85,,E. Fournier misses 3-pt shot from 22 ft
3:14.0,Defensive rebound by K. O'Quinn,,83-85,,
3:00.0,T. Burke misses 2-pt shot from 8 ft,,83-85,,
2:58.0,Offensive rebound by K. O'Quinn,,83-85,,
2:58.0,K. O'Quinn makes 2-pt shot from 1 ft,2,85-85,,
2:58.0,Shooting foul by B. Biyombo (drawn by K. O'Quinn),,85-85,,
2:58.0,,,85-85,,S. Mack enters the game for D. Augustin
2:58.0,K. O'Quinn misses free throw 1 of 1,,85-85,,
2:54.0,,,85-85,,Defensive rebound by S. Mack
2:47.0,,,85-87,2,M. Hezonja makes 2-pt shot from 18 ft
2:21.0,T. Burke makes 2-pt shot from 16 ft,2,87-87,,
2:07.0,,,87-87,,M. Hezonja misses 3-pt shot from 26 ft
2:04.0,Defensive rebound by T. Hardaway,,87-87,,
1:51.0,K. O'Quinn makes 2-pt shot from 1 ft (assist by L. Thomas),2,89-87,,
1:23.0,,,89-87,,Turnover by Team (shot clock)
1:16.0,,,89-87,,Personal foul by E. Fournier (drawn by T. Hardaway)
1:16.0,T. Hardaway makes free throw 1 of 2,1,90-87,,
1:16.0,T. Hardaway makes free throw 2 of 2,1,91-87,,
1:07.0,,,91-87,,Turnover by S. Mack (bad pass)
0:50.0,F. Ntilikina misses 2-pt shot at rim,,91-87,,
0:49.0,Offensive rebound by K. O'Quinn,,91-87,,
0:49.0,,,91-87,,Personal foul by M. Hezonja (drawn by K. O'Quinn)
0:49.0,K. O'Quinn makes free throw 1 of 2,1,92-87,,
0:49.0,K. O'Quinn makes free throw 2 of 2,1,93-87,,
