time,LA Lakers,pts.away,score,pts.home,Dallas
10:40.0,Shooting foul by D. Nowitzki (drawn by J. Randle),,70-72,,
10:40.0,J. Randle makes free throw 1 of 1,1,71-72,,
10:22.0,,,71-74,2,D. Nowitzki makes 2-pt shot from 19 ft (assist by J. Barea)
10:10.0,B. Lopez misses 3-pt shot from 25 ft,,71-74,,
10:07.0,,,71-74,,Defensive rebound by H. Barnes
9:57.0,,,71-77,3,H. Barnes makes 3-pt shot from 24 ft (assist by J. Barea)
9:41.0,J. Randle makes 2-pt shot from 1 ft (assist by K. Caldwell-Pope),2,73-77,,
9:28.0,,,73-79,2,J. Barea makes 2-pt shot from 13 ft
9:14.0,J. Hart makes 3-pt shot from 25 ft (assist by B. Lopez),3,76-79,,
8:56.0,Personal foul by B. Lopez (drawn by J. Barea),,76-79,,
8:43.0,,,76-79,,W. Matthews misses 3-pt shot from 24 ft
8:42.0,Defensive rebound by Team,,76-79,,
8:33.0,B. Lopez misses 3-pt shot from 25 ft,,76-79,,
8:33.0,,,76-79,,Defensive rebound by W. Matthews
8:12.0,,,76-79,,J. Barea misses 3-pt shot from 26 ft
8:10.0,Defensive rebound by J. Hart,,76-79,,
8:10.0,,,76-79,,Personal take foul by D. Nowitzki (drawn by J. Hart)
8:04.0,Turnover by B. Ingram (bad pass),,76-79,,
7:51.0,,,76-79,,Turnover by W. Matthews (lost ball; steal by B. Ingram)
7:47.0,J. Randle makes 2-pt shot at rim (assist by B. Ingram),2,78-79,,
7:19.0,,,78-79,,W. Matthews misses 3-pt shot from 23 ft
7:18.0,,,78-79,,Offensive rebound by Team
7:18.0,,,78-79,,Turnover by Team (shot clock)
7:04.0,B. Ingram makes 3-pt shot from 23 ft (assist by K. Caldwell-Pope),3,81-79,,
7:03.0,,,81-79,,Dallas full timeout
7:03.0,,,81-79,,D. Powell enters the game for J. Barea
7:03.0,,,81-79,,Y. Ferrell enters the game for D. Nowitzki
6:45.0,,,81-79,,D. Smith misses 2-pt shot from 20 ft
6:42.0,Defensive rebound by J. Randle,,81-79,,
6:30.0,B. Ingram misses 2-pt shot from 2 ft,,81-79,,
6:30.0,Offensive rebound by J. Randle,,81-79,,
6:24.0,Jump ball: Y. Ferrell vs. J. Randle,,,,Jump ball: Y. Ferrell vs. J. Randle
6:24.0,Turnover by J. Randle (turnover; steal by Y. Ferrell),,81-79,,
6:22.0,,,81-81,2,D. Smith makes 2-pt shot from 1 ft (assist by Y. Ferrell)
6:10.0,B. Lopez makes 2-pt shot from 3 ft,2,83-81,,
5:58.0,,,83-84,3,D. Smith makes 3-pt shot from 24 ft (assist by W. Matthews)
5:42.0,B. Lopez makes 2-pt shot from 2 ft,2,85-84,,
5:25.0,,,85-84,,D. Smith misses 3-pt shot from 24 ft
5:22.0,Defensive rebound by J. Randle,,85-84,,
5:14.0,J. Hart makes 3-pt shot from 25 ft (assist by J. Randle),3,88-84,,
5:02.0,,,88-86,2,H. Barnes makes 2-pt shot from 21 ft
4:43.0,B. Lopez misses 2-pt shot from 12 ft,,88-86,,
4:40.0,,,88-86,,Defensive rebound by D. Powell
4:32.0,,,88-88,2,D. Powell makes 2-pt shot from 3 ft (assist by W. Matthews)
4:32.0,Shooting block foul by K. Caldwell-Pope (drawn by D. Powell),,88-88,,
4:32.0,LA Lakers full timeout,,88-88,,
4:32.0,K. Kuzma enters the game for K. Caldwell-Pope,,88-88,,
4:32.0,I. Thomas enters the game for B. Lopez,,88-88,,
4:32.0,,,88-89,1,D. Powell makes free throw 1 of 1
4:20.0,J. Hart misses 2-pt shot from 5 ft,,88-89,,
4:17.0,,,88-89,,Defensive rebound by Y. Ferrell
4:10.0,,,88-89,,Turnover by D. Smith (bad pass; steal by K. Kuzma)
4:08.0,Shooting foul by W. Matthews (drawn by K. Kuzma),,88-89,,
