time,Boston,pts.away,score,pts.home,Utah
10:02.0,,,49-42,,Shooting foul by J. Tatum (drawn by D. Mitchell)
10:02.0,,,49-43,1,D. Mitchell makes free throw 1 of 2
10:02.0,,,49-44,1,D. Mitchell makes free throw 2 of 2
9:47.0,T. Rozier misses 2-pt shot from 15 ft,,49-44,,
9:45.0,,,49-44,,Defensive rebound by J. Ingles
9:36.0,,,49-44,,R. Rubio misses 3-pt shot from 25 ft
9:31.0,Defensive rebound by T. Rozier,,49-44,,
9:30.0,,,49-44,,Personal foul by J. Ingles (drawn by T. Rozier)
9:25.0,A. Baynes makes 2-pt shot from 17 ft,2,51-44,,
9:11.0,,,51-44,,Shooting foul by A. Baynes (drawn by D. Mitchell)
9:11.0,,,51-45,1,D. Mitchell makes free throw 1 of 2
9:11.0,,,51-46,1,D. Mitchell makes free throw 2 of 2
8:57.0,Shooting foul by J. Ingles (drawn by J. Brown),,51-46,,
8:57.0,J. Brown makes free throw 1 of 2,1,52-46,,
8:57.0,J. Brown misses free throw 2 of 2,,52-46,,
8:55.0,,,52-46,,Defensive rebound by R. Gobert
8:45.0,,,52-49,3,D. Mitchell makes 3-pt shot from 28 ft (assist by R. Rubio)
8:27.0,J. Brown makes 2-pt shot from 6 ft,2,54-49,,
8:08.0,,,54-52,3,D. Mitchell makes 3-pt shot from 25 ft (assist by R. Gobert)
7:50.0,Shooting foul by D. Mitchell (drawn by J. Brown),,54-52,,
7:50.0,J. Brown makes free throw 1 of 2,1,55-52,,
7:50.0,J. Brown makes free throw 2 of 2,1,56-52,,
7:37.0,,,56-52,,Shooting foul by G. Yabusele (drawn by R. Gobert)
7:37.0,,,56-53,1,R. Gobert makes free throw 1 of 2
7:37.0,,,56-54,1,R. Gobert makes free throw 2 of 2
7:18.0,Turnover by J. Tatum (bad pass; steal by R. Rubio),,56-54,,
7:09.0,,,56-54,,D. Favors misses 2-pt shot from 3 ft (block by J. Tatum)
7:06.0,Defensive rebound by A. Baynes,,56-54,,
7:03.0,T. Rozier misses 3-pt shot from 25 ft,,56-54,,
6:59.0,Offensive rebound by A. Baynes,,56-54,,
6:49.0,J. Tatum misses 2-pt shot from 1 ft,,56-54,,
6:46.0,Offensive rebound by A. Baynes,,56-54,,
6:46.0,A. Baynes makes 2-pt shot at rim,2,58-54,,
6:41.0,,,58-54,,Utah full timeout
6:41.0,S. Ojeleye enters the game for J. Tatum,,58-54,,
6:41.0,A. Nader enters the game for G. Yabusele,,58-54,,
6:41.0,,,58-54,,J. Crowder enters the game for D. Favors
6:27.0,,,58-54,,R. Rubio misses 3-pt shot from 25 ft
6:25.0,,,58-54,,Offensive rebound by Team
6:25.0,Loose ball foul by J. Brown (drawn by R. Gobert),,58-54,,
6:25.0,,,58-55,1,R. Gobert makes free throw 1 of 2
6:25.0,,,58-55,,R. Gobert misses free throw 2 of 2
6:23.0,Defensive rebound by A. Baynes,,58-55,,
6:05.0,Turnover by J. Brown (bad pass; steal by R. Rubio),,58-55,,
5:59.0,,,58-55,,R. Gobert misses 2-pt shot from 5 ft
5:57.0,,,58-55,,Offensive rebound by R. Rubio
5:56.0,,,58-57,2,R. Rubio makes 2-pt shot from 13 ft
5:43.0,Offensive charge foul by S. Ojeleye (drawn by J. Crowder),,58-57,,
5:43.0,Turnover by S. Ojeleye (offensive foul),,58-57,,
5:35.0,Personal foul by A. Nader (drawn by R. Rubio),,58-57,,
5:35.0,,,58-58,1,R. Rubio makes free throw 1 of 2
5:35.0,G. Monroe enters the game for A. Baynes,,58-58,,
5:35.0,,,58-59,1,R. Rubio makes free throw 2 of 2
5:34.0,Turnover by Team (turnover),,58-59,,
5:20.0,,,58-62,3,J. Crowder makes 3-pt shot from 24 ft (assist by J. Ingles)
5:12.0,Boston full timeout,,58-62,,
5:12.0,,,58-62,,R. O'Neale enters the game for J. Ingles
5:12.0,J. Tatum enters the game for J. Brown,,58-62,,
5:01.0,G. Monroe misses 2-pt shot from 3 ft,,58-62,,
4:56.0,,,58-62,,Defensive rebound by R. Rubio
4:54.0,,,58-64,2,D. Mitchell makes 2-pt shot from 9 ft
4:43.0,Turnover by A. Nader (bad pass; steal by R. Gobert),,58-64,,
4:36.0,,,58-67,3,J. Crowder makes 3-pt shot from 26 ft (assist by R. Rubio)
4:17.0,A. Nader misses 2-pt shot from 2 ft (block by J. Crowder),,58-67,,
4:17.0,Offensive rebound by Team,,58-67,,
4:15.0,T. Rozier misses 3-pt shot from 23 ft,,58-67,,
4:13.0,,,58-67,,Defensive rebound by R. Rubio
4:09.0,,,58-69,2,R. O'Neale makes 2-pt shot from 1 ft (assist by R. Rubio)
4:09.0,Boston full timeout,,58-69,,
