time,New Orleans,pts.away,score,pts.home,New York
11:01.0,,,50-57,,Personal foul by L. Thomas (drawn by A. Davis)
10:47.0,A. Davis makes 2-pt shot from 1 ft (assist by E. Moore),2,52-57,,
10:36.0,,,52-59,2,J. Jack makes 2-pt shot from 16 ft
10:28.0,J. Holiday makes 2-pt shot from 1 ft (assist by R. Rondo),2,54-59,,
10:10.0,,,54-62,3,C. Lee makes 3-pt shot from 24 ft (assist by J. Jack)
10:00.0,,,54-62,,Personal foul by L. Thomas (drawn by R. Rondo)
9:51.0,J. Holiday makes 2-pt shot from 15 ft,2,56-62,,
9:33.0,,,56-64,2,J. Jack makes 2-pt shot at rim
9:18.0,D. Cousins misses 3-pt shot from 25 ft,,56-64,,
9:17.0,Offensive rebound by D. Cousins,,56-64,,
9:16.0,Shooting foul by L. Thomas (drawn by A. Davis),,56-64,,
9:16.0,A. Davis makes free throw 1 of 2,1,57-64,,
9:16.0,A. Davis makes free throw 2 of 2,1,58-64,,
9:07.0,,,58-64,,K. Porzingis misses 2-pt shot from 17 ft
9:05.0,,,58-64,,Offensive rebound by E. Kanter
9:05.0,,,58-66,2,E. Kanter makes 2-pt shot at rim
8:55.0,A. Davis misses 3-pt shot from 24 ft,,58-66,,
8:55.0,,,58-66,,Defensive rebound by K. Porzingis
8:49.0,,,58-66,,Turnover by J. Jack (traveling)
8:40.0,J. Holiday makes 2-pt shot from 20 ft,2,60-66,,
8:17.0,,,60-69,3,J. Jack makes 3-pt shot from 23 ft (assist by L. Thomas)
8:16.0,New Orleans full timeout,,60-69,,
8:00.0,Turnover by J. Holiday (bad pass; steal by K. Porzingis),,60-69,,
8:00.0,,,60-69,,New York full timeout
7:48.0,,,60-72,3,K. Porzingis makes 3-pt shot from 26 ft (assist by C. Lee)
7:34.0,,,60-72,,Personal foul by E. Kanter (drawn by A. Davis)
7:23.0,A. Davis makes 2-pt shot at rim (assist by E. Moore),2,62-72,,
7:11.0,,,62-72,,C. Lee misses 2-pt shot from 18 ft
7:09.0,,,62-72,,Offensive rebound by C. Lee
7:09.0,,,62-72,,Turnover by C. Lee (bad pass)
6:54.0,D. Cousins misses 2-pt shot from 4 ft,,62-72,,
6:52.0,Offensive rebound by A. Davis,,62-72,,
6:52.0,A. Davis misses 2-pt shot at rim,,62-72,,
6:51.0,,,62-72,,Defensive rebound by K. Porzingis
6:51.0,Personal foul by D. Cousins (drawn by E. Kanter),,62-72,,
6:51.0,,,62-72,,T. Hardaway enters the game for C. Lee
6:38.0,,,62-74,2,J. Jack makes 2-pt shot from 11 ft
6:14.0,E. Moore misses 3-pt shot from 25 ft,,62-74,,
6:12.0,Offensive rebound by A. Davis,,62-74,,
6:05.0,E. Moore misses 2-pt shot from 1 ft,,62-74,,
6:03.0,Offensive rebound by A. Davis,,62-74,,
6:03.0,A. Davis makes 2-pt shot at rim,2,64-74,,
5:53.0,,,64-77,3,L. Thomas makes 3-pt shot from 23 ft (assist by J. Jack)
5:42.0,R. Rondo misses 2-pt shot at rim (block by L. Thomas),,64-77,,
5:40.0,,,64-77,,Defensive rebound by L. Thomas
5:35.0,,,64-77,,K. Porzingis misses 3-pt shot from 26 ft
5:34.0,,,64-77,,Offensive rebound by Team
5:34.0,Loose ball foul by D. Cousins (drawn by E. Kanter),,64-77,,
5:29.0,,,64-79,2,K. Porzingis makes 2-pt shot from 15 ft (assist by J. Jack)
5:18.0,J. Holiday makes 2-pt shot from 3 ft,2,66-79,,
5:18.0,Shooting foul by J. Jack (drawn by J. Holiday),,66-79,,
5:18.0,,,66-79,,K. O'Quinn enters the game for E. Kanter
5:18.0,D. Cunningham enters the game for D. Cousins,,66-79,,
5:18.0,J. Holiday makes free throw 1 of 1,1,67-79,,
4:59.0,Personal foul by E. Moore (drawn by K. Porzingis),,67-79,,
4:59.0,D. Miller enters the game for J. Holiday,,67-79,,
4:56.0,,,67-79,,Shooting foul by A. Davis (drawn by K. Porzingis)
4:56.0,,,67-79,,F. Ntilikina enters the game for J. Jack
4:56.0,,,67-79,,K. Porzingis misses free throw 1 of 2
4:56.0,,,67-79,,Offensive rebound by Team
4:56.0,,,67-80,1,K. Porzingis makes free throw 2 of 2
4:43.0,A. Davis misses 2-pt shot from 16 ft,,67-80,,
4:41.0,,,67-80,,Defensive rebound by K. Porzingis
4:33.0,,,67-80,,T. Hardaway misses 3-pt shot from 26 ft
4:31.0,Defensive rebound by R. Rondo,,67-80,,
4:26.0,Turnover by A. Davis (turnover),,67-80,,
