time,Sacramento,pts.away,score,pts.home,Milwaukee
10:48.0,,,53-69,2,K. Middleton makes 2-pt shot from 1 ft (assist by G. Antetokounmpo)
10:44.0,Turnover by D. Fox (turnover),,53-69,,
10:39.0,,,53-69,,Shooting foul by J. Sampson (drawn by G. Antetokounmpo)
10:39.0,,,53-69,,G. Antetokounmpo misses free throw 1 of 2
10:39.0,,,53-69,,Offensive rebound by Team
10:39.0,,,53-70,1,G. Antetokounmpo makes free throw 2 of 2
10:17.0,K. Koufos misses 2-pt shot from 10 ft,,53-70,,
10:14.0,,,53-70,,Defensive rebound by E. Bledsoe
9:55.0,,,53-70,,G. Antetokounmpo misses 2-pt shot from 7 ft
9:51.0,Defensive rebound by J. Sampson,,53-70,,
9:32.0,G. Temple misses 3-pt shot from 26 ft,,53-70,,
9:27.0,,,53-70,,Defensive rebound by J. Henson
9:23.0,,,53-70,,Turnover by E. Bledsoe (bad pass; steal by D. Fox)
9:13.0,J. Sampson misses 2-pt shot from 2 ft,,53-70,,
9:08.0,,,53-70,,Defensive rebound by G. Antetokounmpo
9:01.0,,,53-70,,T. Snell misses 3-pt shot from 26 ft
9:01.0,,,53-70,,Offensive rebound by E. Bledsoe
8:47.0,,,53-70,,J. Henson misses 2-pt shot from 3 ft
8:38.0,,,53-70,,Offensive rebound by J. Henson
8:37.0,,,53-72,2,J. Henson makes 2-pt shot from 1 ft
8:27.0,Shooting foul by J. Henson (drawn by G. Hill),,53-72,,
8:27.0,G. Hill makes free throw 1 of 2,1,54-72,,
8:27.0,G. Hill makes free throw 2 of 2,1,55-72,,
8:09.0,,,55-72,,Turnover by J. Henson (traveling)
7:54.0,D. Fox makes 3-pt shot from 23 ft (assist by G. Hill),3,58-72,,
7:33.0,,,58-75,3,T. Snell makes 3-pt shot from 22 ft (assist by K. Middleton)
7:16.0,,,58-75,,Personal foul by K. Middleton (drawn by G. Hill)
7:11.0,D. Fox makes 2-pt shot from 17 ft,2,60-75,,
6:54.0,,,60-78,3,K. Middleton makes 3-pt shot from 26 ft
6:35.0,D. Fox misses 2-pt shot from 12 ft,,60-78,,
6:33.0,Offensive rebound by D. Fox,,60-78,,
6:31.0,G. Temple misses 3-pt shot from 25 ft,,60-78,,
6:28.0,,,60-78,,Defensive rebound by J. Henson
6:20.0,Personal foul by J. Sampson (drawn by J. Henson),,60-78,,
6:20.0,,,60-78,,Milwaukee full timeout
6:20.0,Z. Randolph enters the game for K. Koufos,,60-78,,
6:07.0,,,60-78,,K. Middleton misses 2-pt shot from 16 ft
6:07.0,,,60-78,,Offensive rebound by Team
6:07.0,Loose ball foul by J. Sampson (drawn by J. Henson),,60-78,,
6:00.0,,,60-80,2,G. Antetokounmpo makes 2-pt shot from 2 ft (assist by E. Bledsoe)
5:39.0,Turnover by G. Hill (bad pass; steal by J. Henson),,60-80,,
5:38.0,,,60-80,,Turnover by T. Snell (bad pass)
5:24.0,Z. Randolph misses 2-pt shot from 2 ft,,60-80,,
5:22.0,Offensive rebound by Z. Randolph,,60-80,,
5:21.0,Z. Randolph makes 2-pt shot from 1 ft,2,62-80,,
4:59.0,,,62-80,,E. Bledsoe misses 3-pt shot from 27 ft
4:52.0,Defensive rebound by D. Fox,,62-80,,
4:45.0,D. Fox misses 2-pt shot from 18 ft,,62-80,,
4:41.0,,,62-80,,Defensive rebound by G. Antetokounmpo
4:34.0,,,62-82,2,G. Antetokounmpo makes 2-pt shot from 1 ft
4:14.0,D. Fox makes 2-pt shot from 21 ft (assist by Z. Randolph),2,64-82,,
3:50.0,,,64-82,,G. Antetokounmpo misses 2-pt shot from 3 ft
3:45.0,Defensive rebound by D. Fox,,64-82,,
3:40.0,D. Fox misses 2-pt shot from 7 ft,,64-82,,
3:37.0,Offensive rebound by D. Fox,,64-82,,
3:36.0,G. Temple makes 3-pt shot from 25 ft (assist by D. Fox),3,67-82,,
3:20.0,,,67-82,,Turnover by E. Bledsoe (lost ball; steal by G. Temple)
3:16.0,G. Temple misses 3-pt shot from 26 ft,,67-82,,
3:10.0,Offensive rebound by J. Sampson,,67-82,,
3:03.0,Z. Randolph misses 3-pt shot from 26 ft,,67-82,,
3:02.0,,,67-82,,Defensive rebound by J. Henson
3:02.0,,,67-82,,Milwaukee full timeout
3:02.0,,,67-82,,J. Terry enters the game for E. Bledsoe
3:02.0,,,67-82,,M. Brogdon enters the game for T. Snell
3:02.0,B. Bogdanovic enters the game for G. Hill,,67-82,,
3:02.0,B. Hield enters the game for D. Fox,,67-82,,
3:02.0,F. Mason enters the game for J. Sampson,,67-82,,
2:39.0,,,67-82,,G. Antetokounmpo misses 2-pt shot from 19 ft
2:33.0,Defensive rebound by G. Temple,,67-82,,
2:16.0,Z. Randolph makes 2-pt shot from 2 ft,2,69-82,,
2:08.0,Personal foul by B. Bogdanovic (drawn by G. Antetokounmpo),,69-82,,
2:08.0,,,69-82,,T. Maker enters the game for J. Henson
2:08.0,,,69-83,1,G. Antetokounmpo makes free throw 1 of 2
2:08.0,,,69-83,,G. Antetokounmpo misses free throw 2 of 2
2:05.0,Defensive rebound by Z. Randolph,,69-83,,
1:50.0,B. Hield misses 2-pt shot from 14 ft (block by J. Terry),,69-83,,
1:45.0,,,69-83,,Defensive rebound by J. Terry
1:36.0,,,69-83,,K. Middleton misses 3-pt shot from 26 ft
1:36.0,Defensive rebound by B. Hield,,69-83,,
1:22.0,G. Temple makes 3-pt shot from 22 ft,3,72-83,,
1:04.0,,,72-85,2,M. Brogdon makes 2-pt shot from 1 ft (assist by G. Antetokounmpo)
1:04.0,,,72-85,,Shooting foul by Z. Randolph (drawn by M. Brogdon)
1:04.0,,,72-86,1,M. Brogdon makes free throw 1 of 1
0:48.0,Shooting foul by T. Maker (drawn by Z. Randolph),,72-86,,
0:48.0,Z. Randolph makes free throw 1 of 2,1,73-86,,
0:48.0,,,73-86,,D. Liggins enters the game for G. Antetokounmpo
0:48.0,Z. Randolph makes free throw 2 of 2,1,74-86,,
0:31.0,,,74-88,2,M. Brogdon makes 2-pt shot from 1 ft
0:12.0,F. Mason makes 2-pt shot from 9 ft,2,76-88,,
0:01.0,,,76-88,,Turnover by K. Middleton (lost ball; steal by G. Temple)
0:00.0,G. Temple misses 3-pt shot from 33 ft,,76-88,,
0:00.0,Offensive rebound by Team,,76-88,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:42.0,F. Mason misses 2-pt shot from 1 ft,,76-88,,
11:39.0,,,76-88,,Defensive rebound by T. Maker
11:35.0,,,76-88,,Offensive foul by T. Maker (drawn by J. Sampson)
11:35.0,,,76-88,,Turnover by T. Maker (offensive foul)
11:20.0,B. Bogdanovic misses 3-pt shot from 26 ft,,76-88,,
11:20.0,,,76-88,,Defensive rebound by Team
11:20.0,Loose ball foul by Z. Randolph (drawn by T. Maker),,76-88,,
11:08.0,,,76-90,2,K. Middleton makes 2-pt shot from 15 ft (assist by M. Brogdon)
10:49.0,B. Hield makes 2-pt shot from 17 ft (assist by J. Sampson),2,78-90,,
10:25.0,,,78-92,2,J. Terry makes 2-pt shot from 2 ft (assist by T. Maker)
10:06.0,J. Sampson makes 2-pt shot at rim (assist by Z. Randolph),2,80-92,,
9:45.0,,,80-94,2,M. Brogdon makes 2-pt shot from 1 ft (assist by D. Liggins)
9:20.0,B. Bogdanovic makes 2-pt shot from 20 ft (assist by F. Mason),2,82-94,,
9:06.0,,,82-94,,Shooting foul by J. Sampson (drawn by K. Middleton)
9:06.0,,,82-95,1,K. Middleton makes free throw 1 of 2
9:06.0,,,82-96,1,K. Middleton makes free throw 2 of 2
8:44.0,Z. Randolph makes 2-pt shot from 2 ft,2,84-96,,
8:35.0,,,84-96,,Shooting foul by Z. Randolph (drawn by M. Brogdon)
8:35.0,,,84-97,1,M. Brogdon makes free throw 1 of 2
8:35.0,,,84-98,1,M. Brogdon makes free throw 2 of 2
8:17.0,B. Hield misses 2-pt shot from 17 ft,,84-98,,
8:17.0,,,84-98,,Defensive rebound by D. Liggins
8:07.0,,,84-98,,M. Brogdon misses 2-pt shot at rim
8:07.0,,,84-98,,Offensive rebound by T. Maker
7:53.0,,,84-98,,Turnover by K. Middleton (bad pass)
7:53.0,Sacramento full timeout,,84-98,,
7:35.0,B. Bogdanovic makes 2-pt shot from 10 ft (assist by B. Hield),2,86-98,,
7:09.0,,,86-98,,M. Brogdon misses 2-pt shot from 2 ft
7:06.0,,,86-98,,Offensive rebound by M. Brogdon
7:04.0,,,86-98,,M. Brogdon misses 2-pt shot from 3 ft
7:02.0,Defensive rebound by Z. Randolph,,86-98,,
7:01.0,B. Hield misses 3-pt shot from 27 ft,,86-98,,
7:01.0,,,86-98,,Defensive rebound by K. Middleton
6:41.0,,,86-98,,T. Maker misses 2-pt shot from 18 ft
6:41.0,Defensive rebound by B. Hield,,86-98,,
6:33.0,,,86-98,,Def 3 sec tech foul by K. Middleton
6:33.0,B. Hield makes technical free throw,1,87-98,,
6:33.0,,,87-98,,G. Antetokounmpo enters the game for K. Middleton
6:33.0,,,87-98,,E. Bledsoe enters the game for D. Liggins
6:29.0,Offensive charge foul by F. Mason (drawn by E. Bledsoe),,87-98,,
6:29.0,Turnover by F. Mason (offensive foul),,87-98,,
6:05.0,,,87-98,,Turnover by G. Antetokounmpo (bad pass; steal by B. Bogdanovic)
6:04.0,,,87-98,,Personal foul by J. Terry (drawn by B. Bogdanovic)
5:50.0,Z. Randolph makes 2-pt shot from 3 ft,2,89-98,,
5:27.0,,,89-98,,Turnover by J. Terry (bad pass; steal by B. Bogdanovic)
5:21.0,Shooting foul by M. Brogdon (drawn by F. Mason),,89-98,,
5:21.0,F. Mason makes free throw 1 of 2,1,90-98,,
5:21.0,,,90-98,,J. Henson enters the game for T. Maker
5:21.0,F. Mason makes free throw 2 of 2,1,91-98,,
4:57.0,,,91-98,,G. Antetokounmpo misses 2-pt shot from 18 ft (block by J. Sampson)
4:56.0,,,91-98,,Offensive rebound by Team
4:47.0,B. Hield misses 2-pt shot from 3 ft (block by J. Terry),,91-98,,
4:47.0,Offensive rebound by Team,,91-98,,
4:47.0,,,91-98,,T. Snell enters the game for J. Terry
4:47.0,G. Temple enters the game for J. Sampson,,91-98,,
4:35.0,F. Mason makes 2-pt shot at rim,2,93-98,,
4:19.0,,,93-100,2,G. Antetokounmpo makes 2-pt shot from 1 ft (assist by T. Snell)
4:01.0,Z. Randolph misses 3-pt shot from 26 ft,,93-100,,
3:59.0,,,93-100,,Defensive rebound by E. Bledsoe
3:46.0,,,93-100,,M. Brogdon misses 3-pt shot from 27 ft
3:44.0,,,93-100,,Offensive rebound by T. Snell
3:34.0,,,93-100,,T. Snell misses 3-pt shot from 24 ft
3:30.0,Defensive rebound by F. Mason,,93-100,,
3:19.0,G. Temple makes 3-pt shot from 23 ft (assist by B. Hield),3,96-100,,
3:19.0,,,96-100,,Milwaukee full timeout
3:19.0,,,96-100,,K. Middleton enters the game for M. Brogdon
2:57.0,Personal foul by B. Bogdanovic (drawn by G. Antetokounmpo),,96-100,,
2:55.0,Personal foul by B. Bogdanovic (drawn by G. Antetokounmpo),,96-100,,
2:55.0,,,96-101,1,G. Antetokounmpo makes free throw 1 of 2
2:55.0,,,96-102,1,G. Antetokounmpo makes free throw 2 of 2
2:43.0,B. Bogdanovic makes 3-pt shot from 26 ft,3,99-102,,
