time,Washington,pts.away,score,pts.home,New Orleans
2:36.0,Personal foul by K. Oubre (drawn by D. Miller),,108-88,,
2:27.0,,,108-90,2,C. Diallo makes 2-pt shot from 1 ft (assist by D. Liggins)
2:12.0,J. Meeks misses 3-pt shot from 23 ft,,108-90,,
2:10.0,,,108-90,,Defensive rebound by I. Clark
1:56.0,,,108-92,2,D. Liggins makes 2-pt shot from 5 ft
1:43.0,K. Oubre misses 2-pt shot from 4 ft (block by C. Diallo),,108-92,,
1:43.0,Offensive rebound by Team,,108-92,,
1:43.0,Technical foul by K. Oubre,,108-92,,
1:43.0,,,108-92,,C. Diallo misses technical free throw
1:43.0,Defensive rebound by Team,,108-92,,
1:37.0,K. Oubre misses 3-pt shot from 26 ft,,108-92,,
1:32.0,Offensive rebound by J. Meeks,,108-92,,
1:30.0,K. Oubre misses 2-pt shot from 1 ft,,108-92,,
1:30.0,Offensive rebound by J. Smith,,108-92,,
1:28.0,J. Smith makes 2-pt shot at rim,2,110-92,,
1:19.0,,,110-95,3,"D. Miller makes 3-pt shot from 25 ft (assist by W. Lemon, Jr.)"
1:09.0,Turnover by R. Sessions (turnover),,110-95,,
0:59.0,,,110-97,2,C. Diallo makes 2-pt shot at rim (assist by D. Liggins)
0:59.0,J. Smith makes 3-pt shot from 25 ft (assist by R. Sessions),3,113-97,,
0:32.0,,,113-97,,I. Clark misses 3-pt shot from 23 ft
0:32.0,Defensive rebound by J. Meeks,,113-97,,
0:17.0,J. Smith makes 3-pt shot from 26 ft (assist by R. Sessions),3,116-97,,
0:02.0,,,116-97,,"W. Lemon, Jr. misses 2-pt shot from 19 ft"
0:00.0,Defensive rebound by K. Oubre,,116-97,,
