time,Portland,pts.away,score,pts.home,Cleveland
6:13.0,,,97-113,1,J. Green makes free throw 2 of 2
6:07.0,D. Lillard misses 2-pt shot from 10 ft (block by K. Korver),,97-113,,
6:03.0,,,97-113,,Defensive rebound by J. Green
5:50.0,,,97-115,2,T. Thompson makes 2-pt shot from 1 ft (assist by L. James)
5:49.0,Portland full timeout,,97-115,,
5:49.0,,,97-115,,C. Osman enters the game for D. Wade
5:49.0,S. Napier enters the game for D. Lillard,,97-115,,
5:49.0,N. Vonleh enters the game for C. McCollum,,97-115,,
5:49.0,P. Connaughton enters the game for A. Aminu,,97-115,,
5:49.0,J. Layman enters the game for J. Nurkic,,97-115,,
5:49.0,Z. Collins enters the game for M. Harkless,,97-115,,
5:31.0,Z. Collins misses 2-pt shot from 15 ft,,97-115,,
5:28.0,,,97-115,,Defensive rebound by J. Green
5:10.0,,,97-115,,L. James misses 2-pt shot from 2 ft (block by Z. Collins)
5:10.0,,,97-115,,Offensive rebound by Team
5:10.0,,,97-115,,J. Calderon enters the game for L. James
5:05.0,,,97-115,,T. Thompson misses 2-pt shot from 20 ft
5:05.0,Defensive rebound by Z. Collins,,97-115,,
4:52.0,Turnover by J. Layman (lost ball; steal by J. Green),,97-115,,
4:50.0,,,97-115,,Shooting foul by J. Layman (drawn by J. Green)
4:50.0,,,97-115,,J. Green misses free throw 1 of 2
4:50.0,,,97-115,,Offensive rebound by Team
4:50.0,,,97-115,,C. Frye enters the game for T. Thompson
4:50.0,,,97-116,1,J. Green makes free throw 2 of 2
4:32.0,N. Vonleh makes 2-pt shot from 20 ft (assist by J. Layman),2,99-116,,
4:13.0,,,99-118,2,C. Frye makes 2-pt shot from 22 ft (assist by J. Green)
4:01.0,J. Layman misses 3-pt shot from 27 ft,,99-118,,
3:58.0,,,99-118,,Defensive rebound by C. Frye
3:45.0,,,99-118,,K. Korver misses 2-pt shot at rim
3:43.0,Defensive rebound by P. Connaughton,,99-118,,
3:35.0,N. Vonleh misses 2-pt shot at rim,,99-118,,
3:35.0,Offensive rebound by N. Vonleh,,99-118,,
3:35.0,Shooting foul by C. Frye (drawn by N. Vonleh),,99-118,,
3:35.0,N. Vonleh makes free throw 1 of 2,1,100-118,,
3:35.0,N. Vonleh makes free throw 2 of 2,1,101-118,,
3:23.0,,,101-118,,K. Korver misses 3-pt shot from 25 ft
3:21.0,Defensive rebound by N. Vonleh,,101-118,,
3:10.0,N. Vonleh misses 2-pt shot from 21 ft,,101-118,,
3:05.0,Offensive rebound by J. Layman,,101-118,,
3:03.0,P. Connaughton makes 3-pt shot from 29 ft (assist by J. Layman),3,104-118,,
2:51.0,,,104-121,3,K. Korver makes 3-pt shot from 27 ft (assist by J. Green)
2:37.0,Z. Collins makes 2-pt shot from 20 ft (assist by S. Napier),2,106-121,,
2:21.0,,,106-121,,Shooting foul by Z. Collins (drawn by J. Green)
2:21.0,,,106-122,1,J. Green makes free throw 1 of 2
2:21.0,,,106-122,,J. Green misses free throw 2 of 2
2:19.0,Defensive rebound by N. Vonleh,,106-122,,
2:02.0,N. Vonleh makes 2-pt shot from 14 ft,2,108-122,,
1:42.0,,,108-124,2,C. Frye makes 2-pt shot from 9 ft
1:21.0,S. Napier misses 3-pt shot from 24 ft,,108-124,,
1:18.0,,,108-124,,Defensive rebound by C. Osman
1:08.0,,,108-124,,J. Green misses 3-pt shot from 23 ft
1:05.0,Defensive rebound by S. Napier,,108-124,,
1:00.0,Turnover by J. Layman (lost ball; steal by C. Frye),,108-124,,
0:54.0,,,108-127,3,K. Korver makes 3-pt shot from 25 ft (assist by C. Osman)
0:35.0,Z. Collins makes 2-pt shot from 18 ft (assist by P. Connaughton),2,110-127,,
0:14.0,,,110-127,,J. Green misses 2-pt shot from 19 ft
0:11.0,Defensive rebound by Z. Collins,,110-127,,
